description,name
Providing educational opportunities for the medical profession ,Royal Society of Medicine (RSM)
"   Touch-Humanity International Voluntary Services (THIVS) works to promote volunteering as a powerful force for change with participants getting a chance for learning, expeditions while experiencing a new culture.  ",Touch-Humanity International Voluntary Services 
Various volunteering opportunities,Nuestra Senora de Guadalupe
"We champion the rights and interests of all people with autism and aim to provide individuals with autism and their families with help, support and services",The National Autistic Society
We provide unique opportunities for studying Spanish in Buenos Aires. Gateway Argentina offers custom Spanish language and study abroad programs.,Getaway Argentina
"Preserves the natural ecosystems, arts, heritage, and encourage sustainable development of the Southern Grenadines through environmental education, social development, scientific research and eco tourism",KIDO Ecological Research Station (KERS)
Our main objective is to promote global citizenship by encouraging engagement in global issues amongst young people in the UK.,Development in Action (DiA)
Language Link's Volunteer Programme is the ideal way to acquire valuable international work-experience and get a taste of life in Russia.,Language Link
Marine Conservation Volunteer Program,Watamu Turtles
"Camp Tekoa is a summer camp and conference center located in the Blue Ridge mountains of North Carolina, near Hendersonville. ",Camp Tekoa
"Through volunteering. The Foundation is also looking for individuals who are interested in community development, web page maintenance, grant search and writing, promoting virtues classes","Anisa Foundation, A.C."
We aim to greatly improve the quality of life of PhaNgan’s animals by providing emergency relief and nursing care for all minor illnesses and injuries.,PAC Thailand
Sustainable Horizon organizes international programs to enhance the community service and environmental education opportunities for high school and college level students.,Sustainable Horizon
"Safiri Afrika offers unique African wildlife safaris, mountaineering treks, cultural experiences, historical site visits and beach holiday escapes exclusively in Tanzania.",Safiri Afrika
Shark tours,Shark Watch SA
The Escuela de la Calle (EDELAC)  or Street School is a Guatemalan indigenous organization dedicated to improving the lives of destitute children,Escuela de la Calle (EDELAC) 
"Kanaama Interactive offers you a different holiday. Experience rural life in Uganda, and offer practical help to local communities during your trip. ",Kiafrica
"You will find here all information about the organisation and its activities: volunteer work, host family stays, hostel arrangements, workshops, trips, projects, ... ",Senevolu
We are a national education charity that provides young people with the opportunity to make a difference. Envision was set up to challenge the stereotype of the ‘youth’ as apathetic and disengaged.,En Vision
"Join us in creating, preserving and restoring New Zealand's natural environment.",Conservation Volunteers NZ
PADI 5* Diving resort on tropical Koh Tao Thailand teaching all PADI courses from beginner to instructor.,Simple Life Diving Koh Tao
"Florence Convent School, is a small group of teachers working hard and doing their best to give 185 children hope for the future.",Florence Convent School
   Volunteer opportunities in South Africa  ,Tembe Elephant Park
"Rokpa is a worldwide charity founded in 1980 by Dr. Akong Tulku Rinpoche, a Tibetan doctor and teacher, with Lea Wyler and her father Veit Wyler. The word Rokpa means to help or to serve in Tibetan.",ROKPA
The largest independent local charity providing direct services to older people from all communities and backgrounds in the city and county.,Age Concern Nottingham and Nottinghamshire (ACNN)
Horse riding and volunteer opportunities,Horse Riding Argentina
Volunteer St Matthew's Orphanage Centre,St. Matthew's Orphanage Centre
A simple idea: that we can help forge lasting connections by placing young professionals from the West in meaningful fellowships with energetic civil society organizations in Pakistan.,Impak
"The Gate of Hope Foundation (G.H.F) was founded as a Non – Profit, Non – Governmental Organization (N.G.O) and has been incorporated with the organization code, 1963 (Act 179) of Ghana.",The Gate of Hope Foundation (G.H.F)
"Centers on the child – the whole child. And in an environment of poverty, disease, and vulnerability, education is one of the most important predictor of a child’s growth and future economic certainty",Action For Empowerment (AOET)
"SAIDIA TANZANIA ORGANISATION offers and unforgettably inspirational volunteering experience. Volunteers will gain insight into the vibrant culture of Tanzania, whilst making a meaningful contribution to the community",Saidia
Volunteer International Community Development Africa is a non profit organization which works with the Kenyan community.,Volunteer International Community Development Africa
Volunteering with us is 100% free! What do we offer? We offer food and accomodation in exchange for your services.,Casa Do Caminho
Norcare is a Charity and Company Limited by guarantee providing a range of support services and accommodation for people aged 16 and over who are currently socially and economically excluded.,Norcare
The COMPANIONS Befriending Scheme is based in the Peterhead / Fraserburgh and Banff / Turriff area in North East Scotland.,COMPANIONS
"Projects vary from:Construction of buildings i.e. schools,clinics,water tank,Rehabilitation (renovation)of rundown community structures,Community service:sports training/workshops",Development Africa
Are you taking a Gap year or wanting to travel and do voluntary work in Bulgaria on organic farms for a year?,Crop Scheme
The Fairtrade Foundation is the independent non-profit organisation that licenses use of the FAIRTRADE Mark on products in the UK in accordance with internationally agreed Fairtrade standards. ,Fairtrade Foundation
This is an organisation that places volunteers in community based NGO's here in Uganda. These volunteers come from around the globe.,Youth League Organisation
"Our goal is to help your child enjoy, understand and appreciate the natural environment through hands-on, inquiry-based activities.",Fern & Feather Day Camp
"We are looking for people of all shapes and sizes to volunteer individually, with a friend or as a family in Bristol, Bath and North East Somerset.",Time2Share 
Experience the real Thailand by volunteering to teach English. ,LemonGrass
Time to choose your path - South Africa truely has so much to choose from and so does our projects. All our volunteer projects are aimed at giving back to the heritage of this nation.,WorktravelSA.org
Ride for Hope is an annual fund-raising cycling event held in the Bahamas.,Ride For Hope
"If you have always wanted to volunteer in Africa in affordable and enriching programs, you have come to the right place. ",Come Kuona International
"Worldcorps is a nonprofit, non-governmental organization founded by colleagues from six nations and was headquartered in Seattle, Washington, USA. World Corps has projects running worldwide.",Worldcorps
Butterfly Conservation was formed by a small group of dedicated naturalists in 1968 following the alarming decline of many beautiful butterflies,Butterfly Conservation
"NepalHumanRightsNews.Com is an entirely non-profit online initiative, dedicated to cover the news and issues on the situation of human rights in Nepal. ",NepalHumanRightsNews
CODEC Volunteers is premier volunteer organization offering social development solutions with a global perspective by focusing on international volunteer exchange programs to integrate sustainable development.,CODEC Volunteers
"The Sunnymede Trust is a registered UK charity, committed to improving oral health within low income communities. Our aim is to make knowledge of oral health a fundamental part of health education.",Sunnymede Trust
"A non-profit organization based in La Paz, Bolivia, works with abandoned, abused and lost children and both children and adults with dissabilities, to enhance their quality of life and environment in state-run homes.",Para Los Niños
KURINUA is a women group consisting of approximately 15 women from 4-5 communities. The group has their facilities and office in the Arutam community.,Kuri Nua Women Group
"Enhancing, encouraging and empowering poor and underprivileged people regarding education, development, health and welfare programs. ",Future India Foundation
"Protects the floral biodiversity by existing as an information resource for the community, government, industry and science and to be a place of beauty for all visitors to enjoy.",Caribbean Botanic Gardens for Conservation
"Established in 1977, Sea Shepherd Conservation Society (SSCS) is an international non-profit, marine wildlife conservation organization.",Sea Shepherd
PAW is an organisation formed to protect and restore the Mwabvi Wildlife Reserve in Southern Malawi. ,Project African Wilderness Trust
Thames21 is an environmental charity working with communities to bring London's waterways to life. ,Thames21
Frontiers Foundation is a non-profit aboriginal voluntary service organization that promotes the advancement of economically and socially disadvantaged communities.,Frontiers Foundation
A Volunteer Service Organization Serving Children with Disabilities Worldwide,Ann Foundation
Tools for Self Reliance refurbishes tools in the UK and then sends them to communities in Africa. We support rural artisans and craftworkers with tools and training so they can improve their businesses.,Tools for Self Reliance
We offer students the experience of a life time by taking part in pure African wildlife projects,Wildlife Students
"Action for Social Advancement (ASA) is a non profit development organisation, working with poor and marginalized communities of Madhya Pradesh and Bihar since 1996, towards ensuring secure livelihoods.",Action for Social Advancement (ASA)
Spend a week with HCN and find out why preservation can be a powerful tool for change. Learn how to care for the past while you help make a difference for the future.,Heritage Conservation Network (HCN)
"With more than 40 years’ experience, Young Enterprise is the UK’s leading business and enterprise education charity.",Young Enterprise - Learning By Doing
Mafanikio is a Kenyan community based organisation set up to fight poverty in the marginalised regions of Kenya. ,Mafanikio
A member of the Coordinating Committee of International Voluntary Service (CCIVS) at UNESCO and the Allianceof European Voluntary Service organizations. Placements in Armenia,Voluntary Service of Armenia - Republican Headquarters of Student Brigades (HUJ)
"Outset is part of vinvolved, England's biggest ever youth action scheme which is aiming to inspire half a million young people to volunteer.",Outset Youth Action
Volunteer work in Argentinean and Chilean Patagonia,Asociación MAPU
Nexos Voluntarios promotes high quality voluntary activity by encouraging impact-driven non-profit organizations to incorporate volunteers.,NeVo Nexos Voluntarios
Imagine a camp with an ideal sports training facility...  a place where challenging campers is no sweat (for us!).    ,JCYS North Shore Day Camp and NSDC Sports
Environment Las Americas is committed to cutting-edge teaching and advocacy that promotes rapid and profound change in human behaviour toward the environment.,Environment Bolivia
"We offer volunteer programs in Africa, Asia, and South America. Our programs include teaching English, orphanages, healthcare, journalism, HIV/AIDS, conservation and more.",Cosmic Volunteers
"There are many ways to contribute to the communities in and around Arusha. We offer volunteer opportunities teaching, working in daycare centers, orphanages, with womens groups and more. ",Tanzania Volunteer Experience
Beroya is committed to providing spiritual and humanitarian services to the communities of Uganda. ,Beroya Gospel Fellowship
"EngineerAid is an international development charity, working to provide remote solutions to engineering and technology problems in the less economically developed countries.",EngineerAid
"CCC is committed to provide an opportunity for the Poor, Needy, Socially dominated (Schedule castes and tribes) and above all the Orphans.",Chetana Children Center (CCC)
"is a well-established Ghanaian volunteering organization; offering low-cost, on-going, fun-filled international volunteering opportunities in several towns and villages in Ghana.",Volunteer in Ghana Service (VIGS Ghana)
"A registered non-profit organisation based in Cape Town, South Africa, that strives to support local organisations through the work of volunteers who come from both the local and global community.",Atlantic Volunteers
"PaM works with the small community of Máncora, Peru, to create sustainable, locally-run initiatives in the areas of community health, social services and education.",Para el Mundo (PaM)
Cheetah conservation,De Wildt Cheetah and Wildlife Trust
Teens Net Foundation is a Ghanaian based not-for-profit youth led and youth focused organisation which seeks to empower and improve the living conditions of young people to give them a brighter future.,Teens Net Foundation
ProNica provides practical opportunities for service to and in Nicaragua. ,ProNica
Volunteer in South Africa,Omoja Volunteering
"RUCHI or the Rural Centre for Human Interests is a non-political, non-profit making organization committed to development of rural India. ",Rural Centre for Human Interests (RUCHI)
"Norton Priory aims to be a world class community museum, and we work with many different groups and individuals from the local community as part of our day to day work and as part of special projects.",Norton Priory Museum & Gardens
There are many different areas for volunteers to be involved in. Volunteers receive lunch and 50% discount off clinic services. ,Angel Notion
"Our mission is to provide an affordable intercultural exchange that creates a terrific experience for you as a volunteer, and benefits the people that you come to Chile to help. ",Sam Connects
"Improving livelihoods of our people, religious institutions and other local efforts by groups and individuals to ameliorate the living conditions of children.",Good Hope Initiative (GHIN)
A charity that has been helping isolated people and peer groups for over 20 years. We do this by using the surplus generated from our mainstream business to create teleconference support programmes.,Community Network
We warmly welcome caring individuals to assist us in serving orphaned and vulnerable children on the ground in Busia.,New Hope Orphanage
"ACP supports several organizations in Awassa, Ethiopia: a children’s center that provides housing, food and education for over 60 children orphaned by AIDS",Awassa Childrens Project (ACP)
"Our main focus is on working towards attaining rural child survival, poverty alleviation and reducing the escalating transmission of HIV/AIDS which is the biggest contributor to the orphanage crisis.",Child Hope Zambia 
"See Africa through the eyes of the locals! Kunata Voluntary Organization  welcomes you to Ghana,  the land of hospitality, rich culture and traditions. ",Kunata Voluntary Organization
Offers individual and group travelers from around the globe a meaningful travel experience by pairing them with local community organizations where they may volunteer during their stay at Casa HOY.,Por un mejor HOY
The gap year program at African Leadership Academy is a once-in-a-lifetime experience for recent high school graduates from around the world. ,African Leadership Academy
An American/Thai company which specializes in supporting educational and volunteer projects in South East Asia through the placement of foreign applicants in educational and volunteer opportunities.,TRAKS International
"Whether you join our exciting fundraising events, help us to run our activities or wish to sponsor the Mitchemp Trust, your support is very much needed.",The Mitchemp Trust
"Nicola Vahsen and Gero Peters – assisted in setting up the children’s home Light for Nepal in Kathmandu, Nepal.",Bahini
"The mission of the RUDEC is to promote diverse community efforts focused towards the generation of income, social wellbeing, improved nutritional status, and enhanced livelihood for all.",Rural Development Centre (RUDEC)
The MEF (Monze Education Fund) and its supporters are helping Monze Basic School and its pupils with much needed financial and material support.,Monze
We are an Irish Charity based in Dublin that works with 300 disabled orphaned children in the Republic of Moldova in Eastern Europe.,Outreach Moldova
Voluntary Human Aid And Charity Organistion is a non profit organisation located in the northern part of Ghana where poverty and poor infrastructure have bedeviled that part of the country. ,Voluntary Human Aid And Charity Organistion
The association DANIROSA has been working now for more than 5 years among the needy.,Association Danirosa
"HorseWorld is the leading UK charity caring primarily for horses, ponies and donkeys.  We rescue, rehabilitate and rehome animals who have been abandoned, neglected or ill-treated.",HorseWorld
"Also popularly known as IDF Nepal, is an initiation taken for goal of empowering the societies from partnered developmental initiatives, exchange programs, volunteer programs, and cultural sharing.",Ideal Friendship Nepal
Volunteers in Community Development Kenya (VICDK) it is a charitable non profit organization was initiated in 2006 and based in Nairobi Kenya.,Volunteers in Community Development Kenya (VICDK)
"Plantlife International is a charity dedicated exclusively to conserving all forms of plant life in their natural habitats, in the UK, Europe and across the world.",Plantlife International
"The Home Visiting Service offers counselling, healing, massage and reflexology, as well as befriending. ",Cancer Resource Centre
Trek4Good is a volunteer program of The Mountain Fund. ,Trek4Good
"A charity based in Ireland which works mostly in Kenya and Nepal, helping street children and their families with education, health and welfare, building and promoting sustainable projects.",Moving Mountains Trust
ProFauna Indonesia is an Indonesian society for the protection of wild animals and their habitats.,ProFauna Indonesia
"Choose the road less travelled, blaze new paths, risk great things for God...with like-minded followers of Jesus, we form teams to glorify God around the world.",Action Partners Pioneers
"The work contains the renovation and maintenance of the buildings, de development and maintenance of the terrains (vegetable garden, orchyard, lawns) and all other work that needs to be done. ",Termas Da Azenha
Our aim is to promote good mental health through the provision of high quality services with active user participation and lobbying and campaigning for positive change.,Oxfordshire Mind
"Volunteers are crucial to the work of Victim Support. We help over 1 million people affected by crime each year, we could not do this without our 14,000 locally based volunteers.",Victim Support Merseyside
Pyramid welcomes volunteers from all sorts of backgrounds. We are committed to fairness in our practices and in meeting the needs of our diverse clients.,Pyramid
Hearing Concern LINK the newly united charity providing support and information to people with a hearing loss and their families (formerly Hearing Concern and the LINK Centre for Deafened People).,Hearing Concern LINK
KEEN London is a charity providing free weekly sports and recreational sessions for children and young adults with special needs in the London area.,KEEN London
"Amida Trust is based in Leicestershire, England, has a centre in Finsbury Park London, a retreat centre in France, a small community in India, and local groups in UK, Belgium, and Hawaii.",Amida Trust
Homeway / travelwithcare is an online travel supermarket specialising in the supply of high quality and fairly priced travel accessories. ,Travel With Care
RIAES - Rural India Awareness and Educational Society. We at RIAES provide opportunities to Volunteers to hand pick their programs and duration unless it is a specialist volunteer program.,Rural India Awareness and Educational Society (RIAES)
"An umbrella organisation that provides advice, information and development support services to voluntary and community organisations and volunteers in the Epping Forest District.",Voluntary Action Epping Forest (VAEF)
St. Anthnasia Care Centre - Helping children in Uganda.,St. Anthnasia Care Centre
Touchwood Ecological and Social Foundation. We are an Indian non-governmental organization working to create permanant socioeconomic mobility for India's indigenous peoples.,Touchwood Ecological and Social Foundation
"The mission of the women is to provide a sustainable future for themselves, their families and their community, while protecting the incredibly rich diversity of their natural resources.",Colibris Women´s Artisan Cooperative 
Participation in an international Summer Workcamp means voluntarily contributing to a project.  ,Ferchervonsteinwand
"We offer tailor-made ethical holidays, voluntourism tours and volunteering adventures based on the appreciation and respect of the local environment and people.",Go Differently
"Viatores Christi, founded in 1960, recruits, prepares and sends lay missionary development workers to work in areas of need overseas. ",Viatores Christi
Walk the Walk came into being 12 years ago when just 13 women Power Walked the New York City Marathon in their bras to raise money  and awareness for breast cancer.,Walk the Walk
"The Rainbow Centre provides free and professional support to children and their families affected by bereavement, life threatening illness and cancer.",The Rainbow Centre
"Hope For Needy Children Africa is a child and Family Centered organization,working to restore Hope and Dignity to orphans and Needy Children in poor families in Uganda.",Hope For Needy Children Africa
"Based in Delhi with offices all over India, Experience of placing over 7000 Volunteers, Partnerships with over 400 credible NGO’s.",Go Volunteer India
"The mission of the women is to provide a sustainable future for themselves, their families and their community, while protecting the incredibly rich diversity of their natural resources.",Colibris Womens Artisan Cooperative 
"Anika Patrice Project was established in 1991 by a group of parents and carers of people with Learning Disabilities of African, Caribbean, Asian and Turkish descent, based in Hackney. ",The Anika Patrice Project
"RUSO is a non-political, non-sectarian and non-governmental organization that employs volunteer humanitarian action to empower local communities and contribute sustainable grass-roots solutions",RUSO
Volunteers are very welcome and always needed. We particularly invite trainee vets. who may want to have some experience in this field or just offer their skills for a good cause.,Animal Rescue Kerala (ARK)
If you are interested in becoming a Volunteer Field Investigator for the Shark Research Committee please contact: SharkResearch@AOL.com,Shark Research Committee
"BUILD, is an ecumenical Christian response of all the Churches in Mumbai, India to side with the poor and the oppressed in their struggle agains all forms of injustices meted out to them because they are poor.",BUILD
"Promoting policies and implementing developmental projects related to poverty reduction and empowerment of the poor, handicapped and others victimized by society to improve the overall standard of living",Shape Lives Foundation (S.L.F)
"Volunteer - Haringey Shed relies heavily on its volunteers. By giving your time you can really help and have lots of fun at the same time, either in our weekly sessions or during one off shows.",Haringey Shed
"The NAVTI foundation is a non-profit development organisation in Kumbo, Cameroon. ""Navti"" in our native language Lamnso means ""to repair"".",The NAVTI foundation
"Our mission is to develop and deliver a challenging volunteer program that benefits the indigenous communities and the unique wild areas, whilst providing volunteers with a rewarding experience.",Venezuela Experience
"Our Volunteer program is open to all citizens of earth and visitors, regardless of age, origin and experience. Everyone has something to learn, everyone has something to teach.",The Earth Embassy and Solar Café
"A registered non-governmental and community based organization in Uganda that was established in 2004 to respond to the problems faced by children, families and communities",Elgon Project
"We invite you to join us in our ongoing mission to ""help seriously ill children and their families cope with their pain, fear and isolation through entertainment, education and family activities.""",Starlight Children's Foundation
Volunteers are vital to the work of Children North East and are used in many ways,Children North East
VEFDA (T) emerges from an infant civil society to a promising institution that can bring sustainable development to people and promote to conserve the ecology in collaboration with other partners. ,VEFDA (T) - Victoria Environmental and Fishery Development Association
"We are a network community of people committed to praying and working for peace and justice. Supporting work in East Africa, Croatia, Romania, India and the United Kingdom.",The Community for Reconciliation
"Centre for Rural Education and Development (CRED) strives to empower the underprivileged and the marginalized sections of the society. It works to uplift their social, cultural, political and economic life.",Centre for Rural Education and Development (CRED)
"Dedicated to helping orphans and vulnerable children (OVC) in Ghana, West Africa grow up in healthy, nurturing environments that provide quality care, protection, education, and support.",OrphanAid Africa (OA)
"By donating your time and skills to Greenhouse, you will help young people living in deprived neighbourhoods build themselves a brighter future through sport and performing arts.",Greenhouse
The Prithipura Communities of Sri Lanka is an organisation dedicated to the care and assistance of children with disabilities. ,Prithipura Communities
"For several years the European Centre CARAPAX for the protection, scientific research and the repopulation of tortoises has recruited volunteers to work in Tuscany.",CARAPAX
"Global Choices offers a wide variety of programmes for students, young professionals and other participants from the UK and internationally.",Global Choices
"Dedicated to finding practical methods of redressing inequalities and injustice, our method is to unleash a charity's entrepreneurial impulses and curb its excesses.",Charities Advisory Trust
"Sie suchen ein Auslandspraktikum, Sprachkurse, oder wollen im Ausland studieren?",World of xchange
"If you have a heart for China’s abandoned and disabled and would like to join our team, there are several options.",China Concern (ICC)
Providing workcamp projects for young volunteers to help communities in Uganda. ,Mentor Volunteers Uganda
"GambiaHELP, exists to enable communities in The Gambia to protect, conserve and improve their health and the health of their community while building a sustainable economy and environment. ",GambiaHELP
we organize events that allow promotion of talent and help them improve to formal careers to eradicate poverty in the communities.,Village Talent Network
"An organization dedicated to disseminating information on volunteer work programs in Africa and organizing a wide range of volunteer work, internship-volunteering and group volunteer-tourism programs in Ghana.",Volunteering in Africa
"Exists to enable communities in The Gambia to protect, conserve and improve their health and the health of their community while building a sustainable economy and environment. ",Gambia Health Education Liaison Project
"Christian charity providing residential care, medical care, education, vocational training, practical and emotional support to sufferers of TB, leprosy, HIV/AIDS, their children and those disadvantaged by age. ",Brighter Future International Trust
"An international nonprofit organization working to help the residents of rural Cambodian villages create a sustainable quality of life through wells, irrigation systems, schools, training and empowerment. ",Sustainable Cambodia
THE OBJECTIVE OF THE FOUNDING MEMBERS OF CWC WAS TO DEVELOP A PROGRAMME WHICH WOULD HAVE A SUSTAINABLE IMPACT ON THE ISSUE  ,Concerned Working Child (CWC)
The Katelios Group is a small organisation working to protect the natural environment of Kefalonia. We focus on the conservation of the endangered Loggerhead sea turtle Caretta caretta.,Katelios Group
BIOS is an independent marine science organization. To take advantage of Bermuda's ideal location for deep-ocean and coral reef research and education.,Bermuda Institute of Ocean Sciences (BIOS)
"Anyone interested in applying for a voluntary position, internship or work experience should send a CV and cover letter outlining the kind of work he/she would like to be considered for.",Anti Slavery
"OPEN WINDOWS is a dynamic children’s educational center (library, computer center, and more) in the town of San Miguel Dueñas, ten miles (15km) from Antigua, Guatemala’s famous Spanish colonial city.",Open Windows Foundation
"From driving athletes around the city, to passing out water, to sending out thank you letters to our sponsors, San Antonio Sports volunteers are the backbone of our organization. ",San Antonio Sports
"Fforest Uchaf Horse and Pony Rehabilitation Centre provides a safe haven and Tender Loving Care for horses and ponies who have suffered through neglect, ignorance or cruelty.",Pit Pony Sanctuary
"Parents Advice Centre (sometimes known simply as PAC) has, since 1979, provided help and support to parents facing any family difficulty.",Parents Advice Centre (PAC)
"The organization is committed to uplifting and empowering communities, especially disadvantaged groups, such as Orphans/Children, Women and the Elderly.",Tujifunze Project
John Lyall Trust,John Lyall Trust
Various volunteering opportunities,Child Rescueing Centre International (CRCI)
"We are looking for individuals from all walks of life who are willing to work for SCN towards attaining a better, natural and cultural environment. ",Sarhad Conservation Network
We are a local volunteering organization completely committed to giving you an unforgettable experience of Ghanaian life - whether you are staying for one week or several months.,Africa Calling
"NGOabroad is a unique service that  helps you enter or advance in international humanitarian work & provides frugal, customized international volunteer opportunities.",NGOabroad
People volunteer because they enjoy it! Most importantly people volunteer because they get great satisfaction from the results of their efforts and see the difference they've made to their community.,The ARMAGH & DUNGANNON VOLUNTEER CENTRE
Vital International Foundation (VIF) is a non-governmental organization founded in 1996 in Ghana as a private sector response to the rapidly growing HIV/AIDS epidemic in Africa. ,Vital International Foundation (VIF)
"If you would like to become a youth leader or would like to recommend someone to become a youth leader, please let us know",International Association For Human Values (IAHV)
"Help Tafo Trust staff are volunteers from various educational backgrounds. We are a non-profit making, non-political and non-religious charity.",Help Tafo Trust
The  Billy Riordan Memorial Trust needs Medical Volunteers to come and work with us in Cape Maclear.,The  Billy Riordan Memorial Trust
Arthritis Care exists to support people with arthritis and you could become involved through volunteering. You can get involved at many different levels and in a range of different ways.,Arthritis Care
"LOHADA is a small, Tanzanian-led, non-governmental organization serving young children at risk of going to the streets and disadvantaged elderly people in Tanzania.",LOHADA
Meaningful volunteer opportunities,I-Care Volunteers
"Lovedale Foundation is an independent, non-governmental social development organization, which has been active in the field of children's needs, Education, concerns and rights since 2001.",Lovedale Foundation
"Matches volunteers to the hundreds of voluntary opportunities available throughout Calderdale (Halifax, Elland, Brighouse, Hebden Bridge, Ripponden, Sowerby Bridge, Todmorden).",Voluntary Action Calderdale
Medecins du Monde is an international  charity which has benefited from the voluntary commitment of its members for over 27 years to help the most vulnerable people worldwide.,Medecins du Monde
"ASTVS is a youth and non-profit making organization , situated in Errachidia, a city in the South-East of Morocco in the border area of the Middle Atlas mountains and the Sahara.",ASTVS
"Educating and empowering the grassroots communities in Eastern Burma, documenting human rights abuses and acting as a bridge between the grassroots communities and the international community. ",Burma Issues
"Helps sick children and their families throughout the UK to manage the consequences of serious illness and complex health conditions through our programme of care, support and research.",WellChild
Volunteers are central to what we do and recruitment is an on-going priority.  Volunteers gain personally from their involvement with COVEY.,COVEY
"Volunteer Challenge was formed in 1994, worked with over 400 volunteers so far. Volunteer Challenge is based in Santa Cruz de la Sierra the largest city of Bolivia.",Bolivia - Volunteer Challenge
"Programs focus on the marginalized groups, especially women and children, in order to empower communities to improve their quality of life.",Bunyad Literacy Community Council (BLCC)
Volunteers accepted on projects in the northern province of Esmeraldas to conserve flora and fauna.,Fundacion Cabo San Francisco
"We send volunteers to work in the psychiatric section of Tarnaveni Hospital in Transylvania, Romania, to provide a programme of therapeutic activities for long-term patients.",Volunteers for Mental Health (VfMH)
Otjikondo School Village Foundation runs a primary school for under-privileged children between the ages of 6 and 13. It offers school and boarding to 230 children from Northern Namibia. ,Otjikondo School Village Foundation
Volunteering Ireland is the National Volunteer Development Agency. ,Volunteering Ireland
"The mission is to improve the physical, spiritual, and economic conditions of the poor in Guatemala through short-term surgical, medical and dental mission trips and health-related educational programs.",Faith In Practice
*  Guest Volunteers  *  Co-workers  *  Employees,Coleg Elioyr
"Building Hope is a Registered Charity working in Ethiopia to improve the lives of the poorest and the most disadvantaged families, specifically those affected and disabled by leprosy, living in very poor conditions.",Building Hope
"Volunteer Initiatives is a youth-led, youth-focused, non-profit organisation and a network of young volunteers in Nigeria. ",Volunteer Initiatives
Richard House has been providing care and support for life-limited and life-threatened children and their families since the year 2000.,Richard House
A Ugandan Non-profit Organisation dedicated to restoring hope and improving the quality life of those in the rural areas of Uganda who have been made vulnerable by HIV/AIDS and Poverty.,Tokamalirawo AIDS Support Group (TASAAGA)
"RAM always welcomes people interested in volunteering to come and be a part of an expedition. To volunteer, please fill out the volunteer application, and mail it to the address on the form.",Remote Area Medical Volunteers Corps (RAMUSA)
KIDS Worldwide helps to organise placements for international volunteers to get involved in over thirty childrens projects located in developing countries around the world. ,KIDS Worldwide
We need volunteers at every stage of our work: to assist the children during weekly classes and in writing their plays at the writing weekend; to perform and direct the plays the children write and much more! ,Scene and Heard
Volunteer abroad with Thai Mueang Volunteers and teach English to children at under-funded government schools in Thailand!,TM Volunteers
Seaview Performing Arts Center is located at Bellyacres an artistic eco village located in Puna Makai on the Big Island of Hawaii.,Seaview Performing Arts Center (SPACE)
"Whether you are a graduate, career breaker or retiree a volunteer experience with Creative Corners definitely provides a WIN/Win outcome…",Creative Corners
Finds volunteer placements and provide support for individual volunteers in our country Ghana,African Dream Volunteer Service
"Do you have one morning or afternoon free per week or even just a couple of hours per month? Would you like to be part of our small, friendly team? ",Cauldwell Children
"We also provide employable skills training for refugees from neighbouring countries, youth and social groups, house helps, orphans, vulnerable children, convicts and ex-convicts in Ghana.",African Hope Foundation of Ghana
India Village Ministries (IVM) began in the year 2001 with Suresh & Roja Vemulapalli.  They responded to the call from God to reach the un-reached and serve the needy people in the villages of India.,India Village Ministries (IVM)
"Working in close partnership with the public, Sea Watch is a national marine conservation research charity dedicated to the protection of whales, dolphins and porpoises (cetaceans) around the UK.",Sea Watch Foundation
Want to help a Trust dedicated to the Natural World? Why not volunteer a morning a week at our centre?  We are a small Trust that was set up to encourage an interest in the natural world. ,Magic of Life Butterfly House
"The Limbe Wildlife Centre (LWC), a wildlife rescue and rehabilitation project situated in the South West Region of Cameroon.",The Limbe Wildlife Centre (LWC)
POWER International is a charity that ensures people with disabilities in developing countries can change their lives and communities for the better.,POWER International
Environment Liaison Center International (ELCI) is a Non Governmental membership Organization that emerged and was established from the first Earth Summit in Stockholm in 1972.,Environment Liaison Center International (ELCI)
"   Unexpected Moments of Magic Panama is a grassroots volunteer organisation operating in the beautiful town of Boquete, Panama.   ",Unexpected Moments of Magic Panama
"CRC is nestled in the beautiful Wisconsin Northwoods. Each summer amidst thousands of majestic pines & native wildlife, friends come together from the world over to learn, grow & appreciate a wonderful life & planet.",Chippewa Ranch Camp
"   The St. Eustatius Center for Archaeological Research is a non-profit organization located on the small volcanic island of St. Eustatius in the Dutch Caribbean.  We seek to uncover, preserve, and protect the rich history of St. Eustatius through research, outreach, development, and the help of our volunteers.  ",The St. Eustatius Center for Archaeological Research
"If you just love all animals or even if it's just because you have some free time and want to work with a group of friendly and dedicated group of like-minded people, why not become a volunteer at Wildlife Aid?",Wildlife Aid
Education and volunteering projects,Volunteering Brindavan
Staying within this rural community in SW Uganda ensures visitors a warm welcome when they offer help in the schools and homes. Exact nature of work is tailored to your own  skills & interests   +44 1932 562757,Uganda Lodge Community Projects
"Works at grassroots level, appealing to the community to become active participants in developing a better life for themselves.",Rural Organisation for Social Elevation (R.O.S.E.)
"Was created in 1986 to fill the information gap in foreign policy between North American citizens and their governments, promoting a deeper understanding of the Central American region.",The Institute for Central American Development Studies (ICADS)
"The national voice for volunteerism in Canada. Since 1977, Volunteer Canada has been committed to supporting volunteerism and civic participation through ongoing programs and special projects.",Volunteer Canada
The Trust protects and promotes wildlife throughout the Avon area.,Avon Wildlife Trust
