contact_number,description,email,cause_area,name,website,address
+917134220001        ,The mission of our ourganization is upliftment of the downtrodden in the society and bring them into the mainstream.   ,anaghaamte@gmail.com  ,"Community Improvement, Education, Medicine, Diseases and Disorders","Maharogi Sewa Samiti, Warora",http://www.lokbiradariprakalp.org,"Anandwan, Dist. Chandrapur,, Warora, 442914 INDIA"
91-079-26577115.2658047491-079-26587708       ,    ,sewaacdy@youtele.com  ,Women and Girls,Mahila SEWA Trust,http://www.sewaacademy.org,"'Krishna Bhuvan' Beside Hariharanand Ashram Ellis Bridge Corner, Opp. Sakar II Town Hall, Gujarat, Ahmedabad, 380 006 INDIA"
+91-9900399313        ,"Make A Difference mobilizes young leaders to achieve equitable outcomes for children in shelters across India. Our core programmes focus on empowering children through better emotional health, life skills,exposure, educational support, transition readiness and after care; changing the ecosystem around the child by driving better practices among the institutions that directly affect their lives, primarily shelters, schools, family, state and society; and enabling the sector through better data, sharing knowledge and building coalitions and networks. We start working with children at the age of 10 and continue supporting them well beyond their exit out of shelters at 18. Our long term aspirational goal is that all children in shelters across India are able to achieve a middle class outcome as adults. A key example of current impact is that we have successfully reversed dropout trends for those who have been through our programs, and more than 90% of the children we work with have continued into higher education (post 16) as compared with a more typical rate of 8%. As an important trajectory marker, this also has significant implications for successful longer term outcomes.   ",mannat@makeadiff.in  ,"Education, Community Improvement",Make a Difference - Cochin,http://www.makeadiff.in,"#16-C, MCHS Colony 1st B Main, 14th C Cross, HSR Layout, Bangalore, 560 102 INDIA"
++9122 2497 9457N.A.       ,"We grant the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy.Our Vision : We are dedicated to making every eligible child’s wish come trueAbout Make-A-Wish Foundation of India Make-A-Wish Foundation® of India is a non-profit organization affiliated to Make-A-Wish Foundation® International, a prestigious foundation which has 37 other affiliates worldwide serving about 49 countries. The Foundation is dedicated to granting the most cherished wish of children between the ages of 3 and 18 years, living with life-threatening illnesses, irrespective of their socio-economic status, caste, race or religion. It is a registered trust under Bombay Public Trust Act. Each affiliate works within the framework of stringent international policies and guidelines. Ours is the most preferred and highly rated with FOUR STAR rating by International Charity navigator for 9 years in a row and thus we are a global brand and a pioneer in this effort.  The Indian affiliate was established in 1996 and since then we have fulfilled over 25000 wishes across 10 divisions in India. There are 10 divisions of the organization functioning in the country viz. Ahmedabad, Bangalore, Coimbatore, Delhi, Goa, Hyderabad, Jaipur, Kolkata, Mumbai and Pune. Our national office is based in Mumbai. On an average we fulfil about 8 wishes a day within our divisions.About Wish Adoption and Wish Fulfilment The Foundation is dedicated to granting the most cherished wish of children between the ages of 3 and 18 years, living with life-threatening illnesses, irrespective of their socio-economic status, caste, race or religion.The foundation fulfils four types of wishesTravel Wishes: ‘I wish to go…’ (Within India)Occupational Wishes: ‘I wish to be…’ Celebrity Wishes: ‘I wish to meet…’ Gift Wishes: ‘I wish to have…’Power of a Wish: For children battling life-threatening illnesses the joys of childhood are replaced with a daily battle for survival, painful treatment and medication and endless rounds of hospitals. The fulfilment of the most cherished wish of a child who has very little hope of enjoying a normal, healthy life not only gives happiness and joy to him/her but also has a therapeutic effect on the child. Doctors have often reported an improvement in the child’s physical condition, after the fulfilment of his / her dearest wish. A wish fulfilment makes a sick child believe that anything is possible – even the future. Project Relevance and Impact Child health in India is still under critical condition. As per UNICEF – India is among those countries with highest child mortality rate. In 2009 India has a child under 5 year’s mortality rate of 60.6/1000. That means 60.6 out of 1000 children dies before reaching the age of 5 years. Though it is decreasing sharply for last few decades but it still remains one of the highest in the World. However there are various causes for morality amongst children. In our course of work we have realized that there are children suffering from various life-threatening illnesses which put their life in jeopardy. In India, children suffer from various forms of organ Cancer, HIV/AIDS, Thalassemia, Nephrotic Syndrome, Cardiac illness, Haematological illness, Neurological illnesses apart from Mal-nutrition, Diarrhoea, and other infections, all of these are categorized as life threatening illnesses in children. When there is no hope and dejection from constant hospitalization, medication and also awareness that there life span is decreasing, getting their wish fulfilled at times has the most life changing experiences, which we call the ‘Power of a Wish’.  During 2010-2011, Make-A-Wish® America led a study that defined the effects of wishes on the organizations “community” and, for the first time, provided quantitative measures of the breadth and depth of the impact of the organization’s mission activities. The valuable conclusions of the study can be organized into three major areas that the wish process clearly appears to improve: health status, state of mind and community. Project Aim: The goal of the foundation is to fulfil the innermost and cherished wishes of children who are suffering from life threatening medical conditions. For this project purpose, the wishes of children taking treatment in the hospitals in Mumbai would be granted.",ceo@makeawishindia.org  ,"Medicine, Diseases and Disorders",Make A Wish Foundation of India,http://www.makeawishindia.org,"111, Vasan Udyog Bhavan, Sunmill Compound, Senapati Bapat Marg Opp. High Street Phoenix Mall, Lower Parel, Mumbai, 400013 INDIA"
65 6334 947465 6334 4650       ,    ,debbieseah@makeawish.org.sg  ,"Child and Youth Development, Medicine, Diseases and Disorders",Make A Wish Foundation Singapore Limited,,"116 Middle Road #09-02 1CB Enterprise House, Singapore, 188972 SINGAPORE"
91 22 2204156091 22 22850587       ,"Manav Rehabilitation Centre is a rehabilitation therapeutic facility that focuses on re-integrating those with Mental Illnesses back into society using various psychosocial interventions. It had been observed that creative methods like Art Based Therapy (ABT), Animal Assisted Therapy (AAT), Drama, Music and Dance Therapy are extremely effective in reaching those individuals whose vocalisation and articulation skills are compromised. ABT and AAT are two of the creative methods used at the centre for their ability to effectively facilitate therapy to all our clients, regardless of their diagnosis and level of cognitive ability. We have observed that besides helping to improve mental and emotional health, the use of these therapeutic sessions over a period of time has lead to a significant increase in self-awareness, cognitive abilities and the reduction of stress in our clients. The more benefited from these interventions were those clients who were withdrawn or shy. These therapies are integral to the holistic recovery of individuals with Mental Illness, and incorporating these interventions substantially improves quality of life by enhancing their mental, emotional, physical states.The grant from CAF America will be used to meet the expenses incurred in the facilitation of these two interventions. The expense incurred for ABT on a monthly basis is rupees twenty nine thousand and two hundred fifty approximately and yearly is two lakh forty three thousand approximately. For AAT, our monthly expense is approximately  rupees twelve thousand and yearly is rupees one lakh fifty two thousand approximately.   ",gandhi_suresh@hotmail.com  ,"Child and Youth Development, Education",Manav Foundation,http://www.manavfoundation.org.in,"51, Nariman Bhavan, Nariman Point, Mumbai, 400021 INDIA"
9180-23462454/098803624549180-23562456       ,    ,mathrushreemk@yahoo.com  ,"Child and Youth Development, Medicine, Diseases and Disorders",Mathrushree Manovikasa Kendra (R),http://www.mathrushreembk.org.in,"2/13 2nd Cross, Kumara Park West, Bangalore, 560020 INDIA"
63272850736327285073       ,"The purpose of Mercy, Hope, Love Ministrys is to exist, operate, act and serve as a non-stock, nonproft, non-governmental private voluntary organization for community development , social and economic welfare, educational, civic, cultural, humanitarian and spiritual development and other related purposes and concerns.   ",susieapura@yahoo.commercyhopelove@gmail.com ,Community Improvement,"Mercy, Hope, Love Ministry, Inc.",http://www.mercyhopelove.wordpress.com,"8157 Yabut St. Guadalupe, Nuevo, Makati, 1212 PHILIPPINES"
91-80-2258-7623/24/25        ,"Mitra Jyothi’s Mission is to assist visually impaired individuals lead independent and dignified lives through Education, Training, Counseling, Communication & Technology so as to integrate them into mainstream families and society at large.   ",umabk@mitrajyothi.org  ,Disability,Mitra Jyothi,http://www.mitrajyothi.org,"CA Site No. P-22, 31st Main, 18th Cross Sector-1, HSR Layout (behind Nift College), Bangalore, 560 102 INDIA"
91 11 2334 7281 / 7635        ,"Mobile Creches’ mission is to promote Early Childhood Development (health, nutrition, learning, care and protection) of young children, through advocacy and building of capacities at the national level, and direct action at urban slums and construction sites in Delhi NCR. The Mobile Creches logo depicts the mother child continuum and our core, connected constituencies: an unskilled female worker carrying a head-load, a school-age girl who wants to study, and an infant who needs care. Childcare services intervene in the lives of all three: they enable the young to blossom, the older siblings to go to school and their working mothers to earn a wage - nurturing three generations with one intervention, thus breaking the inter-generational cycle of poverty. Since its inception, Mobile Creches has reached out to 750,000 children, trained 7,000 women as childcare workers, run 700 daycare centres and partnered with 200 builders. What sets Mobile Creches apart, from other children’s organizations, is the context of our work on construction sites and our focus on the ""young child"" under 6 years of age. The early years of a child's life are, normally, a period of rapid growth and maximum learning as well as great vulnerability and dependence on adults. At this time care by a trained, responsible adult - in a clean, secure and stimulating environment - are critical to laying the foundations for health, learning capacities and personality. When this ‘young child’ is also a ""migrant child"" living on a construction site, the odds against survival, protection and development become manifold.Mobile Creches was an idea born out of compassion for children, indignation at their plight and the determination to make change. The first ‘mobile creche’ was set up in 1969, at a construction site near Rajghat, in Delhi. It was a safe, nurturing shelter for the children of construction workers, on the site near the hutments, where the little ones could play, learn, eat and sleep.  And the idea spread: from building sites to urban slums, from Delhi to Mumbai and Pune*; from childcare services to awareness building of communities, training of childcare workers and advocacy with governments for better policies, laws and programmes. The idea started a movement in Early Childhood Care and Development (ECCD), much needed in a country where the young ones suffer the greatest neglect: the mother leaves for work to make ends meet, the little sister is no substitute for a responsible care-giver, and there are no institutional arrangements to take care of the young child. There are 60 million under-6 children living in poverty, and in dire need of care.Every year, Mobile Creches provides education, nutrition and health for 14,000 children, reaches out to 5,500 families, trains 500 community women as childcare workers & NGO friends, and advocates for policy change. You can help Mobile Creches further its mission, and continue to be the voice of the unheard and unseen young child on construction sites and urban slums, in the following ways: $50 will support a street play to raise awareness on health and education$120 will help organize a Health Camp for 100 community members /children$175 will help organize an Art Workshop at a daycare centre for 50 children$300 will take full care of a child for one year (health, nutrition and education), 9 am - 5 pm, 6 days a week at a construction site childcare centre$1500 will take full care of 5 children for one year (health, nutrition and education), 9 am - 5 pm, 6 days a week at a construction site childcare centre$3000 will take full care of 10 children for one year (health, nutrition and education), 9 am - 5 pm, 6 days a week at a construction site childcare centre           The above is to illustrate the change to the lives of children. All funds/donations raised are allocated to childcare programmes depending on the need on the ground.*The branches in Mumbai and Pune are, as of April 1, 2007, being run as independent organizations called Mumbai Mobile Creches and Tara Mobile Creches.",mail@mobilecreches.org  ,"Child and Youth Development, Community Improvement",Mobile Creches for Working Mothers' Children,http://www.mobilecreches.org,"D.I.Z. Area, Raja Bazaar, Sector IV, New Delhi, 1100 01 INDIA"
91 11 2801 028391 11 2801 0283       ,    ,mrydo_najafgarh@yahoo.com  ,"Child and Youth Development, Community Improvement",Model Rural Youth Development Organization (MRYDO),http://www.mrydo.org,"81A, B-Block Phase III Prem Nagar, Najafgarh, New Delhi, 110043 INDIA"
009122 24474356009122 24448637       ,"Vision: To help the underprivileged and marginalized live a better tomorrow through various interventions.Mission: Strive to improve the quality of life of the financially disadvantaged by promoting meaningful education & health. MESCO was set up in 1968 by a group of 7 classmates. The common meeting point was doing some good for the less fortunate. Not one of them had the faintest idea that this small endeavor would synergize into a passion over four and half decades. Three of the founding members are still a part of the present group of twelve Trustees of MESCO (2 of the founders are no more, but served the cause till their end.) MESCO started its service by loaning out text-books to a handful of school and then college students, also assisting people for various basic survival issues. The Organization was registered and started functioning as a proper NGO with three thrust areas namely, Education, Medical Services and Poverty Relief. MESCO is registered under the Indian Societies Registration Act, 1860 and Bombay Public Trusts Act, 1950. Donations made get exemption under 80 G of the Income-Tax Act. The organization has registration under Foreign Contribution Regulation Act (FCRA), 1976, which enables donors to remit their donation in foreign currency. In addition MESCO is accredited by Credibility Alliance, registered with GiveIndia and Tata Institute of Social Sciences as a credible organization to receive donation for the cause of humanity. MESCO has an extensive scholarship programme and provides scholarships to almost 2000 students (1200  school, 900  post school and 60 to students doing  vocational/trade courses) on purely means basis and another 330 gift scholarships to meritorious (school/college) students amongst the means deprived, as also 200 interest-free Loan scholarships to students doing professional courses.One of the prominent achievements from MESCO’s Educational Schemes is the change in the lives of many families from underprivileged section of the society, who approached MESCO for financial assistance to educate their children, and after providing the required support, these children have become medical practitioners, engineers, entrepreneurs and professionals in various fields and most of them are hired by reputed companies and organizations. While some of them have joined our management, many of them have been working to strengthen our mission of changing lives by becoming our regular donors, supporting the families in dire need of assistance to reach a level of self sustenance.Towards its second objective - that of Medical services, MESCO has three Mobile Clinics and 2 Dispensaries which together diagnose and treat almost 80,000 patients per annum in 14 slum areas. We provide medical services such as consulting, diagnosis and medicines at a subsidized rate. The deficit of around Rs.300,000/- per annum is covered through specific donations from donors. In addition it provides financial assistance to poor patients undergoing expensive treatment such as dialysis, heart surgeries etc., for diagnostic procedures besides such as CT scan, MRI etc as also for prosthesis. MESCO spends over Rs. 87 lacs annually for financial assistance provided to more than 400 patients annually.Yet another thrust area for MESCO is Poverty Relief. A dry ration is provided to 300+ families living in abject poverty. In addition MESCO also provides 75 Sewing machines annually (mostly to women living in slums) as a means of earning their livelihood.Both MESCO is supported by voluntary donations from individuals (families), corpus donors as well as from Charities and Foundations from India and abroad. Many of its beneficiaries in different schemes and also nursery schools are sponsored. MESCO receives zakat and also raises funds from sale of old newspapers and old clothes collected from over 3000 households each month. MESCO however runs a hand to mouth existence which can be very stressful. MESCO is currently appealing to prospective donors to donate through its Payroll Giving Scheme on monthly basis. With your support together we can change the lives of many who are in dire need of help, by providing education to the students from the underprivileged section of the society, assisting patients who cannot afford to meet the cost of treatment due to their limited income; and bringing the destitute women to a level of self sufficiency by providing ration support and sewing machines, till their children are grown and earn enough to support the family.",mescotrust@mescotrust.org  ,"Child and Youth Development, Community Improvement",Modern Educational Social & Cultural Organization,http://www.mescotrust.org,"110, Natalwala Building, V.S. Road, Mahim, Mumbai, 400 016 INDIA"
91 080 266 39 85791 266 39857       ,    , mayaindia@vsnl.com ,Child and Youth Development,Movement for Alternatives & Youth Awareness,,"111, 6th Main, 5th Block, Jayanagar, 560041 INDIA"
66-0-7562 453866-0-7561 1914       ,"To support the needy and underprivileged in Krabi Province with food, clothing and medicine and to support education programs for those children who can not afford to continue their education. These programs have run under the Tsunami Child Sponsorship Program, the Community Bank and the University Scholarship Program.   ",gusreynolds@gmail.com  ,"Community Improvement, Education",Mr. Sriphong & Mrs. Gee Phukaoluan Foundation,http://https://www.facebook.com/pages/Sriphong-Phukaoluan-Foundation/157695151011508,"42 Watchara Rd, T. Krabiyai, 81000 THAILAND"
009 1402 3556 491009 1402 3556 537       ,"Naandi Foundation, established as a public charitable trust, functions as a professionally-run organization that serves as a viable platform for implementing government projects. We also provide avenues for private companies to engage with under-served communities directly.   ",dhimant@naandi.orginfo@naandi.org ,Community Improvement,Naandi Foundation,http://www.naandi.org,"502, Trendset Towers Road #2, Banjara Hills, Hyderabad, 500034 INDIA"
91 294 2462301 - 05        ,    ,info@narayanseva.org  ,Community Improvement,Narayan Seva Sansthan,http://www.narayanseva.org,"Manav Mandir 786, Kiran Magri, Sector 4, Udaipur, 313002 INDIA"
91 8884418730        ,"The Narayana Hrudayalaya Foundations was set up with a view to create opportunities for students wishing to pursue careers in Health Sciences. The main activities of the foundation are in the area of education. Narayana Hrudayalaya Foundations (NHF) offers over 17 courses in various allied and nursing programs.NHF also conducts academic workshops, conferences and research work in the department of head and neck. As part of their initiatives NHF conducts programs on world cancer day, world voice day, towards awareness and early detection of diseases especially cancer. NHF also conduct initiatives for tobacco cessation and awareness programs on the harmful effects of its use.   ",manasi.kaul@nhhospitals.org  ,"Child and Youth Development, Education",Narayana Hrudayalaya Foundations,,"12th Floor, S. N Towers M. G Road, Bangalore, 560001 INDIA"
91 11 64782655        ," NASSCOM's mission is to build capacities of individuals and organizations in order to mainstream responsible business practices in India. Additionally, NASSCOM works to influence policy and create thought leadershig using the capacities and competencies of the ecosystem of the IT-BPM industry in India.  ",shrikant@nasscomfoundation.org  ,"Community Improvement, Environment",NASSCOM Foundation,http://www.nasscomfoundation.org,"A1/125, Safdarjung Enclave Opp Ambience Public School, Delhi, 110029 INDIA"
91-11-2617588691-11-26187650       ,    , info@nabdelhi.org ,"Community Improvement, Medicine, Diseases and Disorders","National Association for the Blind, Delhi",http://www.nabdelhi.org,"Sector-Five(V) R.K Purham, New Delhi, 110022 INDIA"
91-11-2617588691-11-26187650       ,    , info@nabdelhi.org ,"Community Improvement, Medicine, Diseases and Disorders","National Association for the Blind, Delhi",http://www.nabdelhi.org,"Sector - FIVE RK Puram, New Delhi, 110022 INDIA"
"91-080-25201047       91-080-25281590, 25289939","The primary focus of our organization is to socio-economically rehabilitate the visually impaired. In order to empower and make the visually challenged an independent earning member of society, NAB has established a wide range of motivating projects and dedicated services in the field of education, training, prevention of blindness, employment and general welfare of the visually impaired community.   ",ceo@nabkarnataka.org  ,"Medicine, Diseases and Disorders","National Association for the Blind, Karnataka Branch (NAB KB)",http://www.nabkarnataka.org,"C A Site No 4, NAB Road Jeevan Bima Nagar, Bangaluru, 560 075 INDIA"
65 6210 250065 6468 3410       ,The mission of the National Council of Social Service is to ensure that every person has the opportunity to live a life of dignity to his or her fullest potential within society.   ,ng_ling_ling@ncss.gov.sg  ,Community Improvement,National Council of Social Service,http://www.ncss.org.sg,"170 Ghim Mon Road #01-02, Singapore, 279621 SINGAPORE"
+91 9910230300        ,"To mobilize and harness the power of children, youth, women and people at large to combat illiteracy, ignorance, gender discrimination and the evil of addiction with an ultimate aim of crime prevention and socio-inclusive development.   ",ujala@navjyoti.org.in  ,"Community Improvement, Women and Girls",Navjyoti India Foundation,http://www.navjyoti.org.in,"Khasra No. 99, Majri Karala, Main Kanjhawala Road Near Sector - 22 Rohini, New Delhi, 110081 INDIA"
852 25177111852 28134536       ,Vision:      A society where people with disabilities have the same opportunities to  develop and use their talents and skills as all other people.     Mission:     To be an excellent provider of services for people with disabilities.   ,surinder@nesbittcentre.org.hk  ,Disability,Nesbitt Centre,http://www.nesbittcentre.org.hk,"LG Sai Ying Pu Community Complex. 2,High Street Sai Ying Pun, Hong Kong, SYP 1 HONG KONG"
65-6755-556065-6755-3684       ,"To assist the homeless families and individuals by providing transitional accommodation, food rations, assistance with employment and permanent housing search plus enhancement to their life skills (eg. financial budgeting, behavioral management, social skills training). Activities and programs like walkathon, football, choirs, retreats, etc. are organized to build up their self esteem.   ",james@newhopecs.org.sg  ,"Community Improvement, Housing and Shelter",New Hope Community Services,http://www.newhopecs.org.sg,"Block 148 Yishun Street 11 #01-123, Singapore, 760148 SINGAPORE"
919052858856        ,"To Promote grassroots social innovations, volunteerism, active citizenship and social leadership among the youth of the Nation   ",chandrasekhar.puch@nirmaan.org  ,"Education, Economic Empowerment",Nirmaan Organization,http://www.nirmaan.org,"12/A P.S Nagar, Vijayanagar Colony Below MasabTank fly over, Hyderabad, 500057 INDIA"
+918025520018        ,"To create awareness on the importance of continued education and to promote college education for students from Government schools. To create and empower the next generation with the powerful tool ""Education"" that can transform the society beyond anyone's imagination. To promote the college education to the needy poor particularly rural based and provide educational opportunity to students who passed out from Government schools with excellent academic performance.   ",nisvartha@gmail.com  ,"Community Improvement, Education",Nisvartha Foundation,http://www.nisvartha.org,"15, Sri Shiva Nilaya, 4th Main Road Madiwala Extension, Bangalore, 560 068 INDIA"
91 44 2374388391 44 23745007       ,"Mother Teresa Charitable Trust is to empower underprivileged women and girls, youth and children,through relevant education and skill development programmes.We work towards innovative healthcare and community focused livelihood programmes.MTCT seeks to work together with other agencies to achieve sustainable development by sharing knowledge, skills and resources.Assists Poverty alleviation through Government and Non-governmental projects & schemes.Promote socio-economic upliftment for the underprivileged and downtrodden through education and creates awareness of Ignorance about Hygiene, Drug abuse, Alcohol  etc.Supports green revolution.    ",dhasgk@yahoo.com  ,"Community Improvement, Women and Girls",Nobel Laureate Mother Teresa Charitable Trust,http://www.motherteresacharities.org,"43, Nelson Manickam Road Choolaimedu, Chennai, 600094 INDIA"
+91-9811643244        ,"Our Mission is to provide market aligned vocational training to enhance the employability quotient of deaf youth - both young men and women and enable them to become contributive partners of society through employment in the formal industry. Noida Deaf Society (NDS) is a registered not for profit organization working with a vision of mainstreaming deaf children and youth through quality education and specialized vocational training leading to gainful employment. NDS has successfully impacted the lives of over 3500 deaf children and youth and facilitated employment for over 800 youth in some of the most leading companies across sectors ranging from Hospitality, Retail, Information Technology, Banking, Print and Publishing, Education, Textile and Manufacturing among others. Today, NDS has 5 centers in four states of India –Rajasthan, Haryana, Delhi and Uttar Pradesh. Our beneficiaries belong to under-privileged sections of society. Our activities include the following:Creation of specialized curricula: NDS is a pioneer in development of curricula for Desktop Publishing/ Graphic Design, English Communication, Basic IT ,Indian Sign Language, Hospitality and Workplace Readiness for the deaf community in the country.Creating a pool of trainers/special educators/ interpreters for the deaf community: NDS has trained over  50 trainers/special educators and interpreters. NDS trained trainers are also being employed at other organizations to teach deaf children and youth.Remedial Education: This is a specialized remedial program for school going Deaf children. Classes are held post school hours at NDS where the focus is on building communication skills through Indian Sign Language, English and Hindi. Students are also taught Functional Mathematics, General Knowledge and Core Life skills. The core objective is to enable Deaf children to grow into confident adults and equip them with the right foundation to access vocational training at NDS after finishing school. The program reaches out to 100 children every year.Vocational Training:  We use Technology to enable learning  and we follow the bi-lingual method wherein a strong language base is developed (Indian Sign Language) and through which other skills are taught in an interactive and participative environment by deaf trainers. Our trainings are based on intense market research and are job oriented in nature. Employability quotient is enhanced through industry accreditation of IT training programs. Awareness: Towards creating a more sensitized and inclusive society, NDS raises awareness about the abilities of the deaf and sign language at various forums. Through seminars, workshops, presentations, one on one dialogues and social media NDS is engaging with at least 5000 people every year including families, mainstream educational and training institutions, industry and other civil society organizations. Volunteerism: NDS encourages the spirit of giving back to society through a vibrant volunteer program. People from all walks of life and professions are able to bring in their diverse skill sets and build the capacities of our students, team and organization as a whole. NDS has engaged with close to 100 volunteers belonging to diverse backgrounds including students, homemakers, professionals and corporate volunteers.Industry engagement:Collaborative Trainings in partnership with the industry to bridge the needs of the industryStudents are provided regular exposure to the industry for them to understand the operations on the work floor and get hands on experience. Employment:NDS has been successful in transforming the industry perception and carving a niche for deaf youth in the industry. Till a few years back the only option available for deaf youth was menial labor. With customized curricula and market aligned training NDS has been able to provide the right skill sets to its youth and today over 800 youth are working successfully in some of the most leading companies in the country. While the overall employment figures for the disabled in the country are less than 0.05% in the private sector (http://paper.hindustantimes.com/epaper/viewer.aspx),  NDS has an employment rate of close to 30%. NDS was started by Ms. Ruma Roka who until 2005 was a homemaker restless to find a mission and meaning to life and a dream to start a school. She started from a small two bed room flat belonging to her husband in Noida, which is a suburb near New Delhi, India. The journey started with just five students and Ruma as the only trainer. Through word of mouth the organization started growing and is today reaching out to over 1200 students every year. We currently have five training centres- two of which are in Noida (suburb of Delhi), one in an urban slum in New Delhi, one in Hisar, a small town in Haryana and one in Jaipur, Rajasthan. Our students belong to economically weak sections of society and are coming from all across the country even places as far as Bihar, Jharkhand, Kerala and Orissa among others. NDS has successfully impacted the lives of over 3500 deaf children and youth and facilitated employment for over 800 youth in some of the most leading companies across sectors ranging from Hospitality, Retail, Information Technology, Banking, Print and Publishing, Education, Textile and Manufacturing among others. We are a funded organization and receive less than 10% of monies as fees from our beneficiaries who come mostly from economically backward areas of the country. A Grant from CAF America would ensure that we are able to positively impact underprivileged deaf youth with relevant employability skills and help them lead lives of dignity as productive partners in our society through gainful employment.  We continue to develop custom-curriculum, developing future deaf trainers and managing the operations costs of salaries of our trainers. All our trainers are deaf. Costs include the centers rental and costs of IT training and having senior staff for reaching out to potential employers.",info@noidadeafsociety.org  ,"Community Improvement, Education, Employment Support",Noida Deaf Society,http://www.noidadeafsociety.org,"469, Sector 29 Noida  ,Uttar Pradesh,India, Noida, 201301 INDIA"
+81-3-6277-2419+81-3-6277-2519       ,"Kamonohashi Project (hereinafter referred to as ""Kamo"") is an international NPO headquartered in Japan founded in 2002. The purpose of Kamo is ""to realize the world without child sex trafficking."" We particularly aim to eliminate human trafficking; specifically, sex trafficking and sexual exploitation of children and child labor.   ",tomomi@kamonohashi-project.net  ,"Child and Youth Development, Social Justice",NPO Kamonohashi Project,http://www.kamonohashi-project.net,"402 Hasebe Daiichi Blvd., 5-23-5 Hiroo Shibuya-ku, Tokyo, 150-0012 JAPAN"
65 6772 555265 6775 0394       ,"NUHS Fund Limited (NFL) is a Company Limited by Guarantee (CLG) and a registered charity with IPC status. The charity was set up by NUHS to promote medical research and development as well as provide health related services for the benefit of the Singapore Community. A key objective is to address unmet gaps not covered by existing government and community assistance schemes and to assist patients who are determined to be in need of financial assistance with the costs of medical treatments, including the costs of the recovery process. NUHS Fund Limited relies on the support of benefactors and donors, and every dollar donated goes in its entirety to fund these unmet gaps faced by our beneficiaries and their families.   ",lilian_ong@nuhs.edu.sg  ,"Medicine, Diseases and Disorders",NUHS Fund Limited,http://www.nuhs.edu.sg/about-us/make-a-gift/support-patients/about-nuhs-fund-lim,"NUHS Development Office c/o National University Health System Development Office 1E Kent Ridge Road NUHS Tower Block Level 13, Singapore, 119228 SINGAPORE"
91-821-240215591-821-2402155       ,    ,odanadisevatrust@yahoo.com  ,Social Justice,Odanadi Seva Samsthe,http://www.odanadi.org,"15/2B, S.R.S. Colony Hootagalli Belawadi Post, Mysore, 570 018 INDIA"
+91 4424912467        ,"Our aim is to provide free, quality education to underprivleged children, and to aid these children to continue to be successful in their future. We undertake welfare activities for the underprivleged, including family welfare, child care, free medical aid, physical training, health education and nutrition. We also work towards the regeneration of educators and the educational community.   ",olcott.school.ts.chennai@gmail.com  ,"Community Improvement, Education",Olcott Education Society,http://www.olcott-school-chennai.org,"c/o The Theosophical Society Adyar, Chennai-20, 600020 INDIA"
91 9746745501    91 471 2551474   ,"MissionTo catalyze the development of effective pain relief and quality palliative care services and their integration in health care across India through delivery of services, education, building capacities, policy, research, advocacy and information.VisionAn India in which palliative care is integrated in all health care so that every person has access to effective pain relief and quality palliative care along with disease–specific treatment and across the continuum of care.Pallium India Trust (est. 2003 in the state of Kerala in India), is a Registered ‘Not for profit organization’ and aims to reduce human pain and suffering from life-limiting diseases among one-sixth of the world’s population that lives in India and to ensure that every person has access to effective pain relief and quality palliative care along with decease-specific treatment across the continuum of care. What is Palliative care:'Palliative care’ is aimed at quality-of-life and responds to physical, psychological, social and spiritual needs of patients and their families and when necessary support the family in bereavement. It is “patient centered” rather than “disease-focused”. The success of this movement anywhere would depend on the extent of involvement of the local community in creating awareness and assisting in the rendering of palliative care services, which the tiny state of Kerala has achieved significantly and shown the way forward. Hence the model of palliative care practiced here came to be known worldwide as the Kerala model of palliative care and has become a subject of study and emulation in other parts of the world. (a) Creating palliative care services based in cancer and general hospitals across India.(b) Creating palliative care training centers across India to train Doctors, nurses, medical social workers and volunteers.(c) Raising awareness about the seriousness of the problem of pain relief for diseases like cancer(d) Raising awareness of need for palliative care departments integrated into cancer hospitals as 80% of cancers are diagnosed too late for any curative treatment.(e) Catalyzing the development of effective pain relief and quality palliative care services and    their integration in health care across India through delivery of services, education, building    capacities, policy, research, advocacy and information(f) Sponsoring, hosting and/or participating in events and activities that promote the advocacy of palliative care.(g) Rehabilitating patient/s families by providing quality palliative care, educational funding for their children, vocational rehabilitation etc. Pallium India operates an ‘in patient’ and an ‘out patients’ facility at its premises. More than 80% of patient care is rendered in homes and at link centers/clinics located in moffusil areas.",chairman@palliumindia.org  ,"Medicine, Diseases and Disorders",Pallium India Trust,http://www.palliumindia.org,"Arumana Hospital Building, Eanchakkal-West Fort Road Vallakkadavu P.O., Perunthanni, Trivandrum, 695 008 INDIA"
0487 2331373        ,"We are conducting religious rituals in Paramekkavu Bagavathy Temple, including Thrissur Pooram.   ",paramekkavu_tcr@bsnl.in  ,Religion,Paramekkavu Devaswom,http://www.paramekkavudevaswom.com,"Geethanjali Paramekkavu Devaswom Building, Round East, Thrissur, 680 001 INDIA"
91 80 2363578291 80 23635781       ,Parikrma's vision is to unleash the potential of under-served children which will provide them with equal opportunities and make them valuable contributing members of our society.   ,anuradharc@parikrmafoundation.org  ,"Community Improvement, Education",Parikrma Humanity Foundation,http://www.parikrmafoundation.org,"#1846, 3rd Main, Block C Sahakaranagar, Bangalore, 560092 INDIA"
91-080.25273462        ,    ,   ,Healthy Lifestyles,Parivarthan,,"3310 8th Cross 13th Main Hal II Stage, Bangalore, 560008 INDIA"
