name,country,description,address
Rakhine Coastal Region Conservation Association,myanmar,"  - Natural conservation  - Mangrove conservaion and reforestation   - Lowerland and mountain  reforestation   - Establishment of Community forests and agroforestry for   shifting  cultivators   - Participate in local education,    health, economy and  development  activities   - Promote livelihoods of local community    - Conduct education  and awareness raising programme among   the local populace    - Nature disaster prevention works    - Participate in emergency relief   and  rehabilitation   programmes for the natural disaster affected areas  in Rakaine State    - Protect wild elephant and illegal wildlife poaching and killing    in Rakhaine Yoma Elephant Sanctuary    - Collaborate and cooperate with local and international   researchers, scientist, NGO and INGO to study the fauna and ß  ora of  Rakaine Yoma  forests, Elephant Sanctuary, mangroves,freshwater and   marine Local wildlife and local communities Rakhaine Costal Region Conservation Association  Tel : 09 731 32658",
Ratana Metta Organization,myanmar,"Formed in 2007 with the initial grant from the ActionAid  International, Myanmar, as a Local NGO.To initiate the community   development in the Southern Rakhine State poor communities where   no other INGO or LNGO has initiated any such kind of development   activities before. Social and Economic Development, Poverty Alleviation,   Agriculture Development, Water & Sanitation, Women Empowerment,   Environment Development Main Goal    To initiate the above activities in the Rambre Island, Kyauk Pyu   District, Southern Rakhine State and reach out to the similar areas in   the Thandway District and Mon State, depending upon the increased   budget and technical experties. Awareness Raising of the poor and  backward communities   about the possiblity of their self-development,Development of Self-  Help Women Groups(SHG) by the initiation of Micro Finance activities,   Adequate and Safe Drinking Water and sanitation, Food Security Þ  rst  by the initiation of Rice Banks and improving the agriculture of the   poor farmers. 30 selected poor villages out of 5 poor cluster villages, Rambre   Township  LOCAL NGO DIRECTORY 102Background   Ratana Metta is a local NGO, non-proÞ  t and non-political or- ganization. It was founded in 2004 and registered with the Ministry of   Home affairs        (Registration No:ÉÉ1948ÉÉ..).  Main Goals   - prevention, treatment, care and support for people living with   HIV/AIDS (PLHA)  - promote awareness of Child Rights and Child Protection and   care and support for orphans and vulnerable children   - alleviate poverty by providing livelihood support for livestock    breeding and micro Þ  nance for income generation Main Activities   (1) HIV/AIDS    RMO started its activities with prevention of   HIV/AIDS by conducting advocacy talks, training of trainers (TOT) and   multiplier trainings to raise awareness of HIV/AIDS in communities.    Presently, RMO is operating two clinics in Yangon, one in Pazundaung   and the other in Tarmwe.  They provide basic counseling service, free   medical treatment including ARV drugs, free hospital referral and   funeral service, nutrition support, school support for the children and   micro Þ  nance for income generation of the families. The gathering of  PLHAs and their families were held monthly where they were given   psychological support, health talks, moral lessons and meditation ses-  sion.  Coffee, snacks and lunch were provided at the gathering. Funding   was mainly provided by 3D Fund, Alilance Myanmar and UNAIDS.  RMO   has been raising funds from local donors for free distribution of ARV   drugs.   (2) Child Rights and Child Protection    In 2008, RMO conducted 23 workshops for   awareness of Child Rights and Child Protection in 5 Townships in Nargis   Cyclone affected areas of the Delta Region. RMO also provided school   support, nutrition support and opened 6 Child Friendly Space for the   children.      Presently, RMO is implementing Community   based Child Care and Child Protection Project with UNICEF funding.   Community talks on Child Rights and Child Protection have been    conducted in 5 townships in Yangon Region. The project also provides RATANA METTA ORGANISATION (RMO) No. 406, Lower Pazundaung Road,Pazundaung Township, Yangon,  MYANMAR. Tel :  09-730-24794Fax : 95-1-296 898",
Ratna Mahal Education Care Group,myanmar,   ,
Renewable Energy Association Myanmar,myanmar,Started to do child protection To develop each child to become good citizen Main Goal    Survival and development of every child Child Protection ,
Rural Development Services,myanmar,Start organized with people who has special interest on   renewable energy for the development of rural people Rural development and Environmental Conservation by   Renewable Energy Technology (RET). Main Objective   1. To solve energy problem by RET   2. To protect natural resources and environment by RET   3. To achieve rural development by RET  ,
Sandi Development Organization,myanmar,"Established by the three educated Buddhist young men, U Ba  Phe, Dr.  Ba Yin, U Maung Gyi with the inspiration of patriotism and stood   for the protection and development of education, religion, culture,   social welfare, and economics of Myanmar people. Development and Propagation of nationalism, religion, and  educationMain Goal   (1)Our services is established with the Þ  rm purpose of being  freed of the social alleviation of rural  people, seeking for vocational   livelihoods, providing the educational knowledge to raise the social    morale, and serving the hygienic / health education to the rural persons   who are hardly in touch with updated information.   (2)We aim at distributing the livelihoods education in order to   get rid of the social alleviation of rural          public and to possess healthy and happy family life with higher   education.  (3)In accordance with our Þ  rm belief on these aims, we decide  to participate either by ourselves or  by the donors' goodwill/effort to   be effective to our country and nation.    (4)Our motto is ""One for All"".  ",
Share MERCY,myanmar,"After Nargis, we founded the organization aim to aid the   community to alleviate the impact of disaster suffering. To develop the social status of community regarding food,   clothing, shelter, health, education and economy Main Objective    To be developed village and to promote the social status of   Kyauk Tan area with proper road, communication, advanced education   and economy  ",
Shin Thar Ma Ne Dhamma Beikman Thar Tha Na Wun Saung Association,myanmar,"Share Mercy is a non-proÞ  t, non-government, and non-religious  organization established in 2011 at Bogale Township. It is organized by   a group of volunteers who are well informed in humanitarian works   and it intends to provide humanitarian assistances the poor and the   vulnerable to improve their life. Moreover, Share Mercy would involve   in various disasters relief programs wherever the disaster hits, such as,   providing drinking water in drought area, providing foods, resettling,   and reuniting family members.  Share Mercy is implementing all   humanitarians programs with full accountability to her beneÞ  ciaries  as well as her donors.   ",
"Shwe Minn Thar Foundation, Myanmar",myanmar,   ,
Shwe Than Lwin Home for the Aged,myanmar,"The original Shin Thar Ma Ne Examination Group Donated   the building and the present Thar Tha Na Wun Saung Association was   formed. To promote Theravada Buddhism for the beneÞ  t of all living  creatures.  Main Objective    To hold the novice monks examination annually.   To promote Buddha's Teaching to all levels, both young and   old, have them to practise for their daily lives towards their goals.  ",
Social Actors Form,myanmar,"In mayanmar,CBR activities developing are really need and to   stand from the PWD's side.Also cooperation with others GOs,NGOs   and INGOs. Inclusive Enviroment,Inclusive Development.  Main Objective    To improve the quality of life for PWDs.  ",
Social Care Volunteer Group,myanmar,"- Following the suggestions and instruction from Minister for  Home Affairs Col. Tin Hlaing,  the Director-General of Department of   Human Settlement and Housing Development U Ant Kyaw initiated   to open a Home for the Aged with the objective of ensuring that there   are no homeless elderly people begging their living in Yangon and   that the capital Yangon has the proper characteristics of world capitals.   It was named in honour of the contribution from Shwe Than Lwin   Construction Co. which donated 7 buildings and 3 motor vehicles. -  Main Goal   - To offer shelter and care to elderly persons without anywhere  to go   - To make arrangements for the physical, mental, moral and   social development of resident elderly persons and bring about secular   and religious beneÞ  ts. :   - Providing care and protection to elderly persons  -   Providing health care   -   Arranging funerals   -   Holding fun fairs   -  Holding Waso and Kathina  Robe Offering Ceremonies,  and   the Thadingyut Light  Festival   - Inviting monks so that the  elderly persons are able to  keep   Sabbath on Sabbath days   during Lent   Primary   BeneÞ  ciaries   -Elderly persons without anyone to turn to  Shwe Than Lwin Home for the Aged No. 80, Kwan-aut-thar-minn-thar Road, Dagon Myothit (Seikkan)  Township,Yangon, Myanmar. Tel : 95-1-592 126 Name of Leader U Aung Win  (President) Name of Contact Person Daw Khin San Win  (Administrator) Email Year of  Establishment 1999 LOCAL NGO DIRECTORY 113Background   -1997,  September Vision/Mission   - To give and share knowledge (public awareness) to public Main Goal  -.Main Activities:   Open libraries, giving training and volunteer services Public    Social Actors  Form 13th Street, Sartaikwine, Aung Lan  city , Magwe division Tel : 0943046096",
Social Development Initiative,myanmar,   ,
Social Vision Services Association,myanmar,   ,
Spectrum (Sustainable Development Knowledge Network),myanmar,"  :   - Capacity Building of Local Communities in different sectors  of intervention   - Advocacy with different level of authority for the interest of   the community   - To transfer appropriate and sustainable technology to the   local community in consultation with the community   - To link available external resources into the existing resources   of the community Vulnerable community especially to Women, Children, Disable,  Elderly people    Social Development Initiative (SDi)No. 9. Aung Zaya lane, High Land Avenue, 7 mile, Mayangone  Township, Yangon. Tel : 09 86 31884, 01 651 059 Fax : 01 662 971",
Substance Abuse Research Association,myanmar,"  -  Information, Education, Communication SVS focus on community development through family   development within the community by supporting vulnerable persons   especially women and children including disable persons while   strengthening civil society.     Social Vision Services Association Bldg (8/10), Room (C/D), South Horse Race Course,Tamwe   Gyee(Kha) Ward,Tamwe Township, Yangon, Myanmar. Tel : + ( 95 ) 01-401446, 401447, 09-8524210,09-8524207 Fax : ( 95 ) 01-401447",
Sunshine Youth Group,myanmar,"-Spectrum is a local non-proÞ  t organization which started  establishing in 2007 May. The Spectrum - Sustainable Development   Knowledge Network is a local initiative which seeks through   constructive dialogue, knowledge dissemination and resource sharing,   to support and encourage behavior change in environmental practice   improvement and sustainable development, as a means of enhancing   National Development in Myanmar. - Establishing mechanisms to enhance the framework for   ""National Development"" in Myanmar, via constructive engagement   on environment, sustainable development and natural resource   management matters. Main Goal   - Establishing mechanisms to enhance the framework for  ""National Development"" in Myanmar, via constructive engagement   on environment, sustainable development and natural resource   management matters. :   1) Delivering youth training   2) Training on environmental issues    3) Improved mapping, understanding of land use and helping   community land registration    4)  Supporting local environmental journals and strengthening   young journalists    5)  Pilot carbon offset study work    6) Engagement on promotion of natural resource   development   7)  Networking and Advocacy on natural resource management   issues    8) Translation and publication of environmentally relevant IEC   materials    9)  Promote Community Knowledge Based Research   10) Seed fund and small grant funding - Youth groups, LNGO, INGO, Faith Based Organization, CBO,  CSOSpectrum (Sustainable Development Knowledge  Network)Room C, 9th Floor, Myaynigone Plaza, Sanchaung Township,   Yangon, Myanmar Tel : 01-516 941",
Swanyee Development Foundation,myanmar,"Substance Abuse Research Association (SARA) is a local NGO  founded in 1991. SARA is in collaboration with Ministry of Health ,   Central Committee for Drug Abuse Control,Department of Social   Welfare, UNODC,MANA and BI.SARA had worked with UNODC-  Myanmar and act as focal point for Global Youth Network-Myanmar   in South East Asia Region.SARA is also participating as National Trainer   in Treatnet II project,a regional UNODC Project.SARA has conducted   several surveys and research activity which was focused on drug abuse   and completed projects on Parenting Skills, Family based approches in   Drug Abuse prevention, and piloted hospital based outreach activities   for Harm Reduction intervention. - To take the lead in introducing the research tools to conduct   scientiÞ c research in the Þ  eld of drug abuse and drug abuse-related  HIV in Myanmar and advocate for evidence based approaches in   conducting prevention programmers. Main Goal   - a) To conduct drug abuse research in the fields of  epidemiology,prevention intervention research, with the aim of   teneration information for health policy makers.    b) To set-up community based infrastructures   for conducting drug abuse research and prevention activities . :   1) Epidemiological Research and Harm Reduction Programs  2) Family based Harm Reduction approaches in Kachin State   (6 townships)   3) Incidence Study in Lashio Township   4) Primary Prevention of HIV/AIDS and Drug Abuse for at risk   population. People Who Inject Drugs, People Who use Drugs, Migrants/ Mobile Population Working Women and their partners and Youths     Substance Abuse Research Association(SARA) No 237, Room2,Bargayar Road, Kyundaw South Ward,  Sanchaung Township, Yangon, Myanmar. Tel : 01-682094,0973040097 Fax : 01-682094",
Swe Tha Ha Social Service,myanmar,"-  2011  January - "" To have skills in knowledge and  Tedchnology  to follow up    international level ""  Main Goal   -"" To raise Education for public "" To give trainings in civic education Public    Sunshine Youth Group 1060 , Swedaw Street , 41 Quater ,North  Dangon , Yangon Tel : 095131643",
The National Young Women's Christian Associations of Myanmar,myanmar,"  : People in the target groups and areas    Swanyee Development FoundationRoom (A-8), Building- 138 (B-1), New University Avenue  Road,  Sayar San Quarter, Bahan Township,Yangon,Myanmar.  Tel : 09-73040433,01-541854",
Thingaha Organization,myanmar,"- Swe Tha Har, in English means ""friendship"".           The word  explains the work of the organization as a whole; to   promote   good relationship among and between the diverse religious and ethnic   tribes in the country. It is a network of peace volunteers and workers   who share a common interest in building peaceful relationships among   and between people from various ethnic and religious traditions, faiths,   and environment.    Swe Tha Har is governed by a Board of Directors of Þ  ve and  its projects and activities currently managed by a Management Team   with an initial workforce of three full time staff.    Swe Tha Har recognizes that underdevelopment, armed   conß  ict, loss of life, displacement, exploitation, discrimination, poverty  and suffering of the poor will not end without directly addressing the   ethnic and religious tensions that divide communities throughout   Myanmar. The goalof the organization is to promote mutual trust,   cooperation, and solidarity between and among the   diverse ethnic and   religious groups in the target communities. It has a vision of mature and   responsible individuals and communities enjoying peace and fullness   in life.      Main Goal   The organization commits to implement programs and   activities that promote peace and solidarity among the diverse people   in the country; provide support to members in their community   development work; engage/link/network with other who have similar   or complementary work; and to promote human development by   responding to manmade and /or natural disaster/emergencies : Income Generation, Agriculture        Water Recourses, Rice,Crops and Vegetables Seeds Distribution,  Training, Agricultural Alternative Development and Construction &   Rehabilitation -Water Facility, Rehabilitation-Community Infrastructure   & Facility The most vulnerable people in the community    Swe Tha Har Social Services (Swe Tha Har)18 (D-3), Shwe Yadanar Lane, (near Junction 8'), 8 Mile,                                                                         Mayangone Township, Yangon. Tel :  01 - 667286/665713, 09 86 41191, 09 86 127 80",
Thonehtat Parahita Monastic Education School,myanmar,"Yangon YWCA has been active in the country since 1900. Based  on the faith of Christian and with the prayer and service  of Christian   women,     World YWCA established women empowerment programmes   since 1855. The   National YWCA of Myanmar was established  in July   1951 after 6 local associations had been formed. It has now 10 local   associations. All qualiÞ  ed women participate in all-round social development  activities. Main Goal   In building capacity of women to stand on their own, National  YWCA will   - Organize livelihood and vocational training programmes   - Implement the project of skill and awareness programmes   for all-round social development.   - Build up the capacity of young women for their leadership   development    - Advocate and cooperate with other local YWCAs and other   organizations to develop the policies of women.  . -  Skills Trainings for income generation.   - Development and Protection of Street and working children   ( Drop in Centres).   - Community based development programmes.   - Spiritual Programmes for Christian members.   - Women's Health and Environment.   - MicroÞ  nance.  - Volunteer Home Based Care for Elderly persons.   - Investing in Young Women's Leadership. The nation's women, girls and children from all works of life,  irrespective of their religion background, creed, culture, ethnicity or   their economic status.    The National Young Women's Christian Association   of   Myanmar. No.119, Bogalayzay Street, Botataung Township, Yangon. Tel : 95-1-256990, 95-1-245680.",
Top Youth,myanmar,"  : -  Gender Awareness Training    - IndentiÞ  ed the Gender Issues   - Capacity Building for local Partner Organizations    - Empower women through livelihood activities    - Networking Youth(Young Women and Young Men), Community Leaders and  Development Workers from targeted areas of partner organizations   Thingaha OrganizationBuilding-A(6/2), Anawrahta Housing, Hledan, Pyay Road,  Kamaryut Tsp, Yangon. Tel : 01-502182, 09 731 90882",
White Brothers WhiteBrothers,myanmar,"  Opening primary education  classes for the children and street   kids   - Assistance to the Youths who are studying Vocational   Education The children who are not able to access government schools   and their parents   Thone Htat Monastic Education SchoolThone Htat Monastery, Kabar Aye Pagoda Road, Myoma Ward,  Bahen Township, Yangon Region  Tel :  01 380097",
Wisdom Banner,myanmar,"2010 , June To be a modern , develop and     discipline country Main Goal   To be modern and develop in hilly region . :   giving training and taking part in social works Public     Top Youth  No - 504 D, Awaiyar Road , Tamwe Township   (Near Tamwe Court ) Tel : 0973070286",
Yadana Beikman Parahita and Monastic Education School,myanmar,"White Brothers  SHG was established with 6 members in  (5..  July 2008) White Brothers SHG aims to help peers in care and support   services. To attain Healthy Life for  ILHA&PLHIV. R   To express  role model for Current Drug Users . Main Goal   To create a job opportunities and healthy life  for PLHIV,ILHIV  and their family Care giver. :   Home base Care, Counseling,  Condom distribution, Health    Education, Care giver service at Hospital, Referral service,  Migrant. People living with HIV/AIDS and Orphan. Venerable Children  who Dead HIV/AIDS and IDU/DU      White BrothersNya /25, KyauK Sein Street, Ward 10, Lashio Township  Tel : c/o 082-23456 , c/o 082-30024",
Yadanapon Yeik Nyein Monastic School,myanmar,"June, 2009 "" To protect child Rights ""  Main Goal   "" To give education for primary and secondary level :   Supporting stationaries and giving traning Orphanage and poor children        Wisdom  Banner 292 , Khwar Nyo Street, 18 A, South Dagon Yangon. Tel : 0973131539 , 0949256987",
Yangon Young Woman's Christian Association Myanmar,myanmar,"The School was Þ  rst established in 1962 as Monastic Education  (aÞ liated) Primary School and recognized as a prahita home for children  of different nationalities in 2000. To provide a happy environment of primary and high school   education to impoverished children from different states and   divisions. Main Goal   To enable children who cannot go to school due to various  difÞ culties, complete their education.  To upgrade the school as a middle school that can provide   children schooling up to Grade-9 :   - Teaching up to Grade-7 to 370 school age children from  all   states.   - Providing food,  accommodation and health care  to them. Impoverished children who cannot afford an education       Yadana Beikman Parahita Monastic Education  SchoolBayinnaung Road, 5 Ward, Mayangone Township, Yangon. Tel : 95-1-650 997",
Yinthway Foundation,myanmar,"  - Giving children an education.  -  Providing food, clothing, shelter and health care to the   children.   -  FulÞ  lling their spiritual and material needs. Impoverished children who cannot afford an education       Yadanapon Yeik Nyein No. 1, Monestic Education School, (Yadanapon Yeik Nyein), Corner  of Thumingala Road and Yadanar Road, Western Kyaikkasan   Quarter, Thingangyun Township, Yangon, Myanmar. Tel : 95-1-571 841",
Zewaka Foundation,myanmar,"Hostel ForY oung Women established for their Security and  welfare To development women and children's life  Main Goal   To development women and children's life To give training and to support  needy person Poor and needy person    Yangon Young Women Christian Association  ( YWCA ) No .119, Bogalayzay Street ,  Botahtaung Township , Yangon Tel : 01-245869 , 01-392470",
