cause_area,city,country,description,name,website
"Medical,",Chiang Rai,Thailand,"Khom Loy Development Foundation- a non-profit, non-governmental organisation working with the ethnic minority hill tribes in Chiang Rai, the northernmost province of Thailand. Khom Loy's activities were started in 2002 by Paul Hancock and Patricia Solar, volunteers from the UK and Canada, respectively. They now work full-time for Khom Loy.",Khom Loy Development Foundation,http://www.khomloy.org
"Children,Educational,Human Rights,Hunger/Poverty,",Mae Sai,Thailand,"DEPDC is a non-profit community based NGO working in Thailand on the prevention side of the trafficking of women and children into the sex industry or other exploitative child labour situations. It offers free education, vocational training and full time accomodation for young girls and boys in an effort to achieve these goals.",Development And Education Programme For Daughters And Communities In Thailand,http://www.depdc.org
"Children,",Phuket,Thailand,"The Asia Center Foundation(ACF) is a registered, Christian Charity organization working in Phuket since 2002.  ACF provides educational opportunities to disadvantaged and children at risk.  The organization focus on children living in slum areas, children from single parent families and children from families where drug, alocohol or physical abuse might prevent them from living a normal family life.",Asia Center Foundation,http://www.asiacenterfoundation.org
"Research,",Pathumthani,Thailand,"The School of Environment, Resources and Development is committed to excellence in graduate education as well as research and outreach activities. Through its academic programs and outreach units, SERD, AITÉ??s largest School, has been working towards capacity building and human resource development in the areas of environmental and resources management, poverty alleviation and socio-economic/gender development.","Asian Institute Of Technology, School Of Environment, Resources And Development",http://www.serd.ait.ac.th/
"Community Service,Educational,Human Rights,",Bangkok,Thailand,"The Peaceway Foundation was formed in February 2002. It operates as an umbrella organisation, under which is a project called Burma Issues. BI has operated since 1990. The formation of the Peace Way Foundation allowed us to be a recognised and registered organisation with the Thai Government. By becoming a Foundation our organisation has obtained legal status and ensured greater security for the work we do. One of the aims in forming the Foundation was also to allow us to expand our work and our ideology into other areas and countries, not to be secular in our work, but to strive to help build a global grassroots movement.",Burma Issues,http://www.burmaissues.org
"Human Rights,Hunger/Poverty,",Pattaya,Thailand,"What if young Asian girls had proper education and support to gain skills and confidence necessary to achieve their dreams? Our aim is to design and coordinate programs to help women and girls overcome poverty, vulnerability and/or abuse to realise self-sufficiency, fulfilment and hope for the future. Our vision is to see vulnerable girls and victims of abuse equipped to live free and fullfilled lives. OPENaid workers join together in teams, supporting abused and vulnerable women and young girls to help them realise a life of dignity, community integration and sustainable employment.",Openaid International,http://www.openaid.org.au
"Overseas Aid,",Bangkok,Thailand,"Thai children and youth have the ability to reach their extraordinary potential for growth and development through a collaborative environment, actively involving their family, school, and community, to foster their development. Bringing these institutions together will create a strong, comprehensive environment where the children and youth can flourish and develop to their full potential. Therefore, we must reach out to Thai families, schools, and communities to demonstrate the importance of leadership development for the youth of today. For Thai children and youth to reach their extraordinary potential for growth and development, there ought to be a strong collaborative partnerships among family, school, and community to foster their development. All of those institutions must join the strength to create a comprehensive environment for their development to flourish. Thus, it is a necessity to educate ourselves and inform Thai families, schools and communities about the importance of leadership and personal development for children and youth. At Brighter Thailand, we want to provide high-quality extracurricular leadership and personal development programs for Thai children and youth.These programs are implemented to encourage children and youth to work with adult role models such as parents, teachers, and community leaders. Furthermore, we hope these programs will encourage the participants to give back to the society by ensuring that they have the tools necessary to take on such influential roles.  For these programs to be successful, we must work with community leaders not only from Thailand, but also with stakeholders in the United States and throughout the world. This will ensure that the children and youth that participate in our program are given an experience that relates not only to their local community, but to the entire world developing them into globally minded leaders.",The Brighter Thailand Foundation,http://brighterthailand.org
"Children,Community Service,Educational,Environment,Hunger/Poverty,",Ubon Ratchathani,Thailand,"The Fernthai Volunteer Foundation Thailand was established to provide Thailands poorest kids and communities a sustainable route to work their way out of poverty. By engaging global supporters at home and active volunteers abroad who live, work and undertake cultural exchange programs we aim to help them meet this goal.",Volunteer Thailand With Fernthai Volunteer Foundation,http://www.fernthai.org
"Arts & Culture,Community Service,Educational,",Kanchanaburi,Thailand,Drum Publication Group is a small independent community based organization dedicated to promoting education and preserving the cultures of the peoples of Burma. (see mission statement),Drum Publication Group,http://www.drumpublications.org
"Children,Community Service,Overseas Aid,",Huay Kwang,Thailand,"WSPAÉ??s vision is of a world where animal welfare matters, and animal cruelty ends.",World Society For The Protection Of Animals,http://wspa-international.org
"Arts & Culture,",Pai,Thailand,"We specialize in handmade products from Burma, Laos, China, and the Akha, Lisu, and Lahu Hill Tribes. Our tribe came down from Tibet. The journey took 200 years.",Buti's Permaculture Farm,http://www.akhagear.com
"Hunger/Poverty,",Khon Kaen,Thailand,"Habitat for Humanity International is a non-profit, ecumenical Christian housing ministry. Founded in 1976 by Millard Fuller, HFHI seeks to eliminate poverty housing and homelessness from the world, and to make decent shelter a matter of conscience and action.","Habitat For Humanity, Khon Kaen",http://www.habitatthailand.org
"Environment,",Saimah Muang Nontaburi,Thailand,"Biodiversity Action Thailand or the former name Thai Network on Community Rights and Biodiversity emerged from the cooperation of nongovernmental organizations (NGOs), local community organizations, academics, and government officials who realise the importance of biodiversity and its close connections to the livelihood systems of local communities. BIOTHAI began its activities to provide information and raise the awareness of policy-makers and the public in Thai society since 1995.",Biodiversity Action Thailand Biothai,http://www.biothai.org
"Medical,",Nonthaburi,Thailand,"The World Health Organization (WHO) is the directing and coordinating authority for health within the United Nations system. It is responsible for providing leadership on global health matters, shaping the health research agenda, setting norms and standards, articulating evidence-based policy options, providing technical support to countries and monitoring and assessing health trends.",World Health Organization Who Thailand,http://w3.whothai.org
"Arts & Culture,Educational,Environment,Hunger/Poverty,Overseas Aid,",Khrong,Thailand,Pitaya Suwan Foundation (PSF) is a charity registered Foundation acting in the field of community development and intercultural learning. Through the development of international voluntary service and educational projects we are present in several rural communities all over Thailand.,Pitaya Suwan Foundation,http://www.pitayasuwan.org
"Educational,Research,",Bangkok,Thailand,"The Asian Institute of Technology promotes technological change and sustainable development in the Asian-Pacific region through higher education, research and outreach. Established in Bangkok in 1959, AIT has become a leading regional postgraduate institution and is actively working with public and private sector partners throughout the region and with some of the top universities in the world.",Asian Institute Of Technology,http://www.ait.ac.th
"Human Rights,",Bangkok,Thailand,Asian Forum for Human Rights and Development (FORUM-ASIA) is a membership-based regional human rights organisation in Asia. Presently it has 42 member organisations in 16 countries in Asia.,Asian Forum For Human Rights And Development,http://www.forum-asia.org
"Arts & Culture,Religious,",Klong Luang,Thailand,"The Dhammakaya tradition in our era started in 1916 when the Great Abbot of Wat Paknam (Phra Monkolthepmuni) strove with a determination to the degree he was prepared to devote his entire life, to rediscovering through meditation the knowledge known to the Buddhas. Meditation, previously considered nothing more than a mental exercise or spiritual austerity, became popular through this masterÉ??s dedication to teaching and research in the Dhammakaya tradition he has discovered. The Great AbbotÉ??s most gifted disciple was a nun Khun Yay Ubasika Chandra Khonnokyoong.",Dhammakaya Foundation,http://www.dhammakaya.or.th
"Children,Community Service,Educational,",Thai Mueang,Thailand,"Thai Mueang Volunteers work very closely with the schools, headmasters and teachers in Thai Muang, to make sure that their needs are being met and that they fully understand what to expect from volunteers.",Thai Mueang Volunteers,http://www.tmvolunteers.org/
"Disaster Relief,Overseas Aid,",Phuket,Thailand,"The Phuket Project is an international volunteer organization based in New York and Bangkok, committed to helping the people affected by the tsunami disaster in Thailand.",Phuket Project: Tsunami Relief In Southern Thailand,http://www.phuketproject.org
"Educational,",Phuket,Thailand,"The Phuket Has Been Good To Us Foundation is located on Phuket Island, Thailand. It currently operates an office at 80/4 Moo 3, Kamala, Kathu 83150 Phuket. The organization is comprised of a Board of Directors, nine paid employees, and a group of dedicated volunteers.",Phuket Has Been Good To Us Thailand,http://www.phukethasbeengoodtous.org
"Environment,",Long Ho,Thailand,"We struggle to preserve the Mekong River ecosystem, Mekong River has endorsed the mission to:",Mekong River,http://mekongriver.org/
"Medical,",Mae Sai Chiang Rai,Thailand,"Hope for Life is an independent, christian organization initiated in 2001 by a group of Thai, Akha and Westerners. Our purpose is to help people in need, especially children and youth. We focus on improving lives of those in our target groups for the long term, and in guiding them towards healthy independence.",Hope For Life - Hope For Children In Need,http://www.hopeforlife.asia
"Medical,",Chiang Mai,Thailand,"TLSDF is a non-governmental organization, legally registered and authorized by the Office of National Cultural Committee. The Foundation was founded in 1998 as part of the Save the Children USA transition strategy when closing down its operational presence in Thailand. The Foundation works in upper northern Thailand focusing on early childhood care development, education, life skills curricula and children orphaned and made vulnerable by HIV. Since the start, the foundation has established cooperative relationships with several national and international agencies such as: the Office of National Primary Education Commission (ONPEC), UNICEF Thailand, Mahidol University, Institute for Nutrition Research, Chiang Mai Rajaphat University, Art and Culture Institute for Development (MAYA), and Northern Child Development Promotion Centre to mention a few.",The Life Skills Development Foundation,http://www.rakdek.or.th
"Community Service,Educational,",Mae Hong Son,Thailand,"The primary goal of the Nai Soi Community Learning Center(NSCLC) is to provide a high school level education to the refugee and migrant children from Burma(Myanmar) currently living in the Nai Soi and Mae Hong Son areas.  The schoolÉ??s curiculum focuses on English language skills, Burmese language skills, Thai language skills, organic farming, science, computer and math skills.  It is our hope that this education will give the students the opportunity to become valuable and successful leaders and educators within their community.",Nai Soi Community Learning Center- Thailand,http://www.naisoi.org
,Mae Sariang,Thailand,"The Karen Women's Organisation was formed in 1949 and has a membership of over 30,000 women. KWO is a community-based organisation of Karen women working in development and relief in the refugee camps on the Thai border and with IDPs (Internally Displaced Persons) and women inside Burma. Since our formation in 1949 we have expanded our focus from one of purely social welfare to try to encourage an awareness of Women's Rights and to promote womenÉ??s participation in the community decision making and political processes.",Karen Women`s Organization Kwo,http://www.karenwomen.org
"Community Service,Educational,",Mae Sot,Thailand,"The Curriculum Project of Thabyay Education Network was established in 2001. The Curriculum Project provides curricula, materials and teacher training to further education and adult education projects run by Burmese exile, refugee and migrant communities on the Burma border. CP currently works with 35 further studies (É??Post-10É??) programmes, eleven womenÉ??s internship programmes, fifteen adult education programmes and two independent universities. CPÉ??s support ranges from negotiating curricula, providing syllabi and materials, running workshops for teachers, supplying magazine subscriptions and other media resources and/or assisting with volunteer placements, depending on programme access and available funding. The Curriculum Project aims to develop and implement a community-focused, skills-based curriculum that would instill critical thinking and independent learning skills in learners from disadvantaged groups from Burma.",Curriculum Project,http://curriculumproject.org
"Medical,",Mae Sot,Thailand,"In 1987 Mrs. Tasanee Keereepraneed started to care for orphaned children in her village of Tha Song Yang, Thailand. Having lost her own father at a young age and her children also having lost their father, Tasanee decided that she would care for the orphaned children of Thailand and Burma.",Safe Haven Orphanage,http://safehavenorphanage.org/
"Human Rights,",Mae Sot,Thailand,"Mission Statement: By vigorously opposing all unjust and oppressive laws, and by helping restore the principle of the Rule of Law, the Burma Lawyers' Council aims to contribute to the transformation of Burma where all the citizens enjoy the equal protection of law under the democratic federal constitution which will guarantee fundamentals of human rights.",Burma Lawyers' Council,http://www.blc-burma.org
"Children,Community Service,Educational,",Mae Sot,Thailand,"Room to Grow Foundation is a charity that assists orphans and unaccompanied minors with their basic needs so that they can focus on being children. We support local organizations that provide food, shelter and basic necessities to children so that they can go to school with a full belly and go to sleep safely with a mind full of dreams they will one day be able to realize.",Room To Grow Foundation,http://www.roomtogrowfoundation.org
"Human Rights,",Tak,Thailand,The National Council of the Union of Burma (NCUB) works on democratic principles to achieve a democratic federal system in Burma. Equality for all can be achieved only through transparent and inclusive participation.,National Council Of The Union Of Burma Ncub,http://www.ncub.org
,Tak,Thailand,"Pact's mission is to build empowered communities, effective governments and responsible private institutions that give people an opportunity for a better life. We do this by strengthening the capacity of organizations and institutions to be good service providers, represent their stakeholders, network with others for learning and knowledge sharing, and advocate for social, economic and environmental justice. Interdependence, responsible stewardship, inclusion of vulnerable groups, and respect for local ownership and knowledge are core values across all of our programs.",Pactthailand / Mekong Region,http://www.pactworld.org
"Children,Educational,Overseas Aid,",Maesot,Thailand,"Children are the life of any community and how they are treated is a good way to judge a society and its values.  Any society that exploits its youth or abandons this most valuable resource is literally discarding its own lifeline to the future.  When one contemplates the vast number of children leaving Myanmar for a safer chance at life in Thailand, Malaysia, Bangladesh, or India, one wonders at the lack of wisdom inherent in Burmese governmental policies.  Or, maybe it is the 'perverse' wisdom of a government that only sees a future for itself, its 400,000 man army, and those who would join or serve it.  (Related article here)",Homesteading The Future,http://www.homesteadingthefuture.org
"Educational,Hunger/Poverty,",Korat,Thailand,Our work centers on rural homestays. We have selected twenty target schools in rural provinces to work with. These schools have agreed to provide food and accommodation to our volunteers in exchange for their teaching in the classroom 3-4 hours per day.,Volunthai: Volunteers For Thailand,http://www.volunthai.com
"Educational,Overseas Aid,",Klaeng,Thailand,"TEFL International, É??where the world is your classroomÉ?ù, is a non-profit international training organization creating intercultural opportunities for our customers through numerous educational and multicultural services such as: teacher education; language training; camps; internships and much more. We strive to be a fun, creative, responsive, culturally sensitive, high value company focusing on individual growth, customer satisfaction and helping the world communicate better by providing valuable experiences and skills for those in need and for those seeking to change and improve their lives.",Tefl International,http://www.uswest.teflinternational.com
"Educational,",Muang,Thailand,"Project Scholarship Foundation of AFS. Thailand began in Year 2505 under the supervision of the Ministry of Education and Ministry of Foreign Affairs.USIS (the US Information Service) With support from American news agencies, or USIS (the US Information Service) is the initial capital for Thai youth to study in the United States for a period of 1 year.  Projects of all types of AFS. Under the agreement is a temporary move to a new social values. Form of life.And ideas that differ from the original. The participants believe.  Whether a student. Foster families and volunteers to schools and communities can develop the skills, attitudes and knowledge which are useful for life in the future.","Afs Intercultural, Thailand",http://www.afsthailand.org
,Huai Kwang,Thailand,"Over the past few decades, non-government organizations (NGOs) in Thailand have learnt many lessons about development from their work in urban and rural areas. The knowledge and experience gained has come from a process of empowering people organizations (POs) to solve basic community-level problems, improve their quality of life, and to find ways to preserve, recover and use natural and biological resources sustainably. Work towards these goals has been based on the principles of diversification, the inclusion of men and women, and the participation of communities at the policy level. It has also included forging alliances for development and creating PO networks for cooperative problem solving. These experiences have built up a wide body of knowledge and have resulted in the emergence of a new development paradigm.",Sustainable Development Foundation Sdf Thailand,http://www.sdfthai.org
"Children,Disaster Relief,",Phangnga,Thailand,"ChildTRAC believes that all children have the right to play, learn, love, and grow in a healthy and nurturing environment. This is their right as children; this is their right as human beings. ChildTRACÉ??s mission is to protect and safeguard the rights and well-being of all children by means of responsibly collecting, evaluating and disseminating information concerning the status of all vulnerable children to protection agencies, local communities and government bodies. We call this process  'tracing a path to ensure a future' and endeavour to bring invisible children out from the shadows to ensure that no child is forgotten or ignored. Above all, ChildTRAC works to serve and empower children, irrespective of race, gender or status, while simultaneously strengthening and supporting all governmental and aid organisations that directly affect the lives of children everywhere.",The Child Tracking Assistance Centre,http://www.c-trac.org
"Children,Educational,Human Rights,Hunger/Poverty,Overseas Aid,Religious,",Tak,Thailand,"Help Save The Kids works in association with Justice.Empowerment.Missions (JEM) to provide education, clothing, food and shelter to children and their families located along the Thailand / Burma border. These children have not been brought up in poverty, deserted by their parents and traded like commodities, and have not been given the opportunity to attend school. Help Save The Kids provides education to the children along with meals at school and clean water, and are in the process of building housing and bathing facilities for the community.",Help Save The Kids,http://www.helpsavethekids.com
"Children,Educational,",Sangklaburi,Thailand,"The Whispering Seed is a village-based sustainable living and learning center and home for children who have been orphaned, abused and neglected along the Thai-Burmese border. We are a US registered non-profit charitable organization providing support, care and learning opportunities for refugee children, displaced people and other ethnic minorities groups living in the border region, including those who have been affected by HIV/AIDS.",The Whispering Seed,http://whisperingseed.org
"Environment,",Pathumthani,Thailand,"In almost 5 decades, WWF (formerly known as the World Wildlife Fund) has become one of the world's largest and most respected independent conservation organizations.",World Wildlife Fund Wwf Thailand,http://www.wwfthai.org
,Payathai,Thailand,The Karen Hilltribes Trust is a UK registered charity (No. 1093548) with a Thai Foundation registered in Bangkok. The charity was founded in 1999 by Penelope Worsley to help the Karen people build a better future.,"Karen Hilltribes Trust, Thailand",http://www.karenhilltribes.org.uk
"Medical,",Sangklaburi,Thailand,"The Neo-Humanist philosophy is the guiding principle of our project.  Stated simply, we believe that we should love and care for all beings in the universe.",Baan Unrak,http://www.baanunrak.org
"Hunger/Poverty,",Tak,Thailand,"LifeCorps is a Canadian Registered Charity dedicated to the eradication of Poverty in all its forms through the promotion of sustainable development including health care, education, provision of basic human needs to all people É?? irrespective of their race, politics or religion.",Life Corps Lco,http://www.lifecorps.org
"Disaster Relief,Environment,Research,",Takuapa,Thailand,"D-TRACÉ??s mission is to gather and disseminate up to date, accurate and bi-lingual information on/to all stakeholders involved in a disaster. The stakeholders D-TRAC targets are aid organizations, affected people and the local government. D-TRAC will provide information to improve and facilitate cooperation between these stakeholders following a disaster. This will empower the stakeholders to make better informed decisions in preparing for and recovering from a disaster.",Disaster Tracking Recovery Assistance Center,http://www.d-trac.org
"Children,Disaster Relief,Educational,Environment,",Takuapa,Thailand,"The Tsunami Volunteer Center, based in Khao Lak, Thailand, was founded in January 2005 in response to the Indian Ocean Tsunami. TVC is a Thai-led NGO funded almost entirely by private donation and is not affiliated with any religions. ItsÉ?? only aim is to assist in the restoration of tsunami-affected communities through empowerment.",Tsunami Volunteer Center,http://www.tsunamivolunteer.net
"Overseas Aid,",Pathumthani,Thailand,"The idea for T??l??coms Sans Fronti??res was the result of a simple observation made after many yearsÉ?? experience with general humanitarian charities, based on listening to those in need. During missions responding to the crisis in the Balkans and in Kurdistan during the 1st Gulf War, TSFÉ??s founders realized that, in addition to medical and food aid, there was a critical need for reliable emergency telecommunications services. Conflicts and emergencies often led to massive civilian displacement and separated families. And affected populations are often left with no communications infrastructure in place to find assistance and loved ones.During early missions, TSFÉ??s founders were often approached by refugees with scraps of paper asking them, for example: É??When you go home, please call my family at this number, tell them IÉ??m alive, uncle has been killed but IÉ??m alive and IÉ??m at the refugee camp in Stenkovec.É?ù To address the need for communications services, TSF bought its first satellite phone and the organization was born. Since this time, on every TSF mission we have offered a 3-minute call to any affected family.",Telecoms Sans Frontiere,http://tsfi.org
"Arts & Culture,Children,Community Service,Educational,Environment,Medical,",Bang Klam,Thailand,Ban Roean Ram is non profit Organization in Thailand consisting of dedicated people.,Ban Roean Ram,http://thai-project.lima-city.de/
"Elderly,",Pakson,Thailand,The Thai Child Development Foundation supports the development of children in a small village in Thailand. The Thai Child Development Foundation was set up in 2004 with the aim to support the development of underprivileged children directly and on an individual basis.,Thai Child Development Foundation,http://www.thaichilddevelopment.org
"Community Service,Educational,",Amphoe Muang,Thailand,"FGCC is an educational institution that is unique in Thailand, serving the community of Nongkhai, Udon Thani and beyond. FGCC's international flair is a vehicle to promote cultural exchange and to broaden the horizon of students, local staff and the volunteers from all over the world.",First Global Community College Of Nong Khai,http://www.fgcc.ac.th
"Children,Community Service,Disabilities,Elderly,Environment,Human Rights,Research,",Amphoe Muang,Thailand,"The Fah Diow Foundation creates spaces for people of diverse backgrounds to come together and share their skills, their experiences and abilities, and their ideas and dreams for the future. Together we look at how we can make some of these hopes real. Because we know the realities of such endeavours, we pay special attention to those sectors of our communities that may not normally be given such opportunities: young people and children, the elderly, women, and those from marginal groups including ethnic minorities. The idea for the Fah Diow Foundation first arose shortly after the tsunami of 26th December 2004. At the time, the founders were working for a different Thai non-profit foundation with a strict environmental focus and a strongly academic and research perspective towards development work. Suddenly, we found ourselves in a situation where academic and research issues seemed far less important than the hearts and souls of individuals and communities. We also strongly felt that the sharing of goodwill across nationalities was such a magnificent aspect of the local, expatriate and tourist response to the tsunami that something lasting should be built from it. At the same time, the organisation we were working with was moving its direction towards more purely environmental and more academic work and away from the work that we felt needed to be done. We decided to branch out and build something new.",Fah Diow Thailand,http://www.fahdiow.net
"Medical,",Muang Chiang Mai,Thailand,"Health & Development Networks (HDN) is a leading facilitator of information, dialogue and advocacy approaches on HIV and TB. Established as an Irish non-profit organization in 1998 and as a Thai Foundation in 2003, HDN is known for its independent role in ensuring civil society perspectives, priorities and needs are given the attention they deserve. Underpinning all of HDNÉ??s work is the mantra É??Speak Your WorldÉ??, which focuses on increasing the voices of those least able to to speak out, including those of marginalized/isolated groups, communities and individuals affected by HIV and TB. Working with and supporting broader civil society in this way is central to the organizationÉ??s work.  HDN is headquartered in Chiang Mai, Thailand.",Health And Development Networks,http://www.hdnet.org/
"Animal,Disabilities,Environment,",Dusit,Thailand,"All the Thais have been well aware of and have fully realized that His Majesty the King is the center of love and loyalty of the people from all walks of life. Through the years, His Majesty has devoted His strength, wisdom, time and financial support, as well as worked and taken part in activities for the development of the country and assistance to the deprived. However, the implementation of development projects, at times, faces some restrictions such as budget constraints, procedural problems etc., which therefore desenabled them to consistently serve the needs of the people according to the urgency required.",The Chaipattana Foundation,http://www.chaipat.or.th
"Elderly,Human Rights,",Chiang Mai,Thailand,"We are the only global network of not-for-profit organisations with a mission to improve the lives of disadvantaged older people. We do this by supporting practical programmes, giving a voice to older people, and influencing policy at local, national and international levels.",Foundation For Older Persons' Development - Thailand,http://www.fopdevthailand.org
"Arts & Culture,Community Service,Environment,",Doi Saket,Thailand,"ComPeung is the first non-governmental artist-in-residence program in Thailand. Founded in 2005 by art professionals who strongly believe places that defy the mainstream art's obsession with commerce rather than content are needed. Alternative places that experiment with and questioning the role of art, artists' positions, and the interdependence of art and society. ComPeung aspires to be one of these places, open to all who share the seriousness and the compassion for creativity.",Compeung,http://www.compeung.org
"Arts & Culture,Children,Educational,Elderly,Environment,Ethnic,Human Rights,Medical,Overseas Aid,",Chiang Rai,Thailand,"The Association for Akha Education and Culture in Thailand (AFECT) is the oldest charity in S.E. Asia assisting ethnic indigenous minorities. Our humanitarian work focuses on Burmese refugees entering Thailand from Burma's Shan state and stateless 'hill tribe' groups. AFECT provides free education,?ˇhealth care, environmental support, human rights and cultural programme's for redeveloping Thai Hill Tribes in 264 villages within four northern Thai provinces.",The Association For Akha Education And Culture,http://www.akhathai.org
"Medical,",Chiang Rai,Thailand,"AFundation is a charity organisation dedicated to help underprivileged children in Northern Thailand and its bordering provinces in Burma and Laos. Our office in Chiang Mai / Thailand serves as a base to select local humanitarian projects providing relief to street children, AIDS orphans and, in general, children exposed to extreme poverty.",Anderlech Foundation,http://www.geocities.com/sanderlech/
"Human Rights,",Chiang Rai,Thailand,"The Akha Heritage Foundation seeks to defend the human rights and culture of the Akha people and promote self determination for the Akha while assisting with nutrition, medical and educational needs. We believe that the security and well-being of Akha communities must take priority over development by outside interests.",Akha Heritage Foundation,http://www.akha.org
"Children,",Chiang Mai,Thailand,"FERC, the Foundation for the Education of Rural Children (Chiang Mai, Thailand), is a nonprofit organization, registered in Thailand and the United States. Its primary objectives are to provide aid and support for education, medical care, finance, materials and equipment to children and their families in the North of Thailand; to promote and support organizations that make educational contributions to the rural Thai community; to give access to education through scholarships.",Foundation For The Education Of Rural Children,http://www.thai-rural-education.org
,Chiang Mai,Thailand,"Thai Tribal Crafts (TTC), established in 1973, is an agency sponsored by the Christian Service Foundation (Baptist) and registered in Chiang Mai in the name of Thai Tribal Crafts. The main objective of TTC is to provide opportunities for improving the quality of life of the tribal people in the Northern Thailand.",Thai Tribal Crafts,http://www.ttcrafts.co.th
,Bangkok,Thailand,"UNESCO Bangkok promotes international co-operation, sets standards and disseminates information in the fields of education, the natural sciences, the social and human sciences, culture and communication in the Asia and Pacific region.",United Nations Educational Scientific And Cultural Organization Unesco Bankok,http://www.unescobkk.org
"Environment,",Bangkok,Thailand,"The Wild Animal Rescue Foundation of Thailand (WARF) became an officially registered charity on 26th August 1992, through the work of its founders, Leonie and Pongsagdi Vejjajiva, who for more than 10 years previously had run their own sanctuary at their home in Bangkok. Thus in 1992, WARF was created, to ensure that what had become their life's work continues into the future. The Sukhumvit sanctuary has spread from their backyard to project sites all over Thailand.",Wild Animal Rescue War Foundation Of Thailand,http://www.warthai.org
"Children,",Chiang Mai,Thailand,"MicrosoftÉ??s chairman, Bill Gates, who introduced the Bill and Melinda Gates Foundation, explained the fight to eliminate polio as 1 from the most tough tasks the globe has ever experienced.",Children On The Edge,http://childrenontheedge.org.nz
,Chiang Mai,Thailand,"BWU is an independent association aiming to organize the women of Burma, both along the Thailand, India and China borders and internationally.  Membership with BWU is open to all women of Burma regardless of ethnicity, race, religion, marital status, sexual preference, or livelihood. Part of BWU's mission is to respond to the social welfare needs of its members and provide short?term educational and vocational training programs for women.  BWU sends its representatives to regional and international forums and conferences to highlight the situation of women in Burma as well as to gain international advocacy skills and establish a network of international and regional women's organizations.",Burmese Women's Union Bwu,http://www.bwunion.org
,Chiang Mai,Thailand,"The Ecumenical Coalition on Tourism (ECOT) was founded in 1982  as an outcome of a workshop that took place in Manila where the impact of tourism from a peoplesÉ?? perspective in the É??Third WorldÉ?? was analized.  All members expressed a consensus that tourism, as it is practiced in most countries has É??wreaked more havoc than brought benefitsÉ??.",Ecot,http://www.ecotonline.org
"Educational,",Chiang Mai,Thailand,"The International Sustainable Development Studies Institute (ISDSI) is an initiative of the Center for International Programs at Kalamazoo College. The Institute exists to help develop experiential educational programs with other schools, organizations or groups. In addition to our core semester length program, People Environment and Development, we also host a number of short term (multi-week) study-abroad, service-learning and related programs.","Kalamazoo College: Sustainable Development Studies, Thailand",http://www.kzoo.edu
"Medical,",Chiang Mai,Thailand,"Life Development Center was established in March 1994 by a couple of Lisu people Mr. Manop Yangja and Mr. James  Fish while HIV/AIDS epidemic was spreading dramatically among the Thai society. LDC has been serving civil society especially vulnerable marginalized ethnic minority groups as a non profit organization for over a decade. LDC had initiated various alternative development projects among hill tribe communities for preventing HIV/AIDS, illicit drug, commercial sex, as well as deforestation. Currently LDC working with more than fifteen hill tribe communities in the north of Thailand. LDC also has a wide range connection with Lisu people in Myanmar and China. LDC is supporting several tribal community groups and network groups. LDC is a member of Center for the Coordination of Non-governmental Tribal Development Organization, Christian Organizations Network, Internationals Indigenous Alliance. LDC is also cooperating with local Thai government authorities and many other Ngos. We mobilized by CBOs, FBOs etc. with participatory development approach. We are very concerned about gender equality, human dignity and involvement of community people in project implementation and evaluation with appropriate methodologies with slogan É??Involving People Evolving Behavior Change/DevelopmentÉ?ù.","Life Development Center, Ldc",http://www.ldcl.org
"Environment,",Chiang Mai,Thailand,"Living River Siam, former Southeast Asia Rivers Network (SEARIN), was launched on March 14, 1999, the International Day of Action Against Dams and for Rivers, Water and Life. Living River Siam was established by academics and NGO activists who have been working on social and environmental issues in Thailand, particularly on the environmental and social problems caused by large dams, and state policies on resource management.",Southeast Asia Rivers Network Searin,http://www.searin.org
,Bangkok,Thailand,ANFREL Calls for ASEAN to Implement the Charter on Democracy Promotion and Good Governance.,Asian Network For Free Elections Anfrel,http://www.anfrel.org
"Human Rights,",Bangkok,Thailand,"By vigorously opposing all unjust and oppressive laws, and by helping restore the principle of the Rule of Law, the Burma Lawyers' Council aims to contribute to the transformation of Burma where all the citizens enjoy the equal protection of law under the democratic federal constitution which will guarantee fundamentals of human rights.",Burma Lawyers ' Council,http://www.blc-burma.org/
"Research,",Bangkok,Thailand,"Education, Language and Development Training Programmes provides practical training and consultancy services to development organisations in South and South-East Asia. Registered as a charity in the United Kingdom, but based in Kathmandu, Nepal and Bangkok, Thailand, ELD conducts regular open training workshops in areas such as Reporting Skills, Project Management and PM&E, as well as a range of in-house assignments which include training, planning, proposal development, teambuilding, project close-out and outplacement.","Education, Language And Development Training Services Eld",http://www.eld.org.uk
"Educational,",Bangkok,Thailand,"GoodwillÉ??s mission statement is to improve the quality of life of disadvantaged Thai women through education, skills training and career service.  Goodwill Group's education program is completely free of charge and offers students a variety of practical language, computer and vocational skills courses.  English conversations classes are taught by qualified native speakers and Microsoft office software training is provided in order to help our students become more capable and marketable employees.  For those who demonstrate proficiency in skills classes, we also offer career coaching and job placement services.",The Goodwill Group Foundation,http://www.goodwillbangkok.org/index.asp
"Educational,",Bangkok,Thailand,"Institute of International Education (IIE), a private, non-profit educational organization headquartered in New York. Founded in 1919, IIE is the oldest and largest educational exchange agency in the United States. IIE/Southeast Asia was opened in 1962 in Bangkok, Thailand as the first office of IIE in Asia.",Institute Of International Education Iie Southeast Asia,http://www.iiethai.org
