,address,cause_area,contact_number,contact_person,description,email,name,website,,
711,"UNFPA MALAYSIA Wisma UN, Block C, Kompleks Pejabat Damansara, Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur",Health/Support Groups,+603 20 322 388 ,,"Who are we
UNFPA: the United Nations Population Fund, began providing assistance to Malaysia in 1973 for its national family planning programme in line with Malaysia’s population policy stipulated under the First Malaysia Plan. From 1973 through 1996, UNFPA supported programmes, projects for reproductive health (RH) Family Planning (FP); training; research; capacity building activities, as well as other population and development related initiatives.
In view of the commendable economic and social performance of Malaysia, its rapid strides towards attaining self reliance and its success with population strategies, since 1997, UNFPA’s assistance has been directed towards selected areas of intervention, particularly in the area of reproductive health as prescribed in the Programme of Action (POA) adopted at the International Conference on Population and Development (ICPD) in 1994. The recent programme/project areas include creating awareness on RH at the community setting; addressing adolescent reproductive health effectively; and integration of RH into primary health care.",registry.my@undp.org,UNFPA,http://www.unfpa.org.my,,
712,"Pertubuhan Kebajikan Anak-anak Yatim Islam Sabak Bernam, Lot 5204 Jalan parit 1 Timur, 45300 Sungai Besar, Selangor",Children/Health,+603 3224 2849,Tn. Hj Samuri B. Godiran ,"History
* Established in year 1985. The founders were YDH Dato’ Hj. Baharin B. Hj. Mat Akhir, Orang Besar Daerah Sabak Bernam and Tn. Hj Jamari B. Ngarip. Initially, it was a wooden house and only accommodated 6 occupants, which include one staff and one cook.
* In year 1988, a double storey building was built courtesy of the State of Selangor. The building consists of a separate hostel each for Boys and girls, a small office and a mini library. Thereafter, new extension of building was built to accommodate a dining hall, kitchen and warden hostel.
* In year 2000, a new building was built to accommodate computer room and prayer room as well as a library.
* To date, there are few facilities for an outdoor activities such as takraw court, badminton court and a ping pong court.
Our services

* To give a shelter and a suitable place for the needy children / students
* To provide better and more comfortable facilities as well to create a harmonious neighbourhood
* To preserve and further develop a healthy spiritual as well as physical development
Our goals

* To give students an equal opportunity to achieve personal development both in academic and in co-curriculum activities
* To nurture a sense of love and cooperation among the students
* To nurture the spirit of togetherness, respect and responsibility.
* To better equip students with a basic knowledge to face the social life",asramaanakyatimsb@yahoo.com,Rumah Anak Yatim Sabak Bernam,http://pkuaymdsb.blogspot.my/2014/04/sebalik-tirai-pertubuhan-kebajikan.html,,
713,"Kompleks Belia dan Sukan, Jalan Tun Ismail, 25000 Kuantan, Pahang",Health/Support Groups,+609 5132 829,,"About us
DiC Pahang is a registered non-governmental and non-profit making organisation committed to provide “client-oriented and client-friendly services” which was initiated and run by former drug users to provide services much needed by often marginalised and stigmatized drug user community in Pahang, Malaysia.
DiC Pahang was established in 1998 as the only peer based NGO working on drug-related issues in Pahang with the aim of addressing the issue of drug addiction problems and drug-related illness. With the strength of almost 100 committed staff and volunteers, the services of DiC Pahang are designed to complement a continuum of care and the expressed needs of clients.
Our services
The services include targeted intervention to prevent transmission of HIV and other blood borne viruses by reducing drug-related risks and harm among injecting drug users (IDUs) and their partners which involves needle and syringe exchange program, condom distribution and referrals to the government run Methadone Maintenance Therapy Program (MMT). A significant component of services include access to drug treatment and rehabilitation, shelter for Men, Women and also Children who are either infected or affected by HIV/AIDS, re-entry program, access to Voluntary Counselling and Testing (VCT), home-based care, counselling, prevention, treatment, care and support. Apart from direct services to the IDUs, their partners and their families, DiC Pahang is also actively involved in providing awareness and education to schools, colleges, universities and general public using various innovative approaches.",info@dicpahang.org,Drugs Intervention Community Pahang (DiC Pahang),http://www.facebook.com/Drug-Intervention-Community-DIC-Malaysia-1585435948395462,,
714,"2nd Floor, Outpatient Centre, Subang Jaya Medical Centre, 47500 Subang Jaya, Selangor",Health,+603 2712 3224,,"We are an independent and non-profit cancer research organisation based in Malaysia. Funded by donations and research grants, we conduct research in niche cancers often found in our Asian population.
Cancer — the big ‘C’ — continues to be a stigma, only spoken about in hushed whispers; how it’s bad karma, how much it costs, and that nothing could be done.
Confronting this stigma head on, CRM has been reversing this language of cancer, transforming the big ‘C’ to a little ‘c’, and we plan to develop tools backed by good research to ensure that we can truly fight cancer on all fronts.
We believe that we will reverse the grip of cancer in our lives. We want researchers to win the war against cancer by turning it around with new ways of prevention and cure. We want to empower the public through impactful outreach programmes, with the hopes that Malaysians will respond differently to cancer by coming forward for screenings and going through with treatments.
Our driving force is held together by these goals:",info@cancerresearch.my,Cancer Research Malaysia,http://www.cancerresearch.my,,
716,"M-15, Ground Floor,  Marist Educare Centre, No.1B Jalan 10/3, off Jalan Gasing, 46000 Petaling Jaya, Selangor",Health/Support Groups,+6016-6701595 (hotline),,"Who are we
We are a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. The only requirement for membership is a desire to stop drinking.
There are no dues or fees for A.A. membership; we are self-supporting through our own contributions. A.A. is not allied with any sect, denomination, politics, organization or institution; does not wish to engage in any controversy; neither endorses nor opposes any causes.
Our primary purpose is to stay sober and help other alcoholics to achieve sobriety.
Our services

What we do not do

Other Branches:
Tamil Methodist Church
Jalan Thambipillay,
Brickfields,
50470 Kuala Lumpur.
English Meetings
General Line : +6012-261 4705
General:+603-2078 0564
Nathan : +6016-221 3758
Pancha : +6012-216 1951
Tan : +6012-210 3182
Paul : +6019-321 8342
Ron : +6012-288 4588
John : +6019-649 2057
Email : easydoesitkl@gmail.com
Tamil Meetings
Arul : +6016-316 9206
Kali : +6016-681 5838
General:+603-2078 0564
St. Joseph’s Orphanage
“The Light House”
#52 K, Penang Road,
Penang.
General : +6016-404 8582
Email : daubenyster@gmail.com
Hospital Permai
Tampoi,
Johor Bahru,
Malaysia.
Sadir : +6019-717 2093
David : +6016-767 4010
Mike : +6016-770 7747
Email : sadirm@hotmail.com
Rumah Kenyalang
QTRS 13, Tanjung Lobang,
Miri / Bakam Road,
95000 Miri.
Daniel : +6012-889 2580
YMCA
211, Jalan Raja Musa Aziz,
30300 Ipoh,
Perak.
Peter : +6019-574 3572
Matt : +6017-350 8361
E-mail : aaipoh@gmail.com
CHURCH OF THE EPIPHANY
458-B JALAN GAMBUT,
KUANTAN, 25000
Satha : +6013-927 4363
Sabah
Jaswant : +6012-803 9883 | Email: jaswants08@gmail.com
Alex : +6014-865 7153 | Email: alexzawadzki2000@yahoo.co.uk
Subil (For bahasa) : +6016-838 6386 | Email: psubil@yahoo.com",easydoesitkl@gmail.com,Alcoholics Anonymous (A.A.),http://www.aamalaysia.org ,,
717,"B.6-1, Level 6, Menara Wisma Sejarah, 230 Jalan Tun Razak, 50400 Kuala Lumpur, Malaysia",Health, 03-2143 3411,Dr. M.A Kadar B. Marikar,"Who we are

The Malaysian Society for Quality in Health or better known as MSQH is a professional not-for-profit organisation registered under the Registrar of Society (ROS) in 17th October 1997. It was the brainchild of the Ministry of Health Malaysia in collaboration with the Association of Private Hospitals of Malaysia and the Malaysian Medical Association.
MSQH is dedicated to improving the quality of the nation’s health care through voluntary accreditation. The Malaysian Hospital Accreditation Standards are intended to stimulate continuous, systematic improvement in an organisation’s performance and the outcomes of care.
MSQH has successfully signed a Memorandum of Understanding on 19th November 2009 with STANDARDS MALAYSIA where MSQH is recognised as the sole accreditation body and standards within organisation for further health care facilities and services in Malaysia.
MSQH is also recognised by the Ministry of Health Malaysia as the national accreditation body for health care facilities and services.
MSQH is awarded the ISQua Accreditation certification on Standards and Organisation from August 2008 to July 2012. MSQH and its Hospital Accreditation Standards are internationally recognised as an international brand, as being accepted and is at par with other hospital accreditation standards in other country namely France, New Zealand, India, Joint Commission International (JCI), Australia, United Kingdom, Canada and others.
Our vision

The internationally recognised Malaysian organisation for the promotion and improvement of quality and safety in health.
Our mission

Advocate and facilitate continuous quality improvement and safety in healthcare.
Our values

Our goals

Our functions
",msqh@msqh.com.my,Malaysian Society for Quality in Health (MSQH),http://www.msqh.com.my,,
718,"BG 03A & O5, Ground Floor, Megan Ambassy, No 225, Jalan Ampang, 50450 Kuala Lumpur, Malaysia",Health,+603 4569 178,,"Who are we
MAKNA (Majlis Kanser Nasional or the National Cancer Council) is a not-for-profit social enterprise mainly tasked to pool and utilise every effort, expertise and financial aid from every faction of society, and to fight cancer and reduce the related pain, suffering and morbidity that cancer patients and their families often experience.
MAKNA registered under the Register of Societies on 10th November 1994 and officially launched on 30th March 1995. MAKNA was founded by Dato’Mohd Farid Ariffin.
Our mission
To mobilise resources in order to provide curative, preventive, research and support services to cancer patients and their families, high-risk groups and the general public, in Malaysia and the World.
Our motto
The human spirit can achieve what it is set out to do when the will is able.
Our objective
To pool and utilise all efforts, expertise and finance from all sectors of the society, to fight cancer and reduce related pain, morbidity and the suffering that cancer patients undergo.
Our focus areas

Vacancy
Assistant Communications Manager
We are seeking a candidate who is passionate about reaching the community and able to assimilate online, offline, print and electronic media effectively. The candidate is accountable for delivering measurable campaigns on time, within budget and to a consistently high quality. The candidate reports directly to the President and the General Manager.
Duties and Responsibilities
Skills / Attributes Required
Please send Curriculum Vitae with current photograph to Mr. Vemanna Appannah, Deputy General Manager at vem@makna.org.my by 31 December 2014.",makna@makna.org.my ,Majlis Kanser Nasional (MAKNA),http://www.makna.org.my,,
719,"Unit 16-07, 16th Floor Menara Arina Uniti 97, Jalan Raja Muda Abdul Aziz 50300 Kuala Lumpur",Children/Health,+603-2202 7099,,"History
The Malaysian Paediatric Association (MPA) was founded in 1979. Today, the association’s membership has increased in strength from a mere handful to more than 500 members. Membership is made up of paediatricians, paediatric nurses and others involved in the care of the child.
Our services
MPA plays a major role in advocacy on all issues related to paediatrics and child health. This covers not only health, but social issues and current controversies as well, such as child abuse and neglect, inappropriate advertising targeted at children and adolescents, unsuitable TV programmes for viewing, injury prevention, substance abuse and cigarette smoking.
MPA is affiliated with the Association of Paediatric Societies of the Southeast Asia Region (APPSEAR), now renamed Asian Pacific Pediatric Association (APPA), and International Paediatric Association (IPA). Locally, MPA is affiliated with the National Council for Child Welfare.",mpaeds@gmail.com,Malaysian Paediatric Association (MPA),http://mpaweb.org.my,,
720,"	  Persatuan Orang-Orang Cacat Anggota Malaysia,  Wisma H.R.M. Storey,  28/14 Jalan Perumahan Gurney,  54000 Kuala Lumpur,  Malaysia.",Differently Abled/Health,+603 2698 1800, Dr. Tiun Ling Ta,"POCAM, the Society of the Orthopaedically Handicapped, Malaysia, was formed in 1976 by the disabled themselves, and is dedicated to promoting the interests and general well-being of its members and other disabled people in Malaysia. It currently has over one thousand members across the country. The management of POCAM is under the control of elected members and they are assisted by voluntary helpers and four full-time employees. POCAM complies strictly with the requirements of the Registrar of Societies, and its accounts are audited regularly by a public accounting firm. On this website, which we aim to make accessible and effective, we present our Society, as well as some reference information, for our members and anyone concerned with disabled people in Malaysia or anywhere. Thank you for your visit, we hope to hear from you! ..
History of POCAM
During the seventies, though several groups of disabled such as the blind of deaf had voluntary societies working to help them, there was no such society looking after the interests of the orthopaedically disabled who are the most numerous of all. So Mr. Appu Raman, the first Principal of Pusat Pemulihan Cheras who had just retired from a senior post in the Social Welfare Department, together with Mr. Hugh Storey, another retired civil servant disabled by polio in middle life, invited a group of like-minded people to a meeting in the latter’s house on the 23rd of August 1974. They formed a pro tem committee, and made a number of basic decisions. It was agreed to form a national body at once, rather than go through intermediate stages; to be a society “of” rather than “for”; and to adopt more user-friendly policies and practices than those provided by the Social Welfare Department, who were pressed on one side by the numbers of people wishing to register, and on the other by the limited finance, manpower, and other resources which Parliament was willing to give them.
Our inaugural meeting was held a year later at Pusat Sukan Kampong Pandan on the 10th of August 1975, which we take as our birth date. We had at that time about three hundred prospective members, eighty of whom were present; and Mr. E.G. Ross, who was Director of Rehabilitation in the Department, kindly came as Guest of Honour and gave us their encouragement. However we had to wait another year until our registration was approved in September 1976, which allowed us to recruit new members and expand our activities. So in POCAM the ordinary members are disabled people, and only they can vote at general meetings; however other people are welcome as associate members, and can be elected to office or appointed to committees.",mypocam@tm.net.my,"Society of the Orthopaedically Handicapped, Malaysia (POCAM)",http://pocam.org,,
722,,Health,603-4023 4700 | 603-4025 4700 | 603-4025 3700, Dr. Fatimah Arshad,"Who we are

Malaysian Dietitians’ Association (MDA) was established in 1994 with Professor Dr Fatimah Arshad as the first president.
Back in the early 1970s and 1980s, there were less than 10 dietitians in Ministry of Health and only 2 to 3 dietitians in private medical centres. The only institution of higher learning that produced dietitians for the country then was Universiti Kebangsaan Malaysia (UKM). The first batch of dietitians graduated from UKM in 1989.
As years went by, the number of dietitians in Malaysia increased. The early dietitians saw the need to form an association to drive and guide the growth of the profession. In 1994, the Malaysian Dietitians’ Association’ (Persatuan Dietitian Malaysia) was born. The establishment of the Code of Ethics is the first step by the association to increase the professional integrity of all dietitians in Malaysia. This code of ethics remains an integral part of MDA today.
Our vision

We are the advocates of nutrition and dietetics for the health and well-being of the nation
Our mission",enquiries@dietitians.org.my | admin@dietitions.org.my,Malaysian Dietitians’ Association (MDA),http://dietitians.org.my,,
723,"No 2, Lorong Syed Putra Kiri 50460 Kuala Lumpur | P.O. Box 10484  50714 Kuala Lumpur | Klinik Teoh & Cheah, No. 3 Jalan 20/7, Paramount Garden, 46300 Petaling Jaya""",Health/Support Groups,03-7875 5933,Mr. Wong Keng Thoe,"Our vision

The prevention, control and treatment of Tuberculosis in Malaysia, and the provision of welfare to needy TB patients.
This vision to be achieved by working closely with the Ministry of Health, and with other relevant NGOs and with community organizations, in the spirit of voluntarism.
Our objectives
", maptbfederal@gmail.com ,Malaysian Association for the Prevention of Tuberculosis (MAPTB),http://www.maptb.org.my,,
724," Bangunan Tan Sri T H Tan  D1-01, Jalan SS6/20A, Dataran Glomac  Kelana Jaya, 47301, Petaling Jaya",Health/Support Groups,03-78036088,"Ms Irene Yap, Administrative Secretary","The disease of leprosy had terrified mankind for thousands of years, and the victims were treated with utter contempt, literally as sub human beings, as outcasts from Society and driven away to live in isolation in deep jungles.
The history of leprosy in Malaysia goes back to over 300 years, and was probably brought in by the early immigrants.
Some of these early immigrants, terribly deformed by the diseases of leprosy, lived in the same villages and towns as the other inhabitants. The disease of leprosy was, in those early years considered as dangerous and contagious and could easily spread from one person to another.
FORCIBLE ISOLATION OF LEPERS
The Government therefore, at that early period, in order to protect the inhabitants from being infected by leprosy, enacted draconian laws to forcibly isolate those suffering from the disease of leprosy from the other inhabitants.
These unfortunate human beings treated more as sub-humans were forcibly isolated into very remote camps in the deep jungle in places such as Pulau Jerjajak (1871) Pulau Pangkor (1903), Tampoi , Pulau Seribun (1850) Setapak, Kota Baru, and the leper asylum in Circular Road, Kuala Lumpur (now Jalan Tun Abdul Razak).
SUNGEI BULOH LEPROSARIUM

Much later in the 1930s when the Sungei Buloh Leprosarium was built, leprosy patients from the various camps were brought into the Sungei Buloh leprosarium and the leper population at the time was around 3000 lepers.
However over the years, the number has reduced and by 1980 , there were 1473 patients and in 2010, there are only 239 patients and ex patients.
In the early stages, Sungei Buloh Leprosarium was surrounded by barbed wire fencing, to deter the lepers from escaping. The Government did its best to provide the lepers with whatever medicines were available including opium and with limited food and clothing. The lepers were helpless, physically suffering with little food and tattered clothes. They had nothing to look forward to, but just lingering death.
TAN SRI T H TAN, FOUNDER & FIRST PRESIDENT OF MaLRA
The late Senator Tan Sri T H Tan, one of the main members of the Hon. The Prime Minister Tuanku Abdul Rahman’s team in securing Independence for Malaya from the British in 1957, was at that time extremely involved in politics and other activities of National importance.
Busy as he was, Tan Sri T H Tan was so struck by the sufferings of these lepers, he decided that immediate help must be given to these poor suffering leprosy patients.
He therefore got together a handful of like mind personalities and founded the Malaysian Leprosy Relief Association (MaLRA) in 1959.
AIM OF MaLRA
The basic aim of MaLRA is to provide financial relief to the leprosy patients, ex patients and their families. To this aim, MalRA and all MaLRA Branches have been successfully assisting patients financially as well as with amenities.
Some of the amenities that both MaLRA HQ and all its MaLRA Branches provide to the MalRA patients are : wheelchairs, tongkats, walkers, artificial limbs, spectacles, sewing machines, cataract operation, house repair, bicycles, fishing nets, garden tools, school fees, books, uniforms, transport, bus fares, opening small business, cash relief and food parcels, rehabilitation services to patients which include social, medical, and vocational assistance.
TUN DATO’ SERI ABDUL HAMID OMAR, PAST PRESIDENT MaLRA
After the Presidency of MaLRA passed into the hands of Tun Abdul Hamid Omar, the former Lord President of the Malaysian Judiciary, it passed through a momentous period of growth expansion.
Tun Dato’ Seri Abdul Hamid Omar, whilst at the pinnacle of power and prestige as Lord President of the Supreme Court of Malaysia, was also moved by the plight of thousands of sufferers afflicted with the scourge of leprosy. His humanitarian instincts prompted him to find ways to alleviate the sufferings of these unfortunate people. Tun decided to go “hands on” to help these poor unfortunate people.
Firstly, the thrust was setting up Branches. MaLRA now has Branches in almost all the States including Sabah and Sarawak.
Secondly, as MaLRA relied purely on Government aid, the aim was to make MaLRA self –sufficient. Tun then made efforts to consolidate MalRA ‘s resources.
Thirdly, the most difficult of all was to coax the ex-patients to come out of their self imposed shyness and the feeling of being ostracized by Society. There had been a gradual improvement in this area. Through the efforts of MaLRA, these ex-patients have been taken to shopping complexes, on sightseeing tours, and even to five star hotels, where functions such as hamper distributions to patients are held during Hari Raya, Chinese New Year, Deepavali festivals.", mleprosy@hotmail.com ,Malaysia Leprosy Relief Association (MALRA),http://malra.org.my,,
725,"NASAM Sabah Kompleks Badan-Badan Sukarela Wisma Pandu Puteri, KM4 Jalan Tuaran 88400 Kota Kinabalu",Health/Support Groups,088-261 568 ,,"BACKGROUND/HISTORY
When Established: 11/1996
NASAM (National Stroke Association of Malaysia or Persatuan Kebangsaan Angin Ahmar Malaysia) is a non-profit organisation founded six years ago in November 1996 by Janet Yeo to help Stroke survivors cope with the trauma of stroke and to provide rehabilitation facilities to help them return to a normal life as quickly as possible.
NASAM’s Mission
To inform the public that there is Life after Stroke through proper rehabilitation.
To educate the public on stroke prevention.
NASAM’s Activities
Group therapy sessions are conducted from 10.00am – 12.00 pm and from 2.00 – 4.00pm Monday to Friday at NASAM House, Petaling Jaya.
We provide physiotherapy, occupational therapy and speech therapy. These sessions are conducted by trained therapists assisted by volunteers.
Excursions and trips to various places of interest are also organised regularly for our stroke members. Please call the other centres for their opening hours.
Fees
Registration fees for stroke survivors are RM200 which includes a one-time membership fee of RM50, a thorough assessment by our therapist and the first month therapy fees. The fee forsubsequent months is only RM100 a month in NASAM, Petaling Jaya and Ampang and RM50 at the other centres.  If you wish to be a friend of NASAM, non-stroke members need only pay RM50 to join. There is no monthly fees.  As a member you will be sent a copy of our quarterly magazine Stroke News and will be invited to all our events.
NEEDS
NASAM volunteers help stroke survivors to regain their independence so that they can live life to the full once again. If you are lively, warmhearted, friendly and have some time to spare, NASAM would welcome you to join us to help stroke survivors with their rehab. We provide volunteer training to give you an understanding of the requirements of the work involved. No qualifications are required – just your commitment and desire to help. If you are interested please call us at any one of our NASAM Centres.
How you can support NASAM:
OTHER CONTACTS
NASAM Ampang
No 9, Lorong Awan 1
68000 Ampang Selangor Darul Ehsan Malaysia
Tel: +603 4256 1234
Fax: +603 4251 5360
Email: nasamampang@nasam.org
Open: Mon-Fri: 9am-4pm
NASAM Penang
No 9 Jesselton Crescent 10350 Penang
Tel: +604 229 8050 Fax: +604 226 0563
Email: nasampenang@nasam.org
Open: Mon-Fri: 10am-12noon
NASAM Malacca
5132-C Jalan Datuk Palembang,
Bukit Baru, 75150 Melaka
Tel/Fax: +606 2310177
Email: nasammalacca@nasam.org
Open: Mon-Fri: 10am-12noon, 2pm-4pm
NASAM Ipoh:
No 9, Lorong Pinji, off Jalan Pasir Puteh
31560 Ipoh, Perak, Malaysia
Tel: +605 321 1089
Fax: +605 322 4759
Email: nasamperak@nasam.org
Open: Mon-Fri: 9am-5pm
NASAM Johor
No. 59 Jalan Cendera, Serene Park,
80300 Johor Bahru, Johor
Tel: +607 223 0075 Fax: +607 223 0076
Email: nasamjohor@nasam.org
NASAM Kuantan
A2134 Lorong Kubang Buaya 2, 25250 Kuantan, Pahang
Tel / Fax: +609 566 8195
Email: nasamkuantan@nasam.org
NASAM Sabah
Kompleks Badan-Badan Sukarela
Wisma Pandu Puteri, KM4 Jalan Tuaran
88400 Kota Kinabalu
Tel: +6088 261 568 Fax: +6088 268 568
Email: nasamsabah@nasam.org
Open: Mon-Fri: 9am-5pm
Cheques Made Payable to: National Stroke Association of Malaysia
Tax Exempt: Yes",nasamsabah@nasam.org,National Stroke Association of Malaysia (NASAM) – Sabah,http://www.nasam.org,,
726,"NASAM Kuantan A2134 Lorong Kubang Buaya 2, 25250 Kuantan, Pahang",Health/Support Groups,+609 566 8195,,"BACKGROUND/HISTORY
When Established: 11/1996
NASAM (National Stroke Association of Malaysia or Persatuan Kebangsaan Angin Ahmar Malaysia) is a non-profit organisation founded six years ago in November 1996 by Janet Yeo to help Stroke survivors cope with the trauma of stroke and to provide rehabilitation facilities to help them return to a normal life as quickly as possible.
NASAM’s Mission
To inform the public that there is Life after Stroke through proper rehabilitation.
To educate the public on stroke prevention.
NASAM’s Activities
Group therapy sessions are conducted from 10.00am – 12.00 pm and from 2.00 – 4.00pm Monday to Friday at NASAM House, Petaling Jaya.
We provide physiotherapy, occupational therapy and speech therapy. These sessions are conducted by trained therapists assisted by volunteers.
Excursions and trips to various places of interest are also organised regularly for our stroke members. Please call the other centres for their opening hours.
Fees
Registration fees for stroke survivors are RM200 which includes a one-time membership fee of RM50, a thorough assessment by our therapist and the first month therapy fees. The fee forsubsequent months is only RM100 a month in NASAM, Petaling Jaya and Ampang and RM50 at the other centres.  If you wish to be a friend of NASAM, non-stroke members need only pay RM50 to join. There is no monthly fees.  As a member you will be sent a copy of our quarterly magazine Stroke News and will be invited to all our events.
NEEDS
NASAM volunteers help stroke survivors to regain their independence so that they can live life to the full once again. If you are lively, warmhearted, friendly and have some time to spare, NASAM would welcome you to join us to help stroke survivors with their rehab. We provide volunteer training to give you an understanding of the requirements of the work involved. No qualifications are required – just your commitment and desire to help. If you are interested please call us at any one of our NASAM Centres.
How you can support NASAM:
OTHER CONTACTS
NASAM Ampang
No 9, Lorong Awan 1
68000 Ampang Selangor Darul Ehsan Malaysia
Tel: +603 4256 1234
Fax: +603 4251 5360
Email: nasamampang@nasam.org
Open: Mon-Fri: 9am-4pm
NASAM Penang
No 9 Jesselton Crescent 10350 Penang
Tel: +604 229 8050 Fax: +604 226 0563
Email: nasampenang@nasam.org
Open: Mon-Fri: 10am-12noon
NASAM Malacca
5132-C Jalan Datuk Palembang,
Bukit Baru, 75150 Melaka
Tel/Fax: +606 2310177
Email: nasammalacca@nasam.org
Open: Mon-Fri: 10am-12noon, 2pm-4pm
NASAM Ipoh:
No 9, Lorong Pinji, off Jalan Pasir Puteh
31560 Ipoh, Perak, Malaysia
Tel: +605 321 1089
Fax: +605 322 4759
Email: nasamperak@nasam.org
Open: Mon-Fri: 9am-5pm
NASAM Johor
No. 59 Jalan Cendera, Serene Park,
80300 Johor Bahru, Johor
Tel: +607 223 0075 Fax: +607 223 0076
Email: nasamjohor@nasam.org
NASAM Kuantan
A2134 Lorong Kubang Buaya 2, 25250 Kuantan, Pahang
Tel / Fax: +609 566 8195
Email: nasamkuantan@nasam.org
NASAM Sabah
Kompleks Badan-Badan Sukarela
Wisma Pandu Puteri, KM4 Jalan Tuaran
88400 Kota Kinabalu
Tel: +6088 261 568 Fax: +6088 268 568
Email: nasamsabah@nasam.org
Open: Mon-Fri: 9am-5pm
Cheques Made Payable to: National Stroke Association of Malaysia
Tax Exempt: Yes",nasamkuantan@nasam.org,National Stroke Association of Malaysia (NASAM) – Pahang,http://www.nasam.org,,
727,"NASAM Ipoh: No 9, Lorong Pinji, off Jalan Pasir Puteh 31560 Ipoh, Perak, Malaysia",Health/Support Groups,+605 321 1089,,"BACKGROUND/HISTORY
When Established: 11/1996
NASAM (National Stroke Association of Malaysia or Persatuan Kebangsaan Angin Ahmar Malaysia) is a non-profit organisation founded six years ago in November 1996 by Janet Yeo to help Stroke survivors cope with the trauma of stroke and to provide rehabilitation facilities to help them return to a normal life as quickly as possible.
NASAM’s Mission
To inform the public that there is Life after Stroke through proper rehabilitation.
To educate the public on stroke prevention.
NASAM’s Activities
Group therapy sessions are conducted from 10.00am – 12.00 pm and from 2.00 – 4.00pm Monday to Friday at NASAM House, Petaling Jaya.
We provide physiotherapy, occupational therapy and speech therapy. These sessions are conducted by trained therapists assisted by volunteers.
Excursions and trips to various places of interest are also organised regularly for our stroke members. Please call the other centres for their opening hours.
Fees
Registration fees for stroke survivors are RM200 which includes a one-time membership fee of RM50, a thorough assessment by our therapist and the first month therapy fees. The fee forsubsequent months is only RM100 a month in NASAM, Petaling Jaya and Ampang and RM50 at the other centres.  If you wish to be a friend of NASAM, non-stroke members need only pay RM50 to join. There is no monthly fees.  As a member you will be sent a copy of our quarterly magazine Stroke News and will be invited to all our events.
NEEDS
NASAM volunteers help stroke survivors to regain their independence so that they can live life to the full once again. If you are lively, warm-hearted, friendly and have some time to spare, NASAM would welcome you to join us to help stroke survivors with their rehab. We provide volunteer training to give you an understanding of the requirements of the work involved. No qualifications are required – just your commitment and desire to help. If you are interested please call us at any one of our NASAM Centres.
How you can support NASAM:
OTHER CONTACTS
NASAM Ampang
No 9, Lorong Awan 1
68000 Ampang Selangor Darul Ehsan Malaysia
Tel: +603 4256 1234
Fax: +603 4251 5360
Email: nasamampang@nasam.org
Open: Mon-Fri: 9am-4pm
NASAM Penang
No 9 Jesselton Crescent 10350 Penang
Tel: +604 229 8050 Fax: +604 226 0563
Email: nasampenang@nasam.org
Open: Mon-Fri: 10am-12noon
NASAM Malacca
5132-C Jalan Datuk Palembang,
Bukit Baru, 75150 Melaka
Tel/Fax: +606 2310177
Email: nasammalacca@nasam.org
Open: Mon-Fri: 10am-12noon, 2pm-4pm
NASAM Ipoh:
No 9, Lorong Pinji, off Jalan Pasir Puteh
31560 Ipoh, Perak, Malaysia
Tel: +605 321 1089
Fax: +605 322 4759
Email: nasamperak@nasam.org
Open: Mon-Fri: 9am-5pm
NASAM Johor
No. 59 Jalan Cendera, Serene Park,
80300 Johor Bahru, Johor
Tel: +607 223 0075 Fax: +607 223 0076
Email: nasamjohor@nasam.org
NASAM Kuantan
A2134 Lorong Kubang Buaya 2, 25250 Kuantan, Pahang
Tel / Fax: +609 566 8195
Email: nasamkuantan@nasam.org
NASAM Sabah
Kompleks Badan-Badan Sukarela
Wisma Pandu Puteri, KM4 Jalan Tuaran
88400 Kota Kinabalu
Tel: +6088 261 568 Fax: +6088 268 568
Email: nasamsabah@nasam.org
Open: Mon-Fri: 9am-5pm
Cheques Made Payable to: National Stroke Association of Malaysia
Tax Exempt: Yes",nasamperak@nasam.org,National Stroke Association of Malaysia (NASAM) – Perak,http://www.nasam.org,,
