name,cause_area,country,city
"Center for Alternative Resources, Authentic Technology Services (CARATS), Inc.",Health & Nutrition, Philippines,"Buhangin District,  Davao"
Christian Action for Relief & Empowerment (CARE),Health & Nutrition, Philippines,Las Pinas City
Community Mental Health Programme Cambodia (TPO-Cambodia),Health & Nutrition, Cambodia,Phnom Penh
Cooperation and Development Group (CDG),Health & Nutrition, Vietnam,Hanoi
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Health & Nutrition, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Health & Nutrition, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Health & Nutrition, Cambodia,Phnom PenhCity
ECOLINK Philippines,Health & Nutrition, Philippines,Oroquieta City
Educational Welfare and Research Foundation,Health & Nutrition, Malaysia,Kuala Lumpur
"Family Care & Preservation, Inc. (FAMICARE, Inc.)",Health & Nutrition, Philippines,Makati
Global CEO Alliance Foundation Inc.,Health & Nutrition, Philippines,Makati
"GMA Kapuso Foundation, Inc.",Health & Nutrition, Philippines,Quezon City
"Green Valley College Foundation,Inc.",Health & Nutrition, Philippines,Koronadal
He Cares Foundation,Health & Nutrition, Philippines,Quezon City
High Desert International Foundation,Health & Nutrition, Indonesia,Jakarta
Institution for Development of Rural and Indigenous People (IDRAP),Health & Nutrition, Indonesia,Kendari
International Association for Transformation-Philippines,Health & Nutrition, Philippines,Tabuk
Kalinga Filipino,Health & Nutrition, Philippines,Quezon City
Khmer HIV/AIDS NGO Alliance (KHANA),Health & Nutrition, Cambodia,Phnom Penh
KidsGrowHappy (Phils) Foundation,Health & Nutrition, Philippines,Daet
Komando Barisan Rakyat/ KOBRA,Health & Nutrition, Indonesia,Karawang
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),Health & Nutrition, Indonesia,Jakarta Timur
Lakas ng Ekonomiya ng Alyansng Pilipino,Health & Nutrition, Philippines,Mangatarem
Lembaga Bina Potensi Masyarakat (LBPM) ,Health & Nutrition, Indonesia,Manado
Lembaga Pemantau Pembangunan Daerah,Health & Nutrition, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Health & Nutrition, Indonesia,Purwokerto
LSM Metroxylon Maluku,Health & Nutrition, Indonesia,Ambon
MAHITA,Health & Nutrition, Malaysia,Hyderabad
Maragusan Waterworks and Sanitation Multi-Purpose Cooperative (MAWASCO),Health & Nutrition, Philippines,Tagum City
Masarek Simeulue Institute,Health & Nutrition, Indonesia,Sinabang
"Mindanao Integrated Resource Development, Inc. (MIRD)",Health & Nutrition, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Health & Nutrition, Philippines,Bacor
National Youth Parliament Alumni Association,Health & Nutrition, Philippines,Quezon
Natural Health Foundation of the Philippines Inc,Health & Nutrition, Philippines,Manila
Natural Health Foundation of the Philippines Inc,Health & Nutrition, Philippines,Manila
Open Heart Foundation Worldwide,Health & Nutrition, Philippines,Quezon City
People's Agricultural Plan for the 21st Century Inc. (PAP 21),Health & Nutrition, Philippines,Bacolod City
Perisai Nusantara,Health & Nutrition, Indonesia,Medan
Persatuan Kebajikan Kenanga Waja Malaysia,Health & Nutrition, Malaysia,Semenyih
Pertubuhan Kebajikan Mesra Rawang Selangor,Health & Nutrition, Malaysia,Rawang
"Philippine NGO Support Program, Inc. (PHANSuP)",Health & Nutrition, Philippines,Quezon City
PHILSOCORDS,Health & Nutrition, Philippines,Zamboanga
PhnomSrey Association for Development,Health & Nutrition, Cambodia,KampongCham
PKBM WIDYATAMA,Health & Nutrition, Indonesia,Banyuwangi
PKPU,Health & Nutrition, Indonesia,Jakarta Timur
PNAN,Health & Nutrition, Singapore,Singapore
Poverty Reduction and Development Association (PoR-DeA),Health & Nutrition, Lao People's Democratic Republic,Sisattanak distr.
Project Against Domestic Violence (PADV),Health & Nutrition, Cambodia,Phnom Penh
Quezon City Center for Women in Development (QCCWD),Health & Nutrition, Philippines,Quezon City
Regional Development Action Association ,Health & Nutrition, Cambodia,Siem Reap
Rejoice Thailand,Health & Nutrition, Thailand,Suthep Muang
Rotary Club of Johor Centennial,Health & Nutrition, Malaysia,Johor Bahru
Rumah Zakat Indonesia Foundation,Health & Nutrition, Indonesia,Bandung
Sao Sary Foundation,Health & Nutrition, Cambodia,Chbar Morn
"Science Associates for Development Programme ""SADP""",Health & Nutrition, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Health & Nutrition, Lao People's Democratic Republic,"Chanthabouri dist., "
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Health & Nutrition, Philippines,Cotabato City
Special school,Health & Nutrition, Singapore,Singapore
"Suluk International Advocacy Foundation,Inc",Health & Nutrition, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Health & Nutrition, Philippines,Surigao City
The Committee for Development and Friendship of Rural Youth (CDFRY),Health & Nutrition, Cambodia,Phnom Penh
The People Improvement Organization (PIO),Health & Nutrition, Cambodia,Phnom Penh
ThinkActPeace Foundation - Philippines,Health & Nutrition, Philippines,Las Pinas City
"Tribal Cooperation for Rural Development, Inc. (TRICORD NGO) ",Health & Nutrition, Philippines, Aritao
Tribal Media Group,Health & Nutrition, Myanmar,"Tedim PO., "
Tulong Para Sa Mga Bata Foundation,Health & Nutrition, Philippines,Ermita
Unang Lingap Kapwa Philippines,Health & Nutrition, Philippines,Quezon City
Women Initiative and Children Education Foundation,Health & Nutrition, Indonesia,Sigli
"Women's Federation for World Peace, Myanmar",Health & Nutrition, Myanmar,Yangon
Ya Suka Sumba,Health & Nutrition, Indonesia,Waitabula
Yayasan Bina Dharma,Health & Nutrition, Indonesia,Kabupaten Soppeng
Yayasan Pondok Pesantren Qamarul Huda,Health & Nutrition, Indonesia,Mataram
Yayasan Rama Sesana,Health & Nutrition, Indonesia,Denpasar
Yayasan Talkis,Health & Nutrition, Indonesia,Kota Tangerang
Youth Volunteer For Action on Development ,Health & Nutrition, Lao People's Democratic Republic,Vientiane
Action Relief,Family, Indonesia,Sigli
"Alay Sa Kawal Foundation, Inc. ",Family, Philippines,Quezon City
Albert Schweitzer Familienwerk Foundation Philippines,Family, Philippines,n/a
American Association of the Philippines,Family, Philippines,Makati City
"American Women's Club of the Philippines, Inc. ",Family, Philippines,Makati City
"Amigonian Youth Center Foundation, Inc. ",Family, Philippines,Cavite
"Angelo King Foundation, Inc. ",Family, Philippines,Makati City
"Antipolo Seminary Foundation, Inc. ",Family, Philippines,Paraaque City
Asian Federation Against Involuntary Disappearances (AFAD),Family, Philippines,Quezon City
"Asilo de Molo, Inc. ",Family, Philippines,Iloilo City
"Asociacion de Alumnas de Poveda Foundation, Inc. ",Family,Philippines,
Association for Children's Community & Development,Family, Philippines,"Cebu City,  Philippines"
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Family, Philippines,Baguio City
Brotherhood of Destiny Inc. (BROOD),Family, Philippines,Baliuag
Cambodian League for the Promotion and Defense of Human Rights (LICADHO),Family, Cambodia,Phnom Penh
Cambodian Volunteers for Community Development,Family, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Family, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Family, Philippines,Las Pinas City
CARE-Venture International,Family, Singapore,Singapore
Center for Peace Education,Family, Philippines,Quezon City
Christian Action for Relief & Empowerment (CARE),Family, Philippines,Las Pinas City
Cooperation and Development Group (CDG),Family, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Family, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Family, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Family, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Family, Philippines,Baguio City
ECOLINK Philippines,Family, Philippines,Oroquieta City
"Family Care & Preservation, Inc. (FAMICARE, Inc.)",Family, Philippines,Makati
Federation of Indian NGOs Malaysia,Family, Malaysia,PETALING JAYA
"Glorious Harvest Community Foundation, Inc.",Family, Philippines,Cebu City
"GMA Kapuso Foundation, Inc.",Family, Philippines,Quezon City
Greater Heights Christian Worship Center,Family, Philippines,Quezon City
Greenway,Family, Thailand,Krong Hoykrong
"Harvest Christian School International of Cebu, Inc.",Family, Philippines,Cebu
He Cares Foundation,Family, Philippines,Quezon City
Impact Philippines,Family, Philippines,Quezon City
"Inter Religious Council, Malaysia",Family, Malaysia,Kuala Lumpur
International Association for Transformation-Philippines,Family, Philippines,Tabuk
International Police Commission Philippine Command Association,Family, Philippines,Taguig City
"Kaabag sa Sugbo Foundation, Inc.",Family, Philippines,Cebu
Kalinga Filipino,Family, Philippines,Quezon City
Khmer HIV/AIDS NGO Alliance (KHANA),Family, Cambodia,Phnom Penh
KidsGrowHappy (Phils) Foundation,Family, Philippines,Daet
Lakas ng Ekonomiya ng Alyansng Pilipino,Family, Philippines,Mangatarem
Leadership Character Development Institute,Family, Cambodia,Phnom Penh
Lembaga Kajian dan Advokasi Pesantren (LKAP),Family, Indonesia,Pondokgede
Lembaga Pemantau Pembangunan Daerah,Family, Indonesia,Medan
LSM Metroxylon Maluku,Family, Indonesia,Ambon
Mercy Mission,Family, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Family, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Family, Philippines,Bacor
National Youth Parliament Alumni Association,Family, Philippines,Quezon
Open Heart Foundation Worldwide,Family, Philippines,Quezon City
Our Friends Organization ,Family, Cambodia,Phnom Penh
Pelita Bakti Project,Family, Indonesia,Jakarta Selatan
Perisai Nusantara,Family, Indonesia,Medan
PHILCORPS Organization,Family, Philippines,Quezon
PHILSOCORDS,Family, Philippines,Zamboanga
PhnomSrey Association for Development,Family, Cambodia,KampongCham
PKBM WIDYATAMA,Family, Indonesia,Banyuwangi
PKPU,Family, Indonesia,Jakarta Timur
Poverty Reduction and Development Association (PoR-DeA),Family, Lao People's Democratic Republic,Sisattanak distr.
Project Against Domestic Violence (PADV),Family, Cambodia,Phnom Penh
Quezon City Center for Women in Development (QCCWD),Family, Philippines,Quezon City
Regional Development Action Association ,Family, Cambodia,Siem Reap
Rejoice Thailand,Family, Thailand,Suthep Muang
Rotary Club of Johor Centennial,Family, Malaysia,Johor Bahru
Rumah Zakat Indonesia Foundation,Family, Indonesia,Bandung
Sao Sary Foundation,Family, Cambodia,Chbar Morn
"Science Associates for Development Programme ""SADP""",Family, Lao People's Democratic Republic,Vientiane
"Share A Child Movement, Inc.",Family, Philippines,Cebu City
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Family, Philippines,Cotabato City
Special school,Family, Singapore,Singapore
"Suluk International Advocacy Foundation,Inc",Family, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Family, Philippines,Surigao City
The People Improvement Organization (PIO),Family, Cambodia,Phnom Penh
The Supreme Council for the Confucian Religion of Indonesia,Family, Indonesia,Jakarta
ThinkActPeace Foundation - Philippines,Family, Philippines,Las Pinas City
Unang Lingap Kapwa Philippines,Family, Philippines,Quezon City
Vietnam Association for Promoting and Supporting Education Development (VIPASED),Family, Vietnam,Hanoi
Wafaa International for Capacity Building,Family, Indonesia,Jakarta Selatan
Women Initiative and Children Education Foundation,Family, Indonesia,Sigli
"Women's Federation for World Peace, Philippines",Family, Philippines,Quezon City Metro
World Youth Foundation (WYF),Family, Malaysia,Lebuh Ayer Keroh
Yayasan ANAK,Family, Indonesia,Peliatan
Yayasan Bina Dharma,Family, Indonesia,Kabupaten Soppeng
Yayasan Rama Sesana,Family, Indonesia,Denpasar
Yayasan Talkis,Family, Indonesia,Kota Tangerang
Youth Volunteer For Action on Development ,Family, Lao People's Democratic Republic,Vientiane
Action Relief,Environment, Indonesia,Sigli
Agency for Basic Community Development,Environment, Myanmar,Sanchaung Township
ANAKK - Sta. Cruz Inc.,Environment, Philippines,Municipality of Sta. Cruz
Asia Society for Social Improvement and Sustainable Transformation,Environment, Philippines,Makati City
Association for Children's Community & Development,Environment, Philippines,"Cebu City,  Philippines"
Association of Development Financing Institutions in Asia and the Pacific (ADFIAP),Environment, Philippines,Makati City
"Batas Kalikasan Foundation, Inc. ",Environment, Philippines,Muntinlupa City
Bhakti Ilmuwan Research and Community Centre (BIRCC),Environment, Indonesia,Bantul
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Environment, Philippines,Baguio City
Brotherhood of Destiny Inc. (BROOD),Environment, Philippines,Baliuag
Cambodian Volunteers for Community Development,Environment, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Environment, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Environment, Philippines,Las Pinas City
CARE-Venture International,Environment, Singapore,Singapore
"Center for Alternative Resources, Authentic Technology Services (CARATS), Inc.",Environment, Philippines,"Buhangin District,  Davao"
Center for Public Health and Community Development (CEPHAD),Environment, Vietnam,Hanoi
"Clean & Green Foundation, Inc.",Environment, Philippines,Manila
Cooperation and Development Group (CDG),Environment, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Environment, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Environment, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Environment, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Environment, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Environment, Cambodia,Phnom PenhCity
Drivechange,Environment, Singapore,Singapore
Drug Free Youth Association,Environment, Malaysia,Puchong
ECOLINK Philippines,Environment, Philippines,Oroquieta City
ERA Consumer Malaysia,Environment, Malaysia,Petaling Jaya
Farmer's Life Improvement and Future Light Youth Organization,Environment, Cambodia,Phnom Penh
Friends of Overseas Filipinos Incorporated (FOFI),Environment, Philippines,Pasig City
Global CEO Alliance Foundation Inc.,Environment, Philippines,Makati
"GMA Kapuso Foundation, Inc.",Environment, Philippines,Quezon City
Green Life Association,Environment, Lao People's Democratic Republic," Pakse,  Champasak"
"Green Valley College Foundation,Inc.",Environment, Philippines,Koronadal
Greenway,Environment, Thailand,Krong Hoykrong
Institution for Development of Rural and Indigenous People (IDRAP),Environment, Indonesia,Kendari
International Association for Transformation-Philippines,Environment, Philippines,Tabuk
International Rice Research Institute,Environment, Philippines,Metro Manila
International tribal alliance for community development and environmental restoration,Environment, Philippines,Quezon
Jikalahari/ The Network for Riau Forest Rescuer,Environment, Indonesia,Pekanbaru
"Kaabag sa Sugbo Foundation, Inc.",Environment, Philippines,Cebu
Kalinga Filipino,Environment, Philippines,Quezon City
Kampong Thom Farmers Association  (KTFA),Environment, Cambodia,Phnom Penh
Khmer Youth Association,Environment, Cambodia,Phnom Penh
Komando Barisan Rakyat/ KOBRA,Environment, Indonesia,Karawang
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),Environment, Indonesia,Jakarta Timur
Lakas ng Ekonomiya ng Alyansng Pilipino,Environment, Philippines,Mangatarem
Lembaga Bina Potensi Masyarakat (LBPM) ,Environment, Indonesia,Manado
Lembaga Pemantau Pembangunan Daerah,Environment, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Environment, Indonesia,Purwokerto
Life Development Center,Environment, Thailand,Chiang Mai
Lingkar Association,Environment, Indonesia,Sleman
LSM Kelompok Diskusi Anti 86 (KODAT 86),Environment, Indonesia,Batam
LSM Metroxylon Maluku,Environment, Indonesia,Ambon
MAHITA,Environment, Malaysia,Hyderabad
Maragusan Waterworks and Sanitation Multi-Purpose Cooperative (MAWASCO),Environment, Philippines,Tagum City
Marinduque Council for Environmental Concerns (MACEC),Environment, Philippines,"Cathedral Compound,  Boac"
Masarek Simeulue Institute,Environment, Indonesia,Sinabang
Merah-Putih Foundation ,Environment, Indonesia,Palu
"Mindanao Integrated Resource Development, Inc. (MIRD)",Environment, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Environment, Philippines,Bacor
"National Union of Youth Response, Inc. (NUYR)",Environment, Philippines,Quezon City
National Youth Parliament Alumni Association,Environment, Philippines,Quezon
Our Friends Organization ,Environment, Cambodia,Phnom Penh
Perisai Nusantara,Environment, Indonesia,Medan
Persatuan Kebajikan Kenanga Waja Malaysia,Environment, Malaysia,Semenyih
Philippine Peace and Solidarity Council,Environment, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Environment, Philippines,Zamboanga
PKBM WIDYATAMA,Environment, Indonesia,Banyuwangi
PKPU,Environment, Indonesia,Jakarta Timur
PNAN,Environment, Singapore,Singapore
Poverty Reduction and Development Association (PoR-DeA),Environment, Lao People's Democratic Republic,Sisattanak distr.
Private,Environment, Cambodia,Phnom Penh
Quezon City Center for Women in Development (QCCWD),Environment, Philippines,Quezon City
Regional Development Action Association ,Environment, Cambodia,Siem Reap
Research Center for Aceh Development Studies,Environment, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),Environment, Indonesia,Lhokseumawe
Rotary Club of Johor Centennial,Environment, Malaysia,Johor Bahru
Rumah Zakat Indonesia Foundation,Environment, Indonesia,Bandung
Sama Samang Komunidad ng Pandacan at Paco,Environment, Philippines,Manila
"Science Associates for Development Programme ""SADP""",Environment, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Environment, Lao People's Democratic Republic,"Chanthabouri dist., "
Seri Sinar Foundation(Pertubuhan Amal Seri Sinar),Environment, Malaysia,Hulu Langat
Socio-Economic Development Organization of Cambodia (SEDOC),Environment, Cambodia,Phnom Penh
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Environment, Philippines,Cotabato City
"Suluk International Advocacy Foundation,Inc",Environment, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Environment, Philippines,Surigao City
The Association of the Blind in Cambodia (ABC),Environment, Cambodia,Phnom Penh
The People Improvement Organization (PIO),Environment, Cambodia,Phnom Penh
ThinkActPeace Foundation - Philippines,Environment, Philippines,Las Pinas City
"Tribal Cooperation for Rural Development, Inc. (TRICORD NGO) ",Environment, Philippines, Aritao
Tribal Media Group,Environment, Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,Environment, Malaysia,Selangor
Wetlands International-Thailand Office,Environment, Thailand,A. Hat Yai
Women Initiative and Children Education Foundation,Environment, Indonesia,Sigli
"Women's Federation for World Peace, Philippines",Environment, Philippines,Quezon City Metro
World Youth Foundation (WYF),Environment, Malaysia,Lebuh Ayer Keroh
Xavier University Governance and Leadership Institute,Environment, Philippines,Cagayan de Oro City
Yayasan Bina Dharma,Environment, Indonesia,Kabupaten Soppeng
Yayasan Pusaka Indonesia,Environment, Indonesia,Medan
Youth Volunteer For Action on Development ,Environment, Lao People's Democratic Republic,Vientiane
"    Alumni Association of Xavier School, Inc. ",Education, Philippines,San Juan City
A Bu-Ari Education and Community Development Project,Education, Thailand,Chiangrai
Action Relief,Education, Indonesia,Sigli
Adamson University ,Education, Philippines,Manila
Agency for Basic Community Development,Education, Myanmar,Sanchaung Township
Ai-Hu Foundation,Education, Philippines,Makati City
"Alay Kapwa Educational Foundation, Inc. ",Education, Philippines,Manila
"Alay Sa Kawal Foundation, Inc. ",Education, Philippines,Quezon City
Albert Schweitzer Familienwerk Foundation Philippines,Education, Philippines,n/a
"Alliance Graduate School, Inc. ",Education, Philippines,Quezon City
"Alliance of Philippine Partners in Enterprise Development, Inc. (APPEND) ",Education, Philippines,Pasig City
ALTRUIS Indonesia,Education, Indonesia,Sukabumi
"Alumni Association of Xavier School, Inc. ",Education, Philippines,San Juan City
American Association of the Philippines,Education, Philippines,Makati City
"American Chamber Foundation Philippines, Inc. ",Education, Philippines,Palanan
"American Women's Club of the Philippines, Inc. ",Education, Philippines,Makati City
"Amigonian Youth Center Foundation, Inc. ",Education, Philippines,Cavite
ANAKK - Sta. Cruz Inc.,Education, Philippines,Municipality of Sta. Cruz
Angeles University Foundation ,Education, Philippines,Angeles City
"Angelo King Foundation, Inc. ",Education, Philippines,Makati City
"Antipolo Seminary Foundation, Inc. ",Education, Philippines,Paraaque City
Asia Society for Social Improvement and Sustainable Transformation,Education, Philippines,Makati City
"Asia Society Philippine Foundation, Inc. ",Education, Philippines,Makati City
"Asian (World) Center for Missions, Inc. ",Education, Philippines,Makati City
Asian Resource Foundation,Education, Thailand,Bangkok
"Asian Theological Seminary, Inc. ",Education,Philippines,
"Asociacion de Alumnas de Poveda Foundation, Inc. ",Education,Philippines,
Association for Children's Community & Development,Education, Philippines,"Cebu City,  Philippines"
Association for the Rights of Children in Southeast Asia,Education, Philippines,Quezon City
Association of Development Financing Institutions in Asia and the Pacific (ADFIAP),Education, Philippines,Makati City
Association of the Blind in Cambodia,Education, Cambodia,Phom Penh
Association of Women for Action and Research (AWARE),Education, Singapore,Singapore
Ateneo de Naga University,Education, Philippines,Naga City
Ateneo de Zamboanga University ,Education, Philippines,Zamboanga City
Ateneo Human Rights Center,Education, Philippines,Makati
"Batas Kalikasan Foundation, Inc. ",Education, Philippines,Muntinlupa City
"Beacon International School Foundation, Inc. ",Education, Philippines,Taguig City
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Education, Philippines,Baguio City
Brotherhood of Destiny Inc. (BROOD),Education, Philippines,Baliuag
Cambodia Development Organization for Children (CAMDOC),Education, Cambodia,Siem Reap
Cambodian Human Rights and Development Association (ADHOC),Education, Cambodia,Beng Raing Daun Penh P.P
Cambodian Institute for Development and Human Rights (CIDH),Education, Cambodia,Phnom Penh
Cambodian League for the Promotion and Defense of Human Rights (LICADHO),Education, Cambodia,Phnom Penh
Cambodian Volunteers for Community Development,Education, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Education, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Education, Philippines,Las Pinas City
CARE-Venture International,Education, Singapore,Singapore
Center for Media and Cross Cultural Studies,Education, Indonesia,Lhokseumawe
Center for Peace Education,Education, Philippines,Quezon City
Center for Public Health and Community Development (CEPHAD),Education, Vietnam,Hanoi
"Centre for Advancement of Business, Innovation and Social Entrepreneurship (CASE)",Education, Malaysia, Petaling Jaya
Child's Dream Foundation,Education, Thailand,Chiang Mai
Christian Action for Relief & Empowerment (CARE),Education, Philippines,Las Pinas City
Christian Mindanao Colleges,Education, Philippines,Jimenez
CIVIC Bangalore,Education, Indonesia,Bangalore -560052
"Clean & Green Foundation, Inc.",Education, Philippines,Manila
Cooperation and Development Group (CDG),Education, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Education, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Education, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Education, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Education, Philippines,Baguio City
Creative Cebu Council,Education, Philippines,Cebu City
CVISNET Foundation Inc.,Education, Philippines,Cebu City
Dara Community for Development in Cambodia (DCDC-Cambodia),Education, Cambodia,Phnom PenhCity
Drug Free Youth Association,Education, Malaysia,Puchong
ECOLINK Philippines,Education, Philippines,Oroquieta City
Educational Welfare and Research Foundation,Education, Malaysia,Kuala Lumpur
ERA Consumer Malaysia,Education, Malaysia,Petaling Jaya
Exceptional Children's Educational Center,Education, Philippines,Cebu
"Family Care & Preservation, Inc. (FAMICARE, Inc.)",Education, Philippines,Makati
Farmer's Life Improvement and Future Light Youth Organization,Education, Cambodia,Phnom Penh
Federation of Indian NGOs Malaysia,Education, Malaysia,PETALING JAYA
Fleur-de-Lis Centre for PEACE Inc.,Education, Philippines,Bacolod City
Foundation for Older Persons' Development (FOPDEV),Education, Thailand,Chiang Mai Universiry
Foundation To Encourage The Potential Of Disabled Persons,Education, Thailand,Chiang Mai
Friends of Overseas Filipinos Incorporated (FOFI),Education, Philippines,Pasig City
Global CEO Alliance Foundation Inc.,Education, Philippines,Makati
Global Education for Peace Foundation (GEP),Education, Thailand,Nonthaburi
GlobalRankers,Education, Singapore,Singapore
"Glorious Harvest Community Foundation, Inc.",Education, Philippines,Cebu City
"GMA Kapuso Foundation, Inc.",Education, Philippines,Quezon City
Goodwill Group Foundation,Education, Thailand,Bangkok
Greater Heights Christian Worship Center,Education, Philippines,Quezon City
Green Life Association,Education, Lao People's Democratic Republic," Pakse,  Champasak"
"Green Valley College Foundation,Inc.",Education, Philippines,Koronadal
Greenway,Education, Thailand,Krong Hoykrong
"Harvest Christian School International of Cebu, Inc.",Education, Philippines,Cebu
He Cares Foundation,Education, Philippines,Quezon City
Help Organization International,Education, Malaysia,Lahore
High Desert International Foundation,Education, Indonesia,Jakarta
Impact Philippines,Education, Philippines,Quezon City
Integrated Qur-an Research Assembly of the Philippines,Education, Philippines,Masiu
International Association for Transformation-Philippines,Education, Philippines,Tabuk
Journeys Within Our Community,Education, Thailand,Bannmai
Kababaihan Gabay ng Bayan  (KAGABAY),Education, Philippines,Makati City
Kalinga Filipino,Education, Philippines,Quezon City
Kampong Thom Farmers Association  (KTFA),Education, Cambodia,Phnom Penh
Khemara,Education, Cambodia,Phnom Penh
Khmer Association for Development (KAD),Education, Cambodia,Kien Svay
Khmer Kampuchea Krom Human Rights Association (KKKHRA),Education, Cambodia,Phnom Penh
Khmer Youth Association,Education, Cambodia,Phnom Penh
KidsGrowHappy (Phils) Foundation,Education, Philippines,Daet
Komando Barisan Rakyat/ KOBRA,Education, Indonesia,Karawang
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),Education, Indonesia,Jakarta Timur
Lakas ng Ekonomiya ng Alyansng Pilipino,Education, Philippines,Mangatarem
Leadership Character Development Institute,Education, Cambodia,Phnom Penh
LEMBAGA ASISTENSI PEMERINTAH DAERAH,Education, Indonesia,GIANYAR
Lembaga Bina Potensi Masyarakat (LBPM) ,Education, Indonesia,Manado
Lembaga Kajian dan Advokasi Pesantren (LKAP),Education, Indonesia,Pondokgede
Lembaga Pemantau Pembangunan Daerah,Education, Indonesia,Medan
LICADHO,Education, Cambodia,Phnom Penh
Lingkar Association,Education, Indonesia,Sleman
LSM Metroxylon Maluku,Education, Indonesia,Ambon
"Magna Kultura Foundation, Inc.",Education, Philippines,San Juan City
MAHITA,Education, Malaysia,Hyderabad
Martin Ampaguey Foundation,Education, Philippines,Baguio City
Masarek Simeulue Institute,Education, Indonesia,Sinabang
Mercy Mission,Education, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Education, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Education, Philippines,Bacor
National Youth Parliament Alumni Association,Education, Philippines,Quezon
Natural Health Foundation of the Philippines Inc,Education, Philippines,Manila
Natural Health Foundation of the Philippines Inc,Education, Philippines,Manila
"Negros Women For Tomorrow Foundation, Inc. (NWTF) ",Education, Philippines,Bacolod City
Open Heart Foundation Worldwide,Education, Philippines,Quezon City
OrphanIT,Education, Philippines,Manila
Our Friends Organization ,Education, Cambodia,Phnom Penh
Pelita Bakti Project,Education, Indonesia,Jakarta Selatan
Pelita Ilmu Foundation,Education, Indonesia,Jakarta Selatan
People's Agricultural Plan for the 21st Century Inc. (PAP 21),Education, Philippines,Bacolod City
Perisai Nusantara,Education, Indonesia,Medan
Persatuan Kebajikan Kenanga Waja Malaysia,Education, Malaysia,Semenyih
Pertubuhan Kebajikan Mesra Rawang Selangor,Education, Malaysia,Rawang
PHILCORPS Organization,Education, Philippines,Quezon
"Philippine NGO Support Program, Inc. (PHANSuP)",Education, Philippines,Quezon City
PHILSOCORDS,Education, Philippines,Zamboanga
PKBM WIDYATAMA,Education, Indonesia,Banyuwangi
PKPU,Education, Indonesia,Jakarta Timur
PNAN,Education, Singapore,Singapore
