address,city,contact_number,country,description,email,name,website
"Jl. Burujul I No. 1 RT 03/01 Nagarasari
Tasikmalaya - JAWA BARAT",,,Indonesia,"['Jl. Burujul I No. 1 RT 03/01 Nagarasari', 'Tasikmalaya - JAWA BARAT']",,Lembaga Alisansi Suara Masyarakat Tasikmalaya(Assmat),
"Jl. Ir. H. Djuanda No.128-B
Bandung - JAWA BARAT",,022-2502598,Indonesia,"['Jl. Ir. H. Djuanda No.128-B', 'Bandung - JAWA BARAT', 'Ph. 022-2502598 Fax. 022-2502598', 'Email: lbhbandung@lbhbandung.or.id', 'Web: www.lbhbandung.org']",lbhbandung@lbhbandung.or.id,Lembaga Bantuan Hukum Bandung(LBH Bandung),www.lbhbandung.org
"Jl. Raya Kopo No. 20, RT. 04, RW. 04, Cirangrang
Bandung KOTA BANDUNG - JAWA BARAT",,08996996370,Indonesia,"['Jl. Raya Kopo No. 20, RT. 04, RW. 04, Cirangrang', 'Bandung KOTA BANDUNG - JAWA BARAT', 'Ph. 08996996370 ']",,Lembaga Bantuan Hukum Kesehatan Awalindo - Jawa Barat(LBH Kesehatan Awalin),
"Jl. Cigantang Hilir No. 16 Kecamatan Mangukubumi
Tasikmalaya - JAWA BARAT",,085223033386,Indonesia,"['Jl. Cigantang Hilir No. 16 Kecamatan Mangukubumi', 'Tasikmalaya - JAWA BARAT', 'Ph. 085223033386 ']",,Lembaga Bantuan Hukum Traktat(LBH Traktat),
"Komp. Perum Ruko Andalusia No.C2 Mangkubumi
Tasikmalaya - JAWA BARAT",,08122288855,Indonesia,"['Komp. Perum Ruko Andalusia No.C2 Mangkubumi', 'Tasikmalaya - JAWA BARAT', 'Ph. 08122288855 ']",,Lembaga Cegah Kejahatan Indonesia(LCKI),
"Jl. Taman Bogor Baru Blok B4 No. 12
Bogor 1615 - JAWA BARAT",,0251-8340744,Indonesia,"['Jl. Taman Bogor Baru Blok B4 No. 12', 'Bogor 1615 - JAWA BARAT', 'Ph. 0251-8340744 Fax. 0251- 8340744', 'Email: lei@indo.net.id', 'Web: www.lei.or.id']",lei@indo.net.id,Lembaga Ekolabel Indonesia(LEI),www.lei.or.id
"Jl. Sutisna Senjaya Blk RS Widyaningsih (130) No. 21 Rt/Rw. 06/03
Kota Tasikmalaya 46114 - JAWA BARAT",,,Indonesia,"['Jl. Sutisna Senjaya Blk RS Widyaningsih (130) No. 21 Rt/Rw. 06/03', 'Kota Tasikmalaya 46114 - JAWA BARAT']",,Lembaga Ekonomi Sustainable (LeKSus),
"Jl. Dewi Sartika 52F
Bogor 16121 - JAWA BARAT",,0251-8344473,Indonesia,"['Jl. Dewi Sartika 52F', 'Bogor 16121 - JAWA BARAT', 'Ph. 0251-8344473; 08997851713 Fax. 021-8344473', 'Email: perburuhan.sedane@gmail.com', 'Web: sedanelips.wordpress.com']",perburuhan.sedane@gmail.com,Lembaga Informasi Perburuhan Sedane(LIPS),sedanelips.wordpress.com
"Jl. Sukarindik No.04 Bungursari
Tasikmalaya 46151 - JAWA BARAT",,081323449945,Indonesia,"['Jl. Sukarindik No.04 Bungursari', 'Tasikmalaya 46151 - JAWA BARAT', 'Ph. 081323449945 ']",,Lembaga Kajian Islam dan Pemberdayaan Masyarakat(LKIPM),
"Jl. Patuha Raya Blok 21 No.7 RT15/05 Kel. Kayurungin Kec. Bekasi Selatan
Bekasi 17144 KOTA BEKASI - JAWA BARAT",,021-88959035,Indonesia,"['Jl. Patuha Raya Blok 21 No.7 RT15/05 Kel. Kayurungin Kec. Bekasi Selatan', 'Bekasi 17144 KOTA BEKASI - JAWA BARAT', 'Ph. 021-88959035; 70210804 Fax. 021-88959035', 'Email: yayasan_kasihindonesia@yahoo.co.id', 'Web: www.lkita.co.id']",yayasan_kasihindonesia@yahoo.co.id,Lembaga Kasih Indonesia(LKI),www.lkita.co.id
"Jl. M. Ali No. 2 RT. 003/004 
Kel. Tanah Baru
Depok 16426 - JAWA BARAT",,021- 7756071,Indonesia,"['Jl. M. Ali No. 2 RT. 003/004 \nKel. Tanah Baru', 'Depok 16426 - JAWA BARAT', 'Ph. 021- 7756071 Fax. 021- 7752699', 'Email: konsumenjakarta@cbn.net.id', 'Web: www.pirac.or.id/id/lkj.aspx']",konsumenjakarta@cbn.net.id,Lembaga Konsumen Jakarta(LKJ),www.pirac.or.id/id/lkj.aspx
"Jl. Awipari Tengah No.113
Tasikmalaya - JAWA BARAT",,081222979298,Indonesia,"['Jl. Awipari Tengah No.113', 'Tasikmalaya - JAWA BARAT', 'Ph. 081222979298; 081320110186 ']",,Lembaga Peduli Tasikmalaya (eLPITA),
"Jl. Cihanjuang Indah B-52
Cimahi
Bandung - JAWA BARAT",,022-6647391,Indonesia,"['Jl. Cihanjuang Indah B-52\nCimahi', 'Bandung - JAWA BARAT', 'Ph. 022-6647391 Fax. 022-6078036', 'Email: dennyrk@bdg.centrin.net.id']",dennyrk@bdg.centrin.net.id,Lembaga Pemberdayaan Ekonomi Rakyat(LPER),
"Jl. Banda no.10
Bandung - JAWA BARAT",,022-4216490,Indonesia,"['Jl. Banda no.10', 'Bandung - JAWA BARAT', 'Ph. 022-4216490, 022-4203901 Fax. 022-4203901', 'Email: Ipmunpad@elga.net.id', 'Web: www.Ipmunpad.edu.id']",Ipmunpad@elga.net.id,Lembaga Pemberdayaan Masyarakat (LPM UNPAD),www.Ipmunpad.edu.id
"Jl. Nyi Mas Gandasari no.43
Cirebon 45118 - JAWA BARAT",,08122132913,Indonesia,"['Jl. Nyi Mas Gandasari no.43', 'Cirebon 45118 - JAWA BARAT', 'Ph. 08122132913 ', 'Email: lpmi_pantura@hotmail.com']",lpmi_pantura@hotmail.com,Lembaga Pemberdayaan Masyarakat Indonesia(LPMI),
"Jl. Rumah Sakit No.27
Ciamis - JAWA BARAT",,0265-771387,Indonesia,"['Jl. Rumah Sakit No.27', 'Ciamis - JAWA BARAT', 'Ph. 0265-771387 ']",,Lembaga Pemberdayaan Potensi Lokal(LPPL),
"Jl. A. Yani No.125 Kelurahan Sukamanah
Tasikmalaya - JAWA BARAT",,085223050558,Indonesia,"['Jl. A. Yani No.125 Kelurahan Sukamanah', 'Tasikmalaya - JAWA BARAT', 'Ph. 085223050558 ']",,Lembaga Pendidikan dan Ketrampilan Sukajaya(LPK Sukajaya),
"Pondok Pesantren Al Ihya 
Mayasih. Kel. Cigugur
Kuningan 45552 - JAWA BARAT",,0232-873386,Indonesia,"['Pondok Pesantren Al Ihya \nMayasih. Kel. Cigugur', 'Kuningan 45552 - JAWA BARAT', 'Ph. 0232-873386 ']",,Lembaga Penelitian dan Pengembangan Agama Sosial dan Ekonomi(LEPPAS),
"Jl. Desa Cibolangkaler Cikaroya Tipar Cisaat
Sukabumi 43152 SUKABUMI - JAWA BARAT",,0266-237508,Indonesia,"['Jl. Desa Cibolangkaler Cikaroya Tipar Cisaat', 'Sukabumi 43152 SUKABUMI - JAWA BARAT', 'Ph. 0266-237508 ']",,Lembaga Penelitian Sosial dan Agama Sukabumi(Lensa Sukabumi),
"Jl. Dipati Ukur no. 3
Bandung - JAWA BARAT",,022-2512532,Indonesia,"['Jl. Dipati Ukur no. 3', 'Bandung - JAWA BARAT', 'Ph. 022-2512532 Fax. 022-2534539']",,Lembaga Pengabdian kepada Masyarakat ITB,
"Cibeas RT/RW 01/10 kelurahan Gunung Tandala
Tasikmalaya - JAWA BARAT",,,Indonesia,"['Cibeas RT/RW 01/10 kelurahan Gunung Tandala', 'Tasikmalaya - JAWA BARAT']",,Lembaga Pengembangan Kapasitas Daerah(LPKD),
"Jl. Wijaya Kusuma Raya Rw.IX
Bekasi Jaya
Bekasi - JAWA BARAT",,021-88342415,Indonesia,"['Jl. Wijaya Kusuma Raya Rw.IX\nBekasi Jaya', 'Bekasi - JAWA BARAT', 'Ph. 021-88342415, 8804158 ']",,Lembaga Pengembangan Sosial dan Ekonomi Darurrahman(LPSE Darurrahman),
"Jl. Raya Bojongsoang No. 33
RT.01/02
Bandung - JAWA BARAT",,022-7806947,Indonesia,"['Jl. Raya Bojongsoang No. 33\nRT.01/02', 'Bandung - JAWA BARAT', 'Ph. 022-7806947 Fax. 022-7806948']",,Lembaga PengembanganSumberdaya Pedesaan(LPSP),
"Jalan Jupiter Blok F No.1 Komplek IPB II Sindang Barang  Indonesia
Bogor - JAWA BARAT",,0251- 621672,Indonesia,"['Jalan Jupiter Blok F No.1 Komplek IPB II Sindang Barang  Indonesia', 'Bogor - JAWA BARAT', 'Ph. 0251- 621672 Fax. 0251- 621672', 'Email: imred@indo.net.id, imred@imred.org']","imred@indo.net.id, imred@imred.org",Lembaga Pengkajian dan Pengembangan Mangrove Indonesia(LPP Mangrove),
"Jl. Kertajaya No.38
Padalarang - JAWA BARAT",,022-73520025,Indonesia,"['Jl. Kertajaya No.38', 'Padalarang - JAWA BARAT', 'Ph. 022-73520025 ']",,Lembaga Pengkajian Pemerintahan dan Otonomi Daerah(LPPOD),
"Jl. Raya Samarang no.108A
Kamp. Honje Luhur Kec. Tarogong
Garut 44151 - JAWA BARAT",,0262-231849,Indonesia,"['Jl. Raya Samarang no.108A\nKamp. Honje Luhur Kec. Tarogong', 'Garut 44151 - JAWA BARAT', 'Ph. 0262-231849; 081323080961 Fax. 0262-231849', 'Email: yapemas@telkom.net']",yapemas@telkom.net,Lembaga Penguatan Organisasi Rakyat(Yapemas Garut),
"Pandan Valley C1 No.11 Desa Parakan Jaya
Kec. Kemang
Bogor KOTA BOGOR - JAWA BARAT",,08567366632,Indonesia,"['Pandan Valley C1 No.11 Desa Parakan Jaya\nKec. Kemang', 'Bogor KOTA BOGOR - JAWA BARAT', 'Ph. 08567366632; 0251-55033420; 081322071269 (Netti) ', 'Email: pratistaindonesia@yahoo.com']",pratistaindonesia@yahoo.com,Lembaga Pratista Indonesia(LPI),
"Jl. Kelinci no.10
Bandung 40262 - JAWA BARAT",,022-7308025,Indonesia,"['Jl. Kelinci no.10', 'Bandung 40262 - JAWA BARAT', 'Ph. 022-7308025 Fax. 022-7308025']",,Lembaga Riset dan Informasi Pengembangan Masyarakat(LEIMA),
"Jl. Riung Mungpulung II no. 30
Komp. Riung Bandung Permai.
Bandung - JAWA BARAT",,022-7565180,Indonesia,"['Jl. Riung Mungpulung II no. 30\nKomp. Riung Bandung Permai.', 'Bandung - JAWA BARAT', 'Ph. 022-7565180 ', 'Email: leskip@plasa.com']",leskip@plasa.com,Lembaga Studi Kemandirian Perempuan(Leskip),
"Jl. Jenderal Sudirman no.37 Rt.604/04
Rawa Pasung Kali Baru
Bekasi 17135 - JAWA BARAT",,021-8841411,Indonesia,"['Jl. Jenderal Sudirman no.37 Rt.604/04\nRawa Pasung Kali Baru', 'Bekasi 17135 - JAWA BARAT', 'Ph. 021-8841411 ']",,Lembaga Studi Paradigma Rakyat (Lespra),
"Jl. Raya Hankam Pondok Melati 71
Rt 02/05 Pondok Gede
Bekasi 17415 - JAWA BARAT",,8443173,Indonesia,"['Jl. Raya Hankam Pondok Melati 71\nRt 02/05 Pondok Gede', 'Bekasi 17415 - JAWA BARAT', 'Ph. 8443173 ']",,Lembaga Studi Pengembangan Pedesaan,
"Jl. Perkebunan Panyairan Rt 02/03 Campaka
Cianjur - JAWA BARAT",,0263-340402,Indonesia,"['Jl. Perkebunan Panyairan Rt 02/03 Campaka', 'Cianjur - JAWA BARAT', 'Ph. 0263-340402 Fax. 0263-340402']",,Lembaga Swadaya Masyarakat Lingkar Cianjur(Lingkar Cianjur),
"Jl. Raya Pangyndangan No.7
Indramayu - JAWA BARAT",,0234-274683,Indonesia,"['Jl. Raya Pangyndangan No.7', 'Indramayu - JAWA BARAT', 'Ph. 0234-274683; 0811244092 ', 'Email: lsmsuaka@gmail.com']",lsmsuaka@gmail.com,Lembaga Swadaya Masyarakat Suaka(LSM Suaka),
"Gg. Manisi I Jl. Manisi no. 32
Cibiru
Bandung 40615 - JAWA BARAT",,08122348896,Indonesia,"['Gg. Manisi I Jl. Manisi no. 32\nCibiru', 'Bandung 40615 - JAWA BARAT', 'Ph. 08122348896 ', 'Email: eltam@yahoo.com']",eltam@yahoo.com,Lembaga Telaah Agama dan Masyarakat(eLTAM),
"Jl. Rasamala no.6
Tasikmalaya 46100 - JAWA BARAT",,0265-334974,Indonesia,"['Jl. Rasamala no.6', 'Tasikmalaya 46100 - JAWA BARAT', 'Ph. 0265-334974;08156066030 ', 'Email: ikaham@yahoo.com;asev001@yahoo.com']",ikaham@yahoo.com;asev001@yahoo.com,Lingkar Kajian Agama dan Hak Asasi Manusia(LKaHAM),
"Jl. Mayor Syamsu No. 2
Garut - JAWA BARAT",,0262-232334,Indonesia,"['Jl. Mayor Syamsu No. 2', 'Garut - JAWA BARAT', 'Ph. 0262-232334 Fax. 0262-232334']",,LP2M -STAIM,
"Jl. Kopeng no.14
Sukabumi 43122 - JAWA BARAT",,0266-220169,Indonesia,"['Jl. Kopeng no.14', 'Sukabumi 43122 - JAWA BARAT', 'Ph. 0266-220169 Fax. 0266-223846']",,LP2S(LP2S),
"Jl. Raya Wanaraja 369A
Garut 44183 - JAWA BARAT",,0262-444009,Indonesia,"['Jl. Raya Wanaraja 369A', 'Garut 44183 - JAWA BARAT', 'Ph. 0262-444009,08170230414 Fax. 0262-444009', 'Email: stieya278a@yahoo.com']",stieya278a@yahoo.com,LPE Al - Syura,
"Jl. Ciumbuleuit 94
Bandung 40141 - JAWA BARAT",,022-2032576,Indonesia,"['Jl. Ciumbuleuit 94', 'Bandung 40141 - JAWA BARAT', 'Ph. 022-2032576, 2032655 Fax. 022-2031110']",,LPKM - Unpar,
"Jl. PKH. Mustopha No.23
Bandung 40124 - JAWA BARAT",,7272215,Indonesia,"['Jl. PKH. Mustopha No.23', 'Bandung 40124 - JAWA BARAT', 'Ph. 7272215 ext. 157 Fax. 7202892', 'Email: lpm@itenas.ac.id/akhmad@itenas.ac.id']",lpm@itenas.ac.id/akhmad@itenas.ac.id,LPM ITENAS(ITENAS),
"Jl.Shaleh Iskandar (Jl.Baru)
Bogor - JAWA BARAT",,0251-354202,Indonesia,"['Jl.Shaleh Iskandar (Jl.Baru)', 'Bogor - JAWA BARAT', 'Ph. 0251-354202 Fax. 0251-356884']",,LPPM UIKA Bogor(LPPM UIKA),
"Jl. tamansari No. 24
Bandung 40116 - JAWA BARAT",,022-4203368,Indonesia,"['Jl. tamansari No. 24', 'Bandung 40116 - JAWA BARAT', 'Ph. 022-4203368 ext.153 Fax. 022-4263895', 'Email: lppm.unisba@eudoramail.com', 'Web: utonharun@yahoo.com']",lppm.unisba@eudoramail.com,LPPM UNISBA(UNISBA),utonharun@yahoo.com
"Jl. Atlas V No. 9
Bandung 40291 - JAWA BARAT",,022-7210088,Indonesia,"['Jl. Atlas V No. 9', 'Bandung 40291 - JAWA BARAT', 'Ph. 022-7210088 ']",,LPTT(LPTT),
"Jl. Raya Parung-Bogor Km 45 Parung Hijau I Kav. 30
Bogor 16310 - JAWA BARAT",,0251-8618103,Indonesia,"['Jl. Raya Parung-Bogor Km 45 Parung Hijau I Kav. 30', 'Bogor 16310 - JAWA BARAT', 'Ph. 0251-8618103 Fax. 0251-8602070', 'Email: mail@masyarakatmandiri.org; masyarakatmandiri@yaho', 'Web: www.masyarakatmandiri.org']",mail@masyarakatmandiri.org; masyarakatmandiri@yaho,Masyarakat Mandiri(MM),www.masyarakatmandiri.org
"Jl. guntursari Wetan no.27
PO Box 7336 BDSA
Bandung 40131 - JAWA BARAT",,022-7305244,Indonesia,"['Jl. guntursari Wetan no.27\nPO Box 7336 BDSA', 'Bandung 40131 - JAWA BARAT', 'Ph. 022-7305244 ', 'Email: purwono@indosat.net.id/mp21@egroups.com']",purwono@indosat.net.id/mp21@egroups.com,Masyarakat Peduli Pendidikan Indonesia(MP21),
"Fakultas Hukum Universitas Indonesia
Kampus Baru UI
Depok 16424 - JAWA BARAT",,021-7270003,Indonesia,"['Fakultas Hukum Universitas Indonesia\nKampus Baru UI', 'Depok 16424 - JAWA BARAT', 'Ph. 021-7270003 ext.55 Fax. 021-7270052', 'Email: office@mappifhui.org', 'Web: www.mappifhui.org']",office@mappifhui.org,Masyarakat Pemantau Peradilan Indonesia(MPPI),www.mappifhui.org
"Jl. Abiyasa I/15 Bumi Indraprasta I Bantarjati
Bogor 16153 - JAWA BARAT",,0251- 333 267,Indonesia,"['Jl. Abiyasa I/15 Bumi Indraprasta I Bantarjati', 'Bogor 16153 - JAWA BARAT', 'Ph. 0251- 333 267;0899 857 6911 Fax. 0251- 333 267', 'Web: www.matoa.org']",,Matoa(Matoa),www.matoa.org
"Perumnas Kota Baru Kencana 
Jl. Bogor Raya Blok II No. 32
Tasikmalaya - JAWA BARAT",,081546995848,Indonesia,"['Perumnas Kota Baru Kencana \nJl. Bogor Raya Blok II No. 32', 'Tasikmalaya - JAWA BARAT', 'Ph. 081546995848 ']",,Mentari Anak Negeri(MAN),
"Jl. Mesjid Agung No. 6
Tasikmalaya - JAWA BARAT",,0265-331390,Indonesia,"['Jl. Mesjid Agung No. 6', 'Tasikmalaya - JAWA BARAT', 'Ph. 0265-331390 ']",,MUI Kab. Tasikmalaya,
"Wisma Harapan II G2-19 Mekarsasi 
Cimanggis
Depok KOTA DEPOK - JAWA BARAT",,021-92100807,Indonesia,"['Wisma Harapan II G2-19 Mekarsasi \nCimanggis', 'Depok KOTA DEPOK - JAWA BARAT', 'Ph. 021-92100807; 0816849095 ', 'Email: myrighteducation@gmail.com']",myrighteducation@gmail.com,My Right Education(MRE),
"Gedung C Lt.2 Kampus FISIP UI
Depok 16424 - JAWA BARAT",,021-78883758,Indonesia,"['Gedung C Lt.2 Kampus FISIP UI', 'Depok 16424 - JAWA BARAT', 'Ph. 021-78883758; 081310183647 Fax. 021-78892791', 'Email: pacivis@pacivis.or.id']",pacivis@pacivis.or.id,Pacivis(Pacivis),
"Jl. Handapherang Blok D no.32 Perum Surung Dayung Kec. Cijeunjung
Ciamis CIAMIS - JAWA BARAT",,085-314454376,Indonesia,"['Jl. Handapherang Blok D no.32 Perum Surung Dayung Kec. Cijeunjung', 'Ciamis CIAMIS - JAWA BARAT', 'Ph. 085-314454376; 082120480773 ', 'Email: balerahayat@gmail.com; turehanashuri@gmail.com', 'Web: balerahayat.word']",balerahayat@gmail.com; turehanashuri@gmail.com,Paguyuban Bale Rahayat(Bale Rahayat),balerahayat.word
"Kampung Blok Baru Rt 001/003
Ds Mekarsari Kec. Pagelaran
Cianjur 43266 - JAWA BARAT",,08180492069,Indonesia,"['Kampung Blok Baru Rt 001/003\nDs Mekarsari Kec. Pagelaran', 'Cianjur 43266 - JAWA BARAT', 'Ph. 08180492069 ']",,Paguyuban Petani Cianjur(PPC),
"Jl. KH Tubagus Abdullah Nagrog RT 03/07 Kelurahan Suka Purbaratu
Tasikmalaya 46196 - JAWA BARAT",,,Indonesia,"['Jl. KH Tubagus Abdullah Nagrog RT 03/07 Kelurahan Suka Purbaratu', 'Tasikmalaya 46196 - JAWA BARAT']",,Parahiyangan Institute(PI),
"FISIP Unpar
Jl. Ciumbuleuit no.94
Bandung 40141 - JAWA BARAT",,022-233557,Indonesia,"['FISIP Unpar\nJl. Ciumbuleuit no.94', 'Bandung 40141 - JAWA BARAT', 'Ph. 022-233557; 233557; 232576 ext ', 'Email: mangadar@home.unpar.ac.id', 'Web: www.unpar.ac.id/pacis']",mangadar@home.unpar.ac.id,Parahyang Center for International Studies(PACIS),www.unpar.ac.id/pacis
"Jl. Suryalaya Sari 5
Bandung - JAWA BARAT",,022-7322593,Indonesia,"['Jl. Suryalaya Sari 5', 'Bandung - JAWA BARAT', 'Ph. 022-7322593 ', 'Email: pasja@bdg.centrin.net.id']",pasja@bdg.centrin.net.id,Pastoral Perburuhan Keuskupan Bandung(PPKB),
"Jl. Dipati Ukur no.35
Bandung - JAWA BARAT",,,Indonesia,"['Jl. Dipati Ukur no.35', 'Bandung - JAWA BARAT']",,PDP UNPAD,
"Komplek Perumahan IPB Sindangbarang II 
Jl. Uranus Blok H No.1
Komplek IPB Sindang Barang II
Bogor 16680 - JAWA BARAT",,0251-8621476,Indonesia,"['Komplek Perumahan IPB Sindangbarang II \nJl. Uranus Blok H No.1\nKomplek IPB Sindang Barang II', 'Bogor 16680 - JAWA BARAT', 'Ph. 0251-8621476 Fax. 0251-8621476', 'Email: kpkai@indo.net.id', 'Web: www.peka-indonesia.org']",kpkai@indo.net.id,Peduli Konservasi Alam Indonesia(Peka Indonesia),www.peka-indonesia.org
"Jl. Syech Abdul Muhyi Pondok Awilega No.11 Kawalu
Tasikmalaya - JAWA BARAT",,081222982420,Indonesia,"['Jl. Syech Abdul Muhyi Pondok Awilega No.11 Kawalu', 'Tasikmalaya - JAWA BARAT', 'Ph. 081222982420 ']",,Peduli Tasik (Peduli Tasik),
"Jl. kiaracondong no.391
Bandung - JAWA BARAT",,022-7320520,Indonesia,"['Jl. kiaracondong no.391', 'Bandung - JAWA BARAT', 'Ph. 022-7320520 ']",,Pemuda Kiaracondong Peduli,
"Jl. Kiaracondong no.175 Ruko C5
Bandung 40183 - JAWA BARAT",,022-7208095,Indonesia,"['Jl. Kiaracondong no.175 Ruko C5', 'Bandung 40183 - JAWA BARAT', 'Ph. 022-7208095 Fax. 022-7200783', 'Email: piksi_ganesha@yahoo.com']",piksi_ganesha@yahoo.com,Pengembangan Informasi Kelompok Swadaya Indonesia(PIKSI Ganesha),
"Jl.Sapujagat 6 Bandung, Jawa Barat
Bandung - JAWA BARAT",,,Indonesia,"['Jl.Sapujagat 6 Bandung, Jawa Barat', 'Bandung - JAWA BARAT', 'Email: pbhijabar@yahoo.com']",pbhijabar@yahoo.com,Perhimpunan Bantuan Hukum dan HAM Indonesia Jawa Barat(PBHI Jawa Barat),
"Komplek Antabaru II
Jl.Antanila I Blok.F 9 Cisaranten Kulon
Arcamanik
Bandung 40293 - JAWA BARAT",,022 - 7815958,Indonesia,"['Komplek Antabaru II\nJl.Antanila I Blok.F 9 Cisaranten Kulon\nArcamanik', 'Bandung 40293 - JAWA BARAT', 'Ph. 022 - 7815958 Fax. 022 - 7815958']",,Perhimpunan Kelompok Pelestari Hutan(Poklan),
"Jl. Dadali No. 32
16161 BOGOR - JAWA BARAT",,0251-835 7222,Indonesia,"['Jl. Dadali No. 32', '16161 BOGOR - JAWA BARAT', 'Ph. 0251-835 7222 Fax. 0251-835 7961', 'Email: info@burung.org', 'Web: www.burung.org']",info@burung.org,Perhimpunan Pelestarian Burung liar Indonesia(Burung Indonesia),www.burung.org
"Jl. Bojong Kacor No.4 RT 001/RW025 Kel Cibeunying Kec. Cimenyan
Kabupaten Bandung - JAWA BARAT",,022-82521554,Indonesia,"['Jl. Bojong Kacor No.4 RT 001/RW025 Kel Cibeunying Kec. Cimenyan', 'Kabupaten Bandung - JAWA BARAT', 'Ph. 022-82521554 Fax. 022-82521554', 'Email: www.pergerakan.org']",www.pergerakan.org,Perhimpunan Penggerak Advokasi Kerakyatan untuk Keadilan Sosial(Pergerakan),
"Jl. Margonda Raya no.492B
Pondok Cina
Depok 16424 - JAWA BARAT",,021-7863155,Indonesia,"['Jl. Margonda Raya no.492B\nPondok Cina', 'Depok 16424 - JAWA BARAT', 'Ph. 021-7863155 Fax. 021-7863737', 'Email: persa-5@plasa.com']",persa-5@plasa.com,Perhimpunan Persaudaraan Peduli Kesejahteraan Masyarakat(Persalima),
"Perum Griya Melati 2 Blok E-IV No.12 Kelurahan Bubulak Kecamatan Bogor Barat
Bogor 16115 - JAWA BARAT",,0251-8331282,Indonesia,"['Perum Griya Melati 2 Blok E-IV No.12 Kelurahan Bubulak Kecamatan Bogor Barat', 'Bogor 16115 - JAWA BARAT', 'Ph. 0251-8331282; 081390654444 Fax. 0251-8331282', 'Email: contact@ppnsi.org', 'Web: www.ppnsi.org']",contact@ppnsi.org,Perimpunan Petani dan Nelayan Sejahtera Indonesia(PPNSI),www.ppnsi.org
"Jl. Siliwangi No.44
Pangandaran
Ciamis - JAWA BARAT",,0265-639851,Indonesia,"['Jl. Siliwangi No.44\nPangandaran', 'Ciamis - JAWA BARAT', 'Ph. 0265-639851 ']",,Perjuangan Aspirasi Masyarakat(PAM),
"Jl. Suryalaya XVIII No.23, Kelurahan Cijagra, Kecamatan Lengkong
Kota Bandung 40265 - JAWA BARAT",,022-7331105,Indonesia,"['Jl. Suryalaya XVIII No.23, Kelurahan Cijagra, Kecamatan Lengkong', 'Kota Bandung 40265 - JAWA BARAT', 'Ph. 022-7331105 Fax. 022-7331105', 'Email: inisiatif@inisiatif.org', 'Web: www.inisiatifbandung.org']",inisiatif@inisiatif.org,Perkumpulan Inisiatif(Inisiatif),www.inisiatifbandung.org
"Jl. Sukarno-Hatta no.496
Bandung 40226 - JAWA BARAT",,022-7567997,Indonesia,"['Jl. Sukarno-Hatta no.496', 'Bandung 40226 - JAWA BARAT', 'Ph. 022-7567997, Fax. 022-7514332', 'Email: pkbi.jabar@gmail.com']",pkbi.jabar@gmail.com,Perkumpulan Keluarga Berencana Indonesia Jawa Barat(PKBI Jawa Barat),
"Jl. Dago Barat No.21/1590
Kecamatan Coblong
Bandung 40135 KOTA BANDUNG - JAWA BARAT",,022-2502641,Indonesia,"['Jl. Dago Barat No.21/1590\nKecamatan Coblong', 'Bandung 40135 KOTA BANDUNG - JAWA BARAT', 'Ph. 022-2502641 ', 'Email: gembirabersamakerlip@gmail.com', 'Web: www.perkumpulankerlip.com']",gembirabersamakerlip@gmail.com,Perkumpulan Keluarga Peduli Pendidikan(Kerlip),www.perkumpulankerlip.com
"d/a. LIPI Green Network
Komplek CICO Resort
Jl. Tumenggung Wiradiredja No.216
Cimahpar, Bogor Utara
Bogor 2001 KOTA BOGOR - JAWA BARAT",,,Indonesia,"['d/a. LIPI Green Network\nKomplek CICO Resort\nJl. Tumenggung Wiradiredja No.216\nCimahpar, Bogor Utara', 'Bogor 2001 KOTA BOGOR - JAWA BARAT', 'Email: raptorindonesia1@gmail.com', 'Web: www.raprorindonesia.weebly.com']",raptorindonesia1@gmail.com,Perkumpulan Raptor Indonesia(Rain),www.raprorindonesia.weebly.com
"Jl. Permata Bumi Raya Kav.6 Komp.DPRD
cisaranten kulon, Arcamanik
Bandung 40293 - JAWA BARAT",,022-7834483,Indonesia,"['Jl. Permata Bumi Raya Kav.6 Komp.DPRD\ncisaranten kulon, Arcamanik', 'Bandung 40293 - JAWA BARAT', 'Ph. 022-7834483 Fax. 022-7834484', 'Email: Pupuk@bdg.centrin.net.id', 'Web: www.pupukindonesia.org']",Pupuk@bdg.centrin.net.id,Perkumpulan Untuk Peningkatan Usaha Kecil(PUPUK),www.pupukindonesia.org
"Jl. Palem Putri III no. 1-3
Kompleks Taman Yasmin Sektor V
Bogor 16112 - JAWA BARAT",,021 - 7159902,Indonesia,"['Jl. Palem Putri III no. 1-3\nKompleks Taman Yasmin Sektor V', 'Bogor 16112 - JAWA BARAT', 'Ph. 021 - 7159902 Fax. 021 - 7537577', 'Email: telapak@telapak.org', 'Web: www.telapak.org']",telapak@telapak.org,PerkumpulanTelapak Indonesia(Telapak Indonesia),www.telapak.org
"Jl. RSU Gg. Cinta Rasa I no.06
Kel. Kahuripan Kec. Tawang
Tasikmalaya - JAWA BARAT",,0265-334704,Indonesia,"['Jl. RSU Gg. Cinta Rasa I no.06\nKel. Kahuripan Kec. Tawang', 'Tasikmalaya - JAWA BARAT', 'Ph. 0265-334704 ']",,Persatuan Tuna Netra Indonesia- Tasikmalaya(Pertuni Tasikmalaya),
"Jl. Raya Sawangan km.2 no.12
Depok 16435 - JAWA BARAT",,021-77880614,Indonesia,"['Jl. Raya Sawangan km.2 no.12', 'Depok 16435 - JAWA BARAT', 'Ph. 021-77880614, 08161112080 ']",,Pesantren Al-Hamidayah,
